type,code,fullname
Round,WP,Western Playoff
Division,CW,WHA Canadian Division
Division,ED,East Division
Playoffs,WCS,Won Challenge Series
Playoffs,AVPRE,Lost AVCO Cup preliminary round
Round,CSF,Conference Semi-Finals
Division,EW,WHA East Division
Playoffs,AVQF,Lost AVCO Cup quarter-finals
Division,SM,Smythe Division
Round,QF,Quarter-Finals
Round,SF,Semi-Finals
Playoffs,ND,ND - Stanley Cup finals halted (influenza epidemic)
Division,AM,American Division
Playoffs,PF,Lost PCHA finals
Round,Pre,Preliminary
Playoffs,DF,Lost NHL division finals
Playoffs,SF,Lost NHL semi-finals
Playoffs,DSF,Lost NHL division semi-finals
Round,CQF,Conference Quarter-Finals
Division,SE,Southeast Division
Playoffs,AVSF,Lost AVCO Cup semi-finals
Playoffs,CF,Lost NHL conference finals
Division,CE,Central Division
Division,NW,Northwest Division
Playoffs,WF,Lost WCHL finals
Division,NE,Northeast Division
Round,F,Finals
Round,DF,Division Finals
Playoffs,LCS,Won Stanley Cup / Lost Challenge Series
Playoffs,SCSF,Lost Stanley Cup semi-finals
Division,PT,Patrick Division
Conference,WA,Wales Conference
Division,AD,Adams Division
Playoffs,AVC,Won AVCO Cup
Division,WD,West Division
Round,ACF,Avco Cup Finals
Division,WW,WHA West Division
Playoffs,F,Lost Stanley Cup finals
Conference,CC,Campbell Conference
Playoffs,SC,Won Stanley Cup
Playoffs,NHAF,Lost NHA finals
Playoffs,CSF,Lost NHL conference semi-finals
Division,NO,Norris Division
Division,PC,Pacific Division
Playoffs,AVF,Lost AVCO Cup finals
Division,AT,Atlantic Division
Playoffs,CQF,Lost NHL conference quarter-finals
Playoffs,WSF,Lost WCHL semi-finals
Playoffs,PRE,Lost NHL preliminary round
Conference,WC,Western Conference
Round,CF,Conference Finals
Playoffs,NHLF,Lost NHL finals
Round,SCF,Stanley Cup Finals
Round,DSF,Division Semi-Finals
Playoffs,QF,Lost NHL quarter-finals
Division,CA,Canadian Division
Round,SCSF,Stanley Cup Semi-Finals
Conference,EC,Eastern Conference
