playerid,year,stint,tmid,lgid,gp,min,w,l,t/ol,eng,sho,ga,sa,postgp,postmin,postw,postl,postt,posteng,postsho,postga,postsa
smithbi01,1982,1,NYI,NHL,41.0,2340.0,18.0,14.0,7.0,2.0,1.0,112.0,1195.0,17.0,962.0,13.0,3.0,,0.0,2.0,43.0,
mcleodo01,1976,1,CAC,WHA,67.0,3701.0,25.0,34.0,5.0,5.0,3.0,210.0,1736.0,,,,,,,,,
billicr01,1995,1,BOS,NHL,27.0,1380.0,10.0,13.0,3.0,2.0,1.0,79.0,594.0,1.0,60.0,0.0,1.0,,0.0,0.0,6.0,28.0
trefian01,1993,1,CAL,NHL,11.0,623.0,3.0,4.0,2.0,1.0,2.0,26.0,305.0,,,,,,,,,
osgooch01,1995,1,DET,NHL,50.0,2933.0,39.0,6.0,5.0,1.0,5.0,106.0,1190.0,15.0,936.0,8.0,7.0,,2.0,2.0,33.0,322.0
blancbo01,1975,1,SDM,WHA,1.0,32.0,0.0,1.0,0.0,0.0,0.0,4.0,24.0,,,,,,,,,
sneddbo01,1970,1,CLF,NHL,5.0,225.0,0.0,2.0,0.0,0.0,0.0,21.0,,,,,,,,,,
sauvebo01,1980,1,BUF,NHL,35.0,2100.0,16.0,10.0,9.0,2.0,2.0,111.0,,,,,,,,,,
hallgl01,1952,1,DET,NHL,6.0,360.0,4.0,1.0,1.0,,1.0,10.0,,,,,,,,,,
dionmi01,1982,1,PIT,NHL,49.0,2791.0,12.0,30.0,4.0,9.0,0.0,198.0,1511.0,,,,,,,,,
fisetst01,1993,1,QUE,NHL,50.0,2798.0,20.0,25.0,4.0,7.0,2.0,158.0,1434.0,,,,,,,,,
denisma01,2006,1,TBL,NHL,44.0,2353.0,17.0,18.0,2.0,5.0,1.0,125.0,1068.0,,,,,,,,,
wardca01,2011,1,CAR,NHL,68.0,3988.0,30.0,23.0,13.0,6.0,5.0,182.0,2143.0,,,,,,,,,
brodema01,2006,1,NJD,NHL,78.0,4697.0,48.0,23.0,7.0,5.0,12.0,171.0,2182.0,11.0,688.0,5.0,6.0,,1.0,1.0,28.0,332.0
naumegr01,2000,1,ANA,NHL,2.0,70.0,0.0,1.0,0.0,0.0,0.0,7.0,29.0,,,,,,,,,
beverbi01,1937,1,MTM,NHL,48.0,2980.0,12.0,30.0,6.0,,2.0,149.0,,,,,,,,,,
