coachid,year,tmid,lgid,stint,notes,g,w,l,t,postg,postw,postl,postt
vachoro01c,1987,LAK,NHL,2,,1,0,1,0,,,,
vigneal01c,1997,MTL,NHL,1,,82,37,32,13,10.0,4.0,6.0,0.0
robinla01c,1996,LAK,NHL,1,,82,28,43,11,,,,
laviope01c,2010,PHI,NHL,1,,82,47,23,12,11.0,4.0,7.0,0.0
muckljo01c,1968,MNS,NHL,2,,35,6,23,6,,,,
lemaija01c,2002,MIN,NHL,1,,82,42,30,10,18.0,8.0,10.0,0.0
bowmasc01c,1997,DET,NHL,1,,82,44,23,15,22.0,16.0,6.0,0.0
malonda01c,1986,WIN,NHL,1,,80,40,32,8,10.0,4.0,6.0,0.0
abelsi01c,1969,DET,NHL,2,,74,38,21,15,4.0,0.0,4.0,0.0
wilsoro02c,2006,SJS,NHL,1,,82,51,26,5,11.0,6.0,5.0,0.0
burnspa01c,2002,NJD,NHL,1,,82,46,26,10,24.0,16.0,8.0,0.0
pilouru01c,1961,CHI,NHL,1,,70,31,26,13,12.0,6.0,6.0,0.0
mauripa01c,2010,CAR,NHL,1,,82,40,31,11,,,,
mahonbi01c,1984,MNS,NHL,1,,13,3,8,2,,,,
blackdo01c,1980,HAR,NHL,1,,60,15,29,16,,,,
vigneal01c,1999,MTL,NHL,1,,82,35,38,9,,,,
laviope01c,2005,CAR,NHL,1,,82,52,22,8,25.0,16.0,9.0,0.0
bowneri01c,1991,BOS,NHL,1,,80,36,32,12,15.0,8.0,7.0,0.0
suthebi01c,1980,WIN,NHL,2,,29,6,20,3,,,,
ftorero01c,2002,BOS,NHL,1,,73,33,32,8,,,,
sonmogl01c,1979,MNS,NHL,1,,80,36,28,16,15.0,8.0,7.0,0.0
vigneal01c,2008,VAN,NHL,1,,82,45,27,10,10.0,6.0,4.0,0.0
irvindi01c,1951,MTL,NHL,1,,70,34,26,10,11.0,4.0,7.0,0.0
bergemi03c,1986,QUE,NHL,1,,80,31,39,10,13.0,7.0,6.0,0.0
trotzba01c,1998,NAS,NHL,1,,82,28,47,7,,,,
burnsch01c,1974,MNS,NHL,2,,42,12,28,2,,,,
filioma01c,1980,QUE,NHL,1,,6,1,3,2,,,,
muckljo01c,1992,BUF,NHL,1,,84,38,36,10,8.0,4.0,4.0,0.0
tocchri01c,2008,TBL,NHL,2,,66,19,33,14,,,,
mcvieto01c,1990,NJD,NHL,2,,13,4,5,4,7.0,3.0,4.0,0.0
sullire01c,1963,NYR,NHL,1,,70,22,38,10,,,,
thomppa01c,1941,CHI,NHL,1,,48,22,23,3,3.0,1.0,2.0,0.0
smythco01c,1930,TOR,NHL,1,,2,1,0,1,,,,
oreilte01c,1986,BOS,NHL,2,,67,34,27,6,4.0,0.0,4.0,0.0
smithba02c,1998,DET,NHL,1,co-coach with Dave Lewis,5,4,1,0,,,,
skinnji01c,1956,DET,NHL,1,,70,38,20,12,5.0,1.0,4.0,0.0
murrate01c,2009,LAK,NHL,1,,82,46,27,9,6.0,2.0,4.0,0.0
duttore01c,1941,BKN,NHL,1,,48,16,29,3,,,,
johnsed01c,1994,PIT,NHL,1,,48,29,16,3,12.0,5.0,7.0,0.0
ivanto01c,1953,DET,NHL,1,,70,37,19,14,12.0,8.0,4.0,0.0
johnsed01c,1995,PIT,NHL,1,,82,49,29,4,18.0,11.0,7.0,0.0
hartce01c,1926,MTL,NHL,1,,44,28,14,2,4.0,1.0,1.0,2.0
muldope01c,1917,SEA,PCHA,1,,18,11,7,0,2.0,0.0,1.0,1.0
crawfma01c,1998,VAN,NHL,2,,37,8,23,6,,,,
boudrbr01c,2007,WAS,NHL,2,,61,37,17,7,7.0,3.0,4.0,0.0
adamsja01c,1944,DET,NHL,1,,50,31,14,5,14.0,7.0,7.0,0.0
wilsoro02c,2001,WAS,NHL,1,,82,36,35,11,,,,
mactacr01c,2002,EDM,NHL,1,,82,36,35,11,6.0,2.0,4.0,0.0
frasecu01c,2001,ATL,NHL,1,,82,19,52,11,,,,
carrodi01c,1918,TOA,NHL,1,,18,5,13,0,,,,
muldope01c,1926,CHI,NHL,1,,44,19,22,3,2.0,0.0,1.0,1.0
bowmasc01c,2000,DET,NHL,1,,82,49,24,9,6.0,2.0,4.0,0.0
sathegl01c,1988,EDM,NHL,1,,80,38,34,8,7.0,3.0,4.0,0.0
neilsro01c,1999,PHI,NHL,1,,82,45,25,12,18.0,11.0,7.0,0.0
bouchgu01c,2010,TBL,NHL,1,,82,46,25,11,18.0,11.0,7.0,0.0
patrile01c,1921,VA2,PCHA,1,,24,11,12,1,,,,
ftorero01c,1999,NJD,NHL,1,,74,41,25,8,,,,
delveal01c,1975,DET,NHL,2,,54,19,29,6,,,,
mactacr01c,2007,EDM,NHL,1,,82,41,35,6,,,,
patrily01c,1952,BOS,NHL,1,,70,28,29,13,11.0,5.0,6.0,0.0
marshbe01c,1981,COR,NHL,1,,24,3,17,4,,,,
schmimi01c,1963,BOS,NHL,1,,70,18,40,12,,,,
sathegl01c,1983,EDM,NHL,1,,80,57,18,5,19.0,15.0,4.0,0.0
hennilo01c,1986,MNS,NHL,1,,78,30,39,9,,,,
pronoma01c,1978,BUF,NHL,1,,24,8,10,6,,,,
melroba01c,1993,LAK,NHL,1,,84,27,45,12,,,,
needhbi01c,1973,CLC,WHA,1,,78,37,32,9,5.0,1.0,4.0,0.0
perroje01c,1985,MTL,NHL,1,,80,40,33,7,20.0,15.0,5.0,0.0
manthsy01c,1935,MTL,NHL,1,,48,11,26,11,,,,
kellyre01c,1972,PIT,NHL,1,,42,17,19,6,,,,
vigneal01c,2010,VAN,NHL,1,,82,54,19,9,25.0,15.0,10.0,0.0
pronoma01c,1977,BUF,NHL,1,,80,44,19,17,8.0,3.0,5.0,0.0
quennjo01c,2007,COL,NHL,1,,82,44,31,7,10.0,4.0,6.0,0.0
