playerid,year,tmid,lgid,pos,gp,g,a,pts,pim
walkeja01,1919,SEA,PCHA,C,5,1,3,4,0
randake01,1921,TRS,NHL,D/R,4,1,0,1,19
lalonne01,1918,MTL,NHL,C,5,6,0,6,3
halljo01,1912,QU1,NHA,D,3,0,0,0,7
patrile01,1913,VA1,PCHA,D,3,2,0,2,5
meekiha01,1924,VIC,WCHL,L,4,0,1,1,2
keatsdu01,1922,EDE,WCHL,C,2,0,0,0,4
wilsocu01,1916,SEA,PCHA,R,4,1,2,3,0
holmeha01,1919,SEA,PCHA,G,5,0,0,0,0
shoreha01,1914,OT1,NHA,D,3,0,0,0,3
gerared01,1919,OTS,NHL,D,5,2,1,3,3
coutubi01,1923,MTL,NHL,D,4,0,0,0,0
camerha01,1917,TOA,NHL,D,5,3,1,4,0
reidch01,1923,CAT,WCHL,G,2,0,0,0,0
bensobo01,1923,CAT,WCHL,D,2,0,0,0,0
patrile01,1912,VA1,PCHA,D,3,4,0,4,4
fredrfr01,1924,VIC,WCHL,C,4,3,3,6,6
holmeha01,1925,VIC,WCHL,G,4,0,0,0,0
gerared01,1920,OTS,NHL,D,5,0,0,0,44
stewane01,1925,MTM,NHL,C,4,6,1,7,14
broadpu01,1914,OT1,NHA,R,3,3,0,3,9
dundeto01,1913,VA1,PCHA,C,3,2,0,2,11
dennecy01,1920,OTS,NHL,L,5,2,2,4,10
vezinge01,1918,MTL,NHL,G,5,0,0,0,0
gardihe01,1923,CAT,WCHL,D,2,1,0,1,0
meekiha01,1925,VIC,WCHL,L,4,0,0,0,6
foystfr01,1916,SEA,PCHA,L,4,7,2,9,3
marshja02,1913,TBS,NHA,D,3,1,0,1,2
dundeto01,1915,PO1,PCHA,C,5,1,0,1,9
stackte01,1921,TRS,NHL,D,4,0,0,0,0
brandru01,1922,EDE,WCHL,L,1,0,0,0,0
poulisk01,1915,MOC,NHA,C,5,1,1,2,6
joliaau01,1923,MTL,NHL,L,4,3,1,4,6
hartgi01,1925,VIC,WCHL,R,4,0,0,0,2
rickero01,1916,SEA,PCHA,D,4,0,1,1,23
anderjo03,1925,VIC,WCHL,L,1,0,0,0,0
carsofr01,1925,MTM,NHL,R,4,0,0,0,0
arbouty01,1922,EDE,WCHL,L,2,0,0,0,0
holmeha01,1913,TBS,NHA,G,3,0,0,0,0
lavioja01,1916,MOC,NHA,L,4,1,2,3,9
dinsmch01,1925,MTM,NHL,F,4,0,0,0,2
lehmahu01,1914,VML,PCHA,G,3,0,0,0,0
holmeha01,1918,SEA,PCHA,G,5,0,0,0,0
gerared01,1921,TRS,NHL,D,1,0,0,0,0
rothssa01,1925,MTM,NHL,F,4,0,0,0,0
marksja01,1912,QU1,NHA,R,3,2,0,2,2
brucemo01,1920,OTS,NHL,F,5,0,0,0,0
rileyji01,1919,SEA,PCHA,L,5,0,1,1,0
mcgifro01,1913,TBS,NHA,F,3,2,0,2,25
helmaha01,1922,OTS,NHL,D,2,0,0,0,0
nighbfr01,1920,OTS,NHL,C,5,0,1,1,0
cookll01,1914,VML,PCHA,D,3,3,0,3,9
denneco01,1921,TRS,NHL,L/C,5,3,2,5,2
dennecy01,1919,OTS,NHL,L,5,0,2,2,3
benedcl01,1922,OTS,NHL,G,6,0,0,0,2
anderer02,1923,CAT,WCHL,R,2,0,0,0,2
tobinch01,1921,VML,PCHA,R,5,0,0,0,0
cookll01,1921,VML,PCHA,D,5,1,0,1,6
lehmahu01,1923,VAM,PCHA,G,2,0,0,0,0
harrism01,1920,VML,PCHA,L,5,2,1,3,6
adamsja01,1921,VML,PCHA,C,5,6,1,7,18
bostrhe01,1923,VAM,PCHA,D,2,1,0,1,0
noblere01,1921,TRS,NHL,L,5,0,1,1,9
johnsmo01,1915,PO1,PCHA,D,5,1,1,2,9
moynesp01,1917,VML,PCHA,R,4,0,0,0,9
lalonne01,1915,MOC,NHA,C,4,3,2,5,28
lehmahu01,1921,VML,PCHA,G,5,0,0,0,0
griffsi01,1917,VML,PCHA,D,5,1,0,1,9
duncaar01,1922,VAM,PCHA,D,4,2,2,4,0
berlilo01,1918,MTL,NHL,L,5,1,1,2,0
munrodu01,1925,MTM,NHL,D,4,1,0,1,6
gengebo01,1913,VA1,PCHA,C,3,0,0,0,15
lehmahu01,1920,VML,PCHA,G,5,0,0,0,0
pitredi01,1918,MTL,NHL,R,5,0,3,3,0
skinnal01,1920,VML,PCHA,R,3,4,0,4,14
rowebo01,1913,VA1,PCHA,D,3,0,0,0,3
loughcl01,1924,VIC,WCHL,D,4,1,0,1,4
mackami01,1921,VML,PCHA,L,5,1,0,1,6
walkeja01,1925,VIC,WCHL,C,4,0,0,0,0
rossar01,1914,OT1,NHA,D,3,0,0,0,12
benedcl01,1919,OTS,NHL,G,5,0,0,0,0
adamsja01,1920,VML,PCHA,C,5,2,1,3,6
smailwa01,1912,VA1,PCHA,L,1,0,0,0,0
gengebo01,1912,VA1,PCHA,C,3,3,0,3,14
mcnamge02,1913,TBS,NHA,D,3,2,0,2,4
haldeha01,1924,VIC,WCHL,R,4,2,1,3,8
harrism01,1920,VML,PCHA,L,5,2,1,3,6
denneco01,1917,TOA,NHL,L/C,5,3,1,4,0
lalonne01,1916,MOC,NHA,C,4,1,0,1,21
grahale01,1914,OT1,NHA,L,3,1,0,1,0
carsofr01,1925,MTM,NHL,R,4,0,0,0,0
anderer02,1923,CAT,WCHL,R,2,0,0,0,2
broadpu01,1925,MTM,NHL,R,4,1,0,1,20
noblere01,1925,MTM,NHL,D,4,0,0,0,4
nighbfr01,1914,VML,PCHA,C,3,4,6,10,6
vezinge01,1923,MTL,NHL,G,4,0,0,0,0
mummeha01,1912,QU1,NHA,D,3,1,0,1,7
johnsmo01,1915,PO1,PCHA,D,5,1,1,2,9
merriho01,1914,OT1,NHA,D,3,0,0,0,0
cookll01,1914,VML,PCHA,D,3,3,0,3,9
corbebe01,1915,MOC,NHA,D,5,0,1,1,32
randake01,1917,TOA,NHL,R/D,5,1,0,1,0
anderjo03,1925,VIC,WCHL,L,1,0,0,0,0
helmaha01,1922,OTS,NHL,D,2,0,0,0,0
pitredi01,1918,MTL,NHL,R,5,0,3,3,0
gengebo01,1912,VA1,PCHA,C,3,3,0,3,14
holmeha01,1916,SEA,PCHA,G,4,0,0,0,0
foystfr01,1925,VIC,WCHL,L,4,0,0,0,2
oatmaed01,1921,VML,PCHA,R,5,1,1,2,14
adamsja01,1921,VML,PCHA,C,5,6,1,7,18
bostrhe01,1922,EDE,WCHL,D,1,0,0,0,0
adamsbi01,1920,VML,PCHA,R,4,0,0,0,0
duforan01,1914,OT1,NHA,C,2,0,1,1,0
mcnamho01,1915,MOC,NHA,D,5,0,1,1,21
lehmahu01,1922,VAM,PCHA,G,4,0,0,0,0
uksilch01,1915,PO1,PCHA,R,5,2,0,2,6
meekiha01,1924,VIC,WCHL,L,4,0,1,1,2
foystfr01,1918,SEA,PCHA,L,5,9,1,10,0
holmeha01,1925,VIC,WCHL,G,4,0,0,0,0
oatmaed01,1923,CAT,WCHL,C,2,0,1,1,0
halljo01,1918,MTL,NHL,D,5,0,0,0,6
mcdonra01,1918,SEA,PCHA,L,5,1,1,2,3
rowebo01,1918,SEA,PCHA,D,5,1,0,1,6
vezinge01,1918,MTL,NHL,G,5,0,0,0,0
rowebo01,1919,SEA,PCHA,D,5,2,1,3,13
cotchch01,1923,VAM,PCHA,L,1,0,0,0,0
berlilo01,1915,MOC,NHA,L,2,0,0,0,0
siebeba01,1925,MTM,NHL,L,4,1,2,3,4
walkeja01,1924,VIC,WCHL,L,4,4,2,6,0
smailwa01,1912,VA1,PCHA,L,1,0,0,0,0
tobinch01,1921,VML,PCHA,R,5,0,0,0,0
rowebo01,1912,VA1,PCHA,D,3,2,0,2,9
rickero01,1918,SEA,PCHA,D,5,1,2,3,0
munrodu01,1925,MTM,NHL,D,4,1,0,1,6
camerha01,1917,TOA,NHL,D,5,3,1,4,0
duforan01,1914,OT1,NHA,C,2,0,1,1,0
mattejo01,1923,VAM,PCHA,D,2,1,0,1,2
coutubi01,1916,MOC,NHA,D,4,0,0,0,36
pitredi01,1916,MOC,NHA,R,4,5,0,5,6
