playerid,coachid,hofid,firstname,lastname,namenote,namegiven,namenick,height,weight,shootcatch,legendsid,ihdbid,hrefid,firstnhl,lastnhl,firstwha,lastwha,pos,birthyear,birthmon,birthday,birthcountry,birthstate,birthcity,deathyear,deathmon,deathday,deathcountry,deathstate,deathcity
hynesda01,,,Dave,Hynes,,David E.,,69.0,182.0,L,13051,6645.0,hynesda01,1973.0,1974.0,1976.0,1976.0,L,1951.0,4.0,17.0,USA,MA,Cambridge,,,,,,
willito01,,,Tommy,Williams,,Thomas Mark,The Bomber/Vanderbilt,71.0,180.0,R,14692,5742.0,willito01,1961.0,1975.0,1972.0,1973.0,C,1940.0,4.0,17.0,USA,MN,Duluth,1992.0,2.0,8.0,,,
,,ruttaja01h,Jack,Ruttan,,,,,,,P196217,,ruttaja01,,,,,D,1889.0,4.0,5.0,Canada,MB,Winnipeg,1973.0,1.0,7.0,,,
staplpa01,staplpa01c,,Pat,Stapleton,,Patrick James,Whitey,68.0,180.0,L,14432,5146.0,staplpa01,1961.0,1972.0,1973.0,1977.0,D,1940.0,7.0,4.0,Canada,ON,Sarnia,,,,,,
dufouma01,,,Marc,Dufour,,Marc Carol,,72.0,175.0,R,12501,6781.0,dufouma01,1963.0,1968.0,,,R,1941.0,9.0,11.0,Canada,QC,Trois-Rivieres,,,,,,
klinkro01,,,Rob,Klinkhammer,,,,75.0,206.0,,,,klinkro01,2010.0,2011.0,,,L,1986.0,8.0,12.0,Canada,AB,Lethbridge,,,,,,
milleaa01,,,Aaron,Miller,,Aaron Michael,,75.0,218.0,R,11116,3719.0,milleaa01,1993.0,2007.0,,,D,1971.0,8.0,11.0,USA,NY,Buffalo,,,,,,
lochebi01,,,Bill,Lochead,,William Alexander,Whip,73.0,195.0,R,13405,3173.0,lochebi01,1974.0,1979.0,,,F,1954.0,10.0,13.0,Canada,ON,Forest,,,,,,
coleda01,,,Danton,Cole,,Danton Edward,,71.0,185.0,R,10279,1047.0,coleda01,1989.0,1995.0,,,R,1967.0,1.0,10.0,USA,MI,Pontiac,,,,,,
gilbegr01,gilbegr01c,,Greg,Gilbert,,Gregory Scott,,73.0,191.0,L,10532,1902.0,gilbegr01,1981.0,1995.0,,,L,1962.0,1.0,22.0,Canada,ON,Mississauga,,,,,,
conroal01,,,Al,Conroy,,Allan John,,68.0,170.0,R,10286,1077.0,conroal01,1991.0,1993.0,,,C,1966.0,1.0,17.0,Canada,AB,Calgary,,,,,,
