playerid,year,stint,tmid,s,g,gdg
shanabr01,2007,1,NYR,15,5,4
stillco01,2010,1,FLO,2,0,0
hemskal01,2007,1,EDM,16,6,4
muellpe01,2011,1,COL,2,3,1
kozlovy01,2009,1,ATL,6,4,0
giroucl01,2010,1,PHI,9,2,0
chriser01,2008,1,ATL,4,2,2
mielean01,2011,1,PHO,0,1,0
steenal01,2007,1,TOR,3,1,0
connoti01,2007,1,BUF,3,0,0
samsose01,2008,1,CAR,3,1,1
nashri01,2005,1,CBS,8,3,2
burnsbr01,2007,1,MIN,5,3,1
coglian01,2007,1,EDM,1,0,0
suttebr03,2011,1,CAR,0,1,0
eberljo01,2011,1,EDM,3,12,0
hechtjo01,2010,1,BUF,1,1,1
lindetr01,2006,1,VAN,3,2,1
pisanfe01,2007,1,EDM,3,2,2
wolskwo01,2009,2,PHO,7,0,0
parkri01,2008,1,NYI,2,1,1
gagnesi01,2009,1,PHI,1,0,0
nealja01,2009,1,DAL,10,0,0
prongch01,2007,1,AND,1,0,0
kopitan01,2008,1,LAK,7,2,0
bergepa01,2005,1,BOS,9,2,1
selante01,2006,1,AND,12,4,1
bollada01,2011,1,CHI,1,5,1
sundima01,2008,1,VAN,2,1,1
biekske01,2006,1,VAN,1,0,0
zettehe01,2005,1,DET,4,2,0
strakma01,2007,1,NYR,1,0,0
ennisty01,2011,1,BUF,2,6,1
langeja01,2006,1,NJD,5,3,1
boyleda01,2008,1,SJS,7,2,0
satanmi01,2005,1,NYI,10,7,5
staalma01,2010,1,NYR,1,0,0
cajanpe01,2005,1,STL,6,1,1
nummepe01,2006,1,MIN,7,6,1
lewistr01,2011,1,LAK,0,1,0
connoti01,2008,1,BUF,6,1,0
vasicjo01,2006,1,NAS,1,0,0
stpiema01,2008,1,BOS,1,1,0
berglpa01,2008,1,STL,1,0,0
hilbean01,2006,1,NYI,3,1,1
giontbr01,2010,1,MTL,6,1,1
holmsto01,2006,1,DET,2,0,0
kopecto01,2011,1,FLO,0,2,0
coglian01,2010,1,EDM,2,0,0
ritchby01,2007,1,VAN,1,0,0
stlouma01,2010,1,TBL,5,1,1
potulry01,2009,1,EDM,5,3,0
sedinda01,2005,1,VAN,3,1,1
stemple01,2009,2,PHO,4,2,0
kovalil01,2009,1,ATL,7,2,1
kovalil01,2007,1,ATL,10,4,2
caldeky01,2006,1,PHI,1,0,0
eliaspa01,2008,1,NJD,7,3,1
tambeje01,2008,1,NYI,2,2,1
delzomi01,2009,1,NYR,1,0,0
eliaspa01,2009,1,NJD,5,2,2
stepade01,2011,1,NYR,1,3,1
jeffrdu01,2010,1,PIT,1,1,1
macarcl01,2006,1,BUF,1,0,0
kennety01,2010,1,PIT,3,0,0
parisza01,2009,1,NJD,11,5,1
prospva01,2006,1,TBL,5,2,1
mcleoco01,2007,1,COL,1,1,1
royde01,2007,1,BUF,5,1,1
bourqre01,2011,2,MTL,2,4,0
whitnra01,2010,1,PHO,5,1,1
