name,id,award,year,lgid,note
Walter Bush,bushwa01h,Patrick,1972,NHL,
Jack Butterfield,butteja01h,Patrick,1984,NHL,
Ken Morrow,morroke01,Patrick,1995,NHL,
Weston Adams,adamswe01h,Patrick,1973,NHL,posthumous
Bruce Norris,norribr01h,Patrick,1975,NHL,
Frank Mathers,mathefr01,Patrick,1986,NHL,
Mike Richter,richtmi01,Patrick,2008,NHL,
Bill Torrey,torrebi01h,Patrick,1982,NHL,
Jeff Sauer,,Patrick,2010,NHL,
Brian Mullen,mullebr01,Patrick,1994,NHL,
Lou Lamoriello,lamorlo01c,Patrick,1991,NHL,
Fred Shero,sherofr01,Patrick,1979,NHL,
Terry Sawchuk,sawchte01,Patrick,1970,NHL,posthumous
Ed Snider,snideed01h,Patrick,1979,NHL,
John Halligan,,Patrick,2006,NHL,
Jack Riley,rileyja01,Patrick,1985,NHL,
Tommy Ivan,ivanto01c,Patrick,1974,NHL,
Frank Boucher,bouchfr01,Patrick,1992,NHL,
Bobby Orr,orrbo01,Patrick,1978,NHL,
Hoby Baker,bakerho01h,Patrick,1986,NHL,posthumous
Peter Karmanos,,Patrick,1997,NHL,
Reed Larson,larsore01,Patrick,2005,NHL,
Red Berenson,berenre01,Patrick,2005,NHL,
Bob Naegele,,Patrick,2007,NHL,
Mike Ilitch,ilitcmi01h,Patrick,1990,NHL,
William Wirtz,wirtzwi01h,Patrick,1977,NHL,
John Davidson,davidjo01,Patrick,2003,NHL,
Jerry York,,Patrick,2009,NHL,
Charles M. Schulz,,Patrick,1980,NHL,
Bill Chadwick,chadwbi01h,Patrick,1974,NHL,
Craig Patrick,patricr01,Patrick,1999,NHL,
Dan Kelly,kellyda01,Patrick,1988,NHL,
Herb Brooks,brookhe01c,Patrick,2001,NHL,
William Tutt,tuttwi01h,Patrick,1977,NHL,
Eddie Shore,shoreed01,Patrick,1969,NHL,
Bob Pulford,pulfobo01,Patrick,2010,NHL,
Walter Brown,brownwa02h,Patrick,1967,NHL,posthumous
Ron DeGregorio,,Patrick,2002,NHL,
Cooney Weiland,weilaco01,Patrick,1971,NHL,
Al Arbour,arboual01,Patrick,1991,NHL,
Murray Murdoch,murdomu01,Patrick,1973,NHL,
Rod Gilbert,gilbero01,Patrick,1990,NHL,
John Kilpatrick,kilpajo01h,Patrick,1967,NHL,posthumous
Phil Housley,houslph01,Patrick,2007,NHL,
John Ziegler,ziegljo01h,Patrick,1983,NHL,
Brian Leetch,leetcbr01,Patrick,2006,NHL,
John A. 'Snooks' Kelly,,Patrick,1971,NHL,
Jack Parker,,Patrick,2009,NHL,
Bob Fleming,,Patrick,1994,NHL,
Jack Adams,adamsja01,Patrick,1965,NHL,
Art Berglund,,Patrick,1991,NHL,
John MacInnes,,Patrick,1985,NHL,
Gary Bettman,,Patrick,2000,NHL,
Mike Emrick,,Patrick,2003,NHL,
Emile Francis,francem01,Patrick,1981,NHL,
Harry Sinden,sindeha01c,Patrick,1998,NHL,
Charles Adams,adamsch01h,Patrick,1966,NHL,posthumous
