year,lgid,tmid,oppid,w,l,t,otl
1977,NHL,PHI,CHI,2,2,1.0,
1971,NHL,DET,LAK,3,2,1.0,
2010,NHL,STL,CHI,2,2,,2
1967,NHL,PIT,MNS,4,3,3.0,
2007,NHL,CHI,COL,3,1,,0
2000,NHL,FLO,PHO,1,0,0.0,1
1993,NHL,QUE,WAS,2,2,0.0,
1980,NHL,QUE,HAR,2,2,0.0,
1997,NHL,BOS,NYR,3,1,0.0,
2010,NHL,NYR,WAS,3,1,,0
1978,NHL,MNS,MTL,1,3,0.0,
2007,NHL,MIN,CBS,3,1,,0
2002,NHL,MTL,CBS,0,0,0.0,1
2007,NHL,TOR,CAR,1,1,,2
2010,NHL,LAK,ATL,1,0,,0
2007,NHL,NYR,TBL,2,2,,0
2002,NHL,NAS,CAL,1,1,2.0,0
1973,NHL,MTL,BUF,3,0,2.0,
1993,NHL,PIT,CHI,1,1,0.0,
1975,NHL,TOR,PIT,1,4,0.0,
1973,NHL,PHI,BUF,5,0,0.0,
1997,NHL,ANA,DET,0,3,1.0,
1969,NHL,DET,BOS,2,1,5.0,
2003,NHL,FLO,CHI,0,0,1.0,0
1981,NHL,TOR,NYR,1,1,1.0,
1984,NHL,LAK,PIT,3,0,0.0,
1993,NHL,HAR,PIT,1,4,0.0,
2007,NHL,VAN,NYR,1,0,,0
2009,NHL,CAR,CAL,0,1,,0
1978,WHA,BIR,QUN,4,11,0.0,
1971,NHL,TOR,LAK,4,1,1.0,
1970,NHL,MNS,BOS,0,5,1.0,
1976,WHA,EDO,MF2,1,2,0.0,
2002,NHL,ANA,BUF,0,1,0.0,0
1985,NHL,QUE,BUF,4,4,0.0,
1977,NHL,DET,MTL,1,4,1.0,
1997,NHL,STL,CAL,3,1,0.0,
2008,NHL,NYR,NYI,5,1,,0
2008,NHL,DET,BUF,2,0,,0
1937,NHL,CHI,DET,3,4,1.0,
2006,NHL,NAS,LAK,3,1,,0
1968,NHL,CHI,BOS,2,5,1.0,
2009,NHL,OTT,ATL,1,3,,0
1996,NHL,HAR,TOR,1,0,1.0,
1984,NHL,NYI,LAK,2,1,0.0,
2002,NHL,SJS,ANA,2,1,0.0,2
2010,NHL,NJD,NAS,0,1,,0
2006,NHL,NYR,ATL,1,1,,2
1989,NHL,CAL,WIN,3,5,0.0,
1988,NHL,WIN,HAR,1,2,0.0,
1991,NHL,MTL,BUF,4,4,0.0,
1985,NHL,PIT,BUF,2,0,1.0,
1976,NHL,PHI,TOR,2,1,1.0,
1978,NHL,PIT,ATF,0,3,1.0,
1987,NHL,NJD,TOR,2,1,0.0,
1995,NHL,WAS,PIT,1,3,0.0,
1997,NHL,DAL,BUF,2,0,0.0,
1999,NHL,NAS,NYI,2,0,0.0,0
2010,NHL,PHI,CAR,3,1,,0
1931,NHL,NYR,MTM,3,2,1.0,
1981,NHL,MNS,QUE,2,0,1.0,
2011,NHL,NJD,WAS,3,1,,0
1996,NHL,PHI,LAK,1,1,0.0,
1979,NHL,COR,LAK,0,4,0.0,
1996,NHL,CAL,NYR,1,1,0.0,
1996,NHL,PHI,TBL,2,2,1.0,
1988,NHL,VAN,MNS,1,2,0.0,
1970,NHL,MNS,PIT,3,1,2.0,
1998,NHL,NJD,PIT,4,1,0.0,
2005,NHL,VAN,LAK,1,2,,1
1912,NHA,MOC,TBS,2,2,0.0,
2007,NHL,CAR,FLO,5,3,,0
2011,NHL,OTT,VAN,0,1,,1
1975,NHL,PIT,KCS,2,1,1.0,
1969,NHL,CHI,NYR,4,1,3.0,
2003,NHL,CAR,LAK,1,0,0.0,0
1972,NHL,ATF,CLF,3,1,1.0,
1968,NHL,DET,OAK,3,2,1.0,
2006,NHL,STL,VAN,1,1,,2
1991,NHL,NYR,HAR,2,1,0.0,
2000,NHL,CHI,CBS,4,0,0.0,1
2007,NHL,BOS,NYR,3,0,,1
2009,NHL,MTL,DAL,1,0,,0
1993,NHL,HAR,STL,0,3,0.0,
1975,NHL,CLF,BUF,0,5,1.0,
1991,NHL,CAL,LAK,5,2,0.0,
1928,NHL,DTC,CHI,4,1,1.0,
1981,NHL,PHI,EDM,1,2,0.0,
1983,NHL,EDM,MNS,2,0,1.0,
2010,NHL,BUF,PHO,1,0,,0
2001,NHL,CBS,CAL,2,2,0.0,0
1970,NHL,DET,PHI,3,2,1.0,
2003,NHL,ATL,CHI,1,0,0.0,0
2009,NHL,EDM,CAL,0,5,,1
1922,NHL,MTL,TRS,4,3,1.0,
2002,NHL,BUF,FLO,2,1,1.0,0
1988,NHL,MNS,NYR,1,2,0.0,
1972,WHA,QUN,WIJ,2,3,1.0,
2010,NHL,SJS,PHO,5,1,,0
2009,NHL,AND,NAS,2,2,,0
2002,NHL,CAL,NJD,2,0,0.0,0
1955,NHL,DET,TOR,5,5,4.0,
1982,NHL,TOR,LAK,1,2,0.0,
2008,NHL,MTL,NYI,2,0,,2
2008,NHL,STL,SJS,2,1,,1
2001,NHL,CBS,NYI,1,0,0.0,0
1974,WHA,TOT,HOU,2,4,0.0,
2006,NHL,LAK,DAL,0,6,,2
2011,NHL,MTL,AND,0,1,,0
2008,NHL,COL,STL,1,3,,0
1977,WHA,HOU,QUN,5,5,1.0,
2006,NHL,DAL,LAK,8,0,,0
1986,NHL,BOS,CAL,2,1,0.0,
1935,NHL,MTM,DET,3,2,1.0,
2005,NHL,PHO,LAK,5,3,,0
1971,NHL,STL,PHI,2,1,3.0,
1990,NHL,WIN,MTL,1,2,0.0,
2002,NHL,MIN,NYR,0,1,0.0,0
