year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1977,WHA,NEW,14,8,6,0,56,47,,,,,,,,
2006,NHL,TBL,6,2,4,0,14,19,110,2,4,26,0,7,28,1
1996,NHL,NYR,15,9,6,0,36,35,218,2,10,64,1,14,68,1
1975,WHA,PHR,5,2,3,0,13,17,,,,,,,,
1988,NHL,STL,10,5,5,0,35,34,216,6,8,56,,6,38,1
1969,NHL,PIT,10,6,4,0,23,25,211,,4,,2,9,,0
1973,WHA,HOU,14,12,2,0,71,35,,,,,,,,
1933,NHL,MTM,4,1,2,1,4,7,26,,,,,,,
1998,NHL,BOS,12,6,6,0,30,27,126,2,9,59,1,8,47,0
1993,NHL,MTL,7,3,4,0,20,22,106,0,6,28,1,7,31,0
1961,NHL,NYR,6,2,4,0,15,22,46,,,,,,,
1980,NHL,MTL,3,0,3,0,6,15,62,0,2,17,0,1,12,0
2011,NHL,OTT,7,3,4,0,13,14,107,0,4,26,0,5,32,0
2007,NHL,PHI,17,9,8,0,52,54,232,4,15,67,2,18,75,2
2006,NHL,NJD,11,5,6,0,30,29,126,4,10,50,2,8,46,0
1995,NHL,NYR,11,5,6,0,34,38,136,2,12,55,3,8,57,1
2001,NHL,PHI,5,1,4,0,2,11,75,2,1,16,0,4,24,0
1978,NHL,BOS,11,7,4,0,36,32,131,4,6,25,0,8,32,1
1948,NHL,TOR,9,8,1,0,28,15,94,,,,,,,
1990,NHL,MTL,13,7,6,0,47,42,333,4,13,68,2,12,68,3
1998,NHL,OTT,4,0,4,0,6,12,46,0,3,27,0,4,18,0
1931,NHL,DTF,2,0,1,1,1,3,10,,,,,,,
1994,NHL,SJS,11,4,7,0,32,59,135,2,9,48,8,13,46,0
1978,NHL,BUF,3,1,2,0,9,9,41,0,1,8,0,0,13,0
1978,NHL,LAK,2,0,2,0,2,9,45,0,2,10,0,3,8,0
1921,NHL,OTS,2,0,1,1,4,5,30,,,,,,,
1978,WHA,NEW,10,5,5,0,39,45,,,,,,,,
1975,NHL,NYI,13,7,6,0,43,39,247,0,9,49,2,7,60,1
1982,NHL,WIN,3,0,3,0,9,14,74,0,6,17,3,2,11,0
1975,NHL,VAN,2,0,2,0,4,8,19,0,2,12,1,1,6,1
1956,NHL,NYR,5,1,4,0,12,22,48,,,,,,,
1941,NHL,MTL,3,1,2,0,8,8,19,,,,,,,
1974,WHA,CLC,5,1,4,0,14,24,,,,,,,,
1998,NHL,STL,13,6,7,0,31,33,179,2,11,61,2,8,71,0
1933,NHL,NYR,2,0,1,1,1,2,18,,,,,,,
2005,NHL,PHI,6,2,4,0,14,27,129,4,3,29,2,7,41,1
1927,NHL,MTL,2,0,1,1,2,3,35,,,,,,,
1939,NHL,BOS,6,2,4,0,9,15,22,,,,,,,
1959,NHL,MTL,8,8,0,0,29,11,79,,,,,,,
1985,NHL,EDM,10,6,4,0,41,30,321,6,8,39,2,8,51,4
1992,NHL,WIN,6,2,4,0,17,21,85,0,6,23,0,4,29,1
1958,NHL,BOS,7,3,4,0,21,20,113,,,,,,,
1952,NHL,CHI,7,3,4,0,14,18,59,,,,,,,
1995,NHL,TOR,6,2,4,0,15,21,112,0,8,32,4,5,34,1
1942,NHL,TOR,6,2,4,0,17,20,46,,,,,,,
1929,NHL,NYR,4,1,2,1,7,7,77,,,,,,,
1981,NHL,MTL,5,2,3,0,16,11,201,2,4,36,1,3,26,3
1988,NHL,CHI,16,9,7,0,52,45,484,6,16,90,,15,99,7
1922,NHL,MTL,2,1,1,0,2,3,44,,,,,,,
1977,NHL,LAK,2,0,2,0,3,11,39,0,0,10,0,2,9,0
1976,WHA,SDM,7,3,4,0,19,28,,,,,,,,
1998,NHL,BUF,21,14,7,0,59,49,349,4,19,95,0,17,118,4
2011,NHL,WAS,14,7,7,0,29,30,122,2,7,39,0,6,48,0
1974,WHA,MFS,12,6,6,0,44,42,,,,,,,,
2003,NHL,MTL,11,4,7,0,24,28,148,0,5,40,1,5,42,0
1990,NHL,HAR,6,2,4,0,17,24,192,0,6,23,0,10,36,1
1978,NHL,CHI,4,0,4,0,3,14,45,0,0,9,0,2,11,0
2002,NHL,DAL,12,6,6,0,34,25,176,8,10,58,2,5,50,1
1930,NHL,NYR,4,2,2,0,8,4,35,,,,,,,
1926,NHL,OTS,6,3,0,3,12,4,85,,,,,,,
1981,NHL,CHI,15,8,7,0,50,51,547,4,11,62,1,14,72,2
1968,NHL,PHI,4,0,4,0,3,17,83,,1,,0,3,,1
1980,NHL,BOS,3,0,3,0,13,20,90,0,2,8,1,5,19,3
1938,NHL,NYA,2,0,2,0,0,6,50,,,,,,,
1931,NHL,MTM,4,1,1,2,6,5,24,,,,,,,
2005,NHL,DAL,5,1,4,0,15,18,64,0,5,31,1,5,28,1
1964,NHL,MTL,13,8,5,0,35,26,329,,,,,,,
1977,NHL,NYI,7,3,4,0,13,16,175,0,3,28,0,4,26,0
1976,NHL,CHI,2,0,2,0,3,7,19,0,3,7,0,1,7,0
1938,NHL,TOR,10,5,5,0,22,20,86,,,,,,,
1980,NHL,PIT,5,2,3,0,21,20,141,4,6,24,0,8,23,1
1951,NHL,MTL,11,4,7,0,20,23,97,,,,,,,
1964,NHL,DET,7,3,4,0,19,23,124,,,,,,,
1977,NHL,ATF,2,0,2,0,5,8,24,0,0,4,1,3,6,0
1976,NHL,BUF,6,2,4,0,21,19,96,0,6,23,1,2,20,0
1969,NHL,BOS,14,12,2,0,65,33,330,,14,,0,14,,5
1970,NHL,PHI,4,0,4,0,8,20,57,,4,,1,7,,0
1983,NHL,CAL,11,6,5,0,41,46,224,2,10,53,2,11,49,3
1976,NHL,PHI,10,4,6,0,27,32,199,4,7,28,1,11,43,1
2003,NHL,NAS,6,2,4,0,9,12,76,0,1,29,1,2,29,1
1981,NHL,PHI,4,1,3,0,15,19,81,0,6,20,0,8,21,2
1990,NHL,CAL,7,3,4,0,20,22,125,4,7,35,0,5,32,0
1948,NHL,DET,11,4,7,0,22,26,164,,,,,,,
1984,NHL,MNS,9,5,4,0,38,38,258,0,12,44,1,6,47,1
1988,NHL,EDM,7,3,4,0,20,25,161,2,6,32,,11,36,1
2001,NHL,NYI,7,3,4,0,21,22,169,2,11,38,0,5,43,0
1947,NHL,TOR,9,8,1,0,38,20,102,,,,,,,
1956,NHL,MTL,10,8,2,0,37,18,122,,,,,,,
1922,WCHL,REG,2,0,1,1,3,4,,,,,,,,
2001,NHL,VAN,6,2,4,0,16,22,62,0,4,27,3,7,25,0
1999,NHL,PHO,5,1,4,0,10,17,75,0,3,19,0,7,27,0
1937,NHL,BOS,3,0,3,0,3,6,28,,,,,,,
1989,NHL,CAL,6,2,4,0,24,29,149,6,2,33,1,10,46,2
