year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l,t,goalswinner,goalsloser,note
1918,F,,MTL,NHL,OTS,NHL,4,1,0,26,18,
2003,CSF,I,TBL,NHL,MTL,NHL,4,0,0,14,5,
1997,CQF,A,OTT,NHL,NJD,NHL,4,2,0,13,12,
1979,SCF,O,NYI,NHL,PHI,NHL,4,2,0,26,25,
1984,DSF,A,MTL,NHL,BOS,NHL,3,2,0,19,17,
1969,QF,D,PIT,NHL,OAK,NHL,4,0,0,13,6,
1991,SCF,O,PIT,NHL,CHI,NHL,4,0,0,15,10,
1994,CF,M,NJD,NHL,PHI,NHL,4,2,0,20,14,
1931,SCF,E,TOR,NHL,NYR,NHL,3,0,0,18,10,
1998,CQF,H,STL,NHL,PHO,NHL,4,3,0,19,16,
1993,SCF,O,NYR,NHL,VAN,NHL,4,3,0,21,19,
1992,DF,J,NYI,NHL,PIT,NHL,4,3,0,24,27,
1981,SCF,O,NYI,NHL,VAN,NHL,4,0,0,18,10,
1969,SCF,G,BOS,NHL,STL,NHL,4,0,0,20,7,
1988,DSF,F,STL,NHL,MNS,NHL,4,1,0,23,15,
1984,DF,L,EDM,NHL,WIN,NHL,4,0,0,22,11,
2008,CQF,F,DET,NHL,CBS,NHL,4,0,0,18,7,
1999,CQF,G,COL,NHL,PHO,NHL,4,1,0,17,10,
1991,DSF,D,PIT,NHL,WAS,NHL,4,3,0,25,27,
1973,DF,,CHC,WHA,TOT,WHA,4,3,0,34,27,
1930,SF,D,CHI,NHL,NYR,NHL,2,0,0,3,0,TG
1990,DF,J,PIT,NHL,WAS,NHL,4,1,0,19,13,
1986,DSF,H,WIN,NHL,CAL,NHL,4,2,0,22,15,
1993,CSF,I,NYR,NHL,WAS,NHL,4,1,0,20,12,
2005,CQF,A,OTT,NHL,TBL,NHL,4,1,0,23,13,
2009,CSF,K,SJS,NHL,DET,NHL,4,1,0,15,17,
1976,Pre,D,TOR,NHL,PIT,NHL,2,1,0,13,10,
2005,SCF,O,CAR,NHL,EDM,NHL,4,3,0,19,16,
2010,CQF,E,VAN,NHL,CHI,NHL,4,3,0,16,22,
1972,DSF,,CLC,WHA,PHB,WHA,4,0,0,19,6,
2000,CSF,K,COL,NHL,LAK,NHL,4,3,0,17,10,
1991,DF,J,PIT,NHL,NYR,NHL,4,2,0,24,19,
1974,QF,E,PHI,NHL,TOR,NHL,4,0,0,15,6,
2006,CQF,D,OTT,NHL,PIT,NHL,4,1,0,18,10,
1934,SCF,E,MTM,NHL,TOR,NHL,3,0,0,10,4,
1993,CF,M,NYR,NHL,NJD,NHL,4,3,0,18,16,
1987,DSF,F,STL,NHL,CHI,NHL,4,1,0,21,17,
1983,DF,K,MNS,NHL,STL,NHL,4,3,0,19,17,
1978,QF,G,BOS,NHL,PIT,NHL,4,0,0,16,7,
1981,DSF,A,QUE,NHL,MTL,NHL,3,2,0,11,16,
1914,SCF,,VML,PCHA,OT1,NHA,3,0,0,26,8,
1954,SF,A,DET,NHL,TOR,NHL,4,0,0,14,6,
1961,SCF,C,TOR,NHL,CHI,NHL,4,2,0,18,15,
2010,CF,M,BOS,NHL,TBL,NHL,4,3,0,21,21,
1916,F,,MOC,NHA,OT1,NHA,1,1,0,7,6,TG
1958,SF,B,TOR,NHL,BOS,NHL,4,3,0,20,21,
1983,DSF,A,MTL,NHL,BOS,NHL,3,0,0,10,2,
1984,DSF,B,QUE,NHL,BUF,NHL,3,2,0,22,22,
2011,CSF,L,PHO,NHL,NAS,NHL,4,1,0,12,9,
1979,QF,K,MNS,NHL,MTL,NHL,4,3,0,18,21,
1991,CF,N,CHI,NHL,EDM,NHL,4,0,0,21,8,
1977,QF,G,TOR,NHL,NYI,NHL,4,3,0,16,13,
1983,DF,I,MTL,NHL,QUE,NHL,4,2,0,20,13,
2003,SCF,O,TBL,NHL,CAL,NHL,4,3,0,13,14,
2002,CQF,F,ANA,NHL,DET,NHL,4,0,0,10,6,
1994,CSF,L,CHI,NHL,VAN,NHL,4,0,0,11,6,
1962,SF,A,TOR,NHL,MTL,NHL,4,1,0,14,6,
1935,SF,A,DET,NHL,MTM,NHL,3,0,0,6,1,
2011,CQF,B,WAS,NHL,BOS,NHL,4,3,0,16,15,
1974,QF,,SDM,WHA,TOT,WHA,4,2,0,29,27,
2006,CQF,B,NJD,NHL,TBL,NHL,4,2,0,19,14,
1921,SCSF,,VML,PCHA,REG,WCHL,1,1,0,5,2,TG
1918,F,,SEA,PCHA,VML,PCHA,1,1,0,7,5,TG
1992,DSF,C,PIT,NHL,NJD,NHL,4,1,0,23,13,
1986,DF,L,EDM,NHL,WIN,NHL,4,0,0,17,9,
1988,DF,I,MTL,NHL,BOS,NHL,4,1,0,16,13,
1975,SF,J,PHI,NHL,BOS,NHL,4,1,0,19,12,
2006,SCF,O,AND,NHL,OTT,NHL,4,1,0,16,11,
2002,CQF,E,DAL,NHL,EDM,NHL,4,2,0,20,11,
1936,SF,D,NYR,NHL,MTM,NHL,2,0,0,5,0,
1995,CQF,E,DET,NHL,WIN,NHL,4,2,0,20,10,
1933,SCF,E,CHI,NHL,DET,NHL,3,1,0,9,7,
1937,QF,C,CHI,NHL,MTL,NHL,2,1,0,11,8,
1968,QF,B,BOS,NHL,TOR,NHL,4,0,0,24,5,
2000,CQF,E,COL,NHL,VAN,NHL,4,0,0,16,9,
1995,CQF,C,NYR,NHL,MTL,NHL,4,2,0,19,17,
1948,SF,B,TOR,NHL,BOS,NHL,4,1,0,16,10,
1989,CF,M,BOS,NHL,WAS,NHL,4,0,0,15,6,
1983,DSF,C,NYI,NHL,NYR,NHL,3,2,0,13,14,
1980,Pre,E,BUF,NHL,VAN,NHL,3,0,0,13,7,
2010,CQF,D,TBL,NHL,PIT,NHL,4,3,0,22,14,
1979,QF,L,NYI,NHL,BOS,NHL,4,1,0,19,14,
1979,Pre,C,MTL,NHL,HAR,NHL,3,0,0,18,8,
1998,CQF,F,COL,NHL,SJS,NHL,4,2,0,19,17,
1991,CF,M,PIT,NHL,BOS,NHL,4,0,0,19,7,
1996,CQF,H,ANA,NHL,PHO,NHL,4,3,0,17,17,
1978,Pre,B,NYR,NHL,LAK,NHL,2,0,0,9,2,
2002,CQF,G,MIN,NHL,COL,NHL,4,3,0,16,17,
1999,CQF,H,DET,NHL,LAK,NHL,4,0,0,15,6,
2003,CF,N,CAL,NHL,SJS,NHL,4,2,0,16,12,
1913,SCF,,TBS,NHA,VA1,PCHA,3,0,0,13,8,
2007,CSF,J,PIT,NHL,NYR,NHL,4,1,0,15,12,
1967,QF,B,CHI,NHL,NYR,NHL,4,2,0,18,12,
1978,SF,J,MTL,NHL,BOS,NHL,4,3,0,25,20,
1978,QF,E,NYI,NHL,CHI,NHL,4,0,0,14,3,
1912,SCF,,VA1,PCHA,QU1,NHA,2,1,0,16,12,EX
1994,CSF,K,DET,NHL,SJS,NHL,4,0,0,24,6,
1980,SF,N,MNS,NHL,CAL,NHL,4,2,0,25,18,
1972,QF,B,NYR,NHL,BOS,NHL,4,1,0,22,11,
2002,CSF,J,NJD,NHL,TBL,NHL,4,1,0,14,8,
1977,QF,E,MTL,NHL,DET,NHL,4,1,0,24,10,
1933,QF,C,MTM,NHL,NYR,NHL,1,0,1,2,1,TG
1922,F,,EDE,WCHL,REG,WCHL,1,0,1,4,3,TG
1982,CF,M,NYI,NHL,BOS,NHL,4,2,0,30,21,
1978,Pre,,NEW,WHA,CIN,WHA,2,1,0,10,10,
1978,Pre,C,TOR,NHL,ATF,NHL,2,0,0,9,5,
1921,F,,VML,PCHA,SEA,PCHA,2,0,0,2,0,TG
1973,QF,D,CHI,NHL,LAK,NHL,4,1,0,10,7,
1971,SF,F,NYR,NHL,CHI,NHL,4,0,0,17,9,
2003,CQF,C,PHI,NHL,NJD,NHL,4,1,0,14,9,
1921,SCF,,TRS,NHL,VML,PCHA,3,2,0,16,9,
