playerid,awardid,yearid,lgid,tie,notes
medwijo01,TSN Guide MVP,1937,NL,,
boggswa01,TSN All-Star,1994,AL,,3Б
ottme01,Baseball Magazine All-Star,1934,NL,,CF
bondsba01,Most Valuable Player,1993,NL,,
kellyge01,Baseball Magazine All-Star,1921,NL,,1б
valvejo01,TSN Reliever of the Year,2007,NL,,
kaatji01,TSN All-Star,1966,AL,,П
scottge02,Gold Glove,1971,AL,,1б
kenneve01,Baseball Magazine All-Star,1936,ML,,П4
jacksre01,TSN All-Star,1973,AL,,ОФ
benchjo01,Gold Glove,1968,NL,,C
marisro01,TSN Player of the Year,1961,AL,,
loftoke01,Gold Glove,1995,AL,,ОФ
robindo01,Silver Slugger,1989,NL,,П
willite01,Baseball Magazine All-Star,1948,AL,,ЛФ
mantlmi01,Most Valuable Player,1962,AL,,
portuma01,Silver Slugger,1994,NL,,П
dawsoan01,Gold Glove,1988,NL,,ОФ
coopewi01,Baseball Magazine All-Star,1921,NL,,R3
furilca01,TSN All-Star,1953,ML,,ОФ
jenkife01,TSN All-Star,1972,NL,,Правостороннее движение
hornsro01,Baseball Magazine All-Star,1926,NL,,Две-б
kluszte01,TSN All-Star,1954,ML,,1б
buehrma01,Gold Glove,2011,AL,,П
smallro02,TSN All-Star,1979,AL,,SS
gonzaju03,Silver Slugger,2001,AL,,ОФ
simmoal01,TSN All-Star,1927,ML,,ОФ
clarkfr01,Baseball Magazine All-Star,1908,ML,,ЛФ
garcida01,Silver Slugger,1982,AL,,Две-б
camparo01,Most Valuable Player,1955,NL,,
webbbr01,Cy Young Award,2006,NL,,
pujolal01,Hank Aaron Award,2003,NL,,
hinespa01,Triple Crown,1878,NL,,
batteea01,Gold Glove,1962,AL,,C
thomafr04,TSN All-Star,2003,AL,,ДХ
youngro01,Baseball Magazine All-Star,1921,NL,,ОФ
robinbr01,TSN All-Star,1966,AL,,3Б
rolfere01,Baseball Magazine All-Star,1938,ML,,3Б
sandbry01,Silver Slugger,1991,NL,,Две-б
ruthba01,Baseball Magazine All-Star,1929,ML,,RF
donovbi01,Baseball Magazine All-Star,1908,AL,,Пять
bondsba01,Gold Glove,1994,NL,,ОФ
jeterde01,Silver Slugger,2008,AL,,SS
mcdowja01,Cy Young Award,1993,AL,,
gehrilo01,Triple Crown,1934,AL,,
perezto01,Lou Gehrig Memorial Award,1980,ML,,
daviser01,Gold Glove,1987,NL,,ОФ
munsoth01,TSN All-Star,1975,AL,,C
niekrph01,Gold Glove,1982,NL,,П
averiea01,TSN All-Star,1936,ML,,ОФ
willibi01,TSN All-Star,1964,NL,,ОФ
burksel01,Silver Slugger,1996,NL,,ОФ
griffke02,Gold Glove,1990,AL,,ОФ
murraed02,Silver Slugger,1983,AL,,1б
daubeja01,Baseball Magazine All-Star,1911,NL,,1б
gehrich01,TSN All-Star,1935,ML,,Две-б
lordha01,Baseball Magazine All-Star,1909,ML,,3Б
johnswa01,Baseball Magazine All-Star,1912,AL,,П1
bakerfr01,Baseball Magazine All-Star,1914,ML,,3Б
cavarph01,TSN All-Star,1945,ML,,1б
putzjj01,Rolaids Relief Man Award,2007,AL,,
kellge01,Baseball Magazine All-Star,1950,AL,,3Б
gehrilo01,TSN All-Star,1928,ML,,1б
ruthba01,Baseball Magazine All-Star,1927,ML,,ЛФ
soriara01,Rolaids Relief Man Award,2010,AL,,
klingjo01,Baseball Magazine All-Star,1909,NL,,С1
bendech01,Baseball Magazine All-Star,1910,ML,,П4
