playerid,yearid,stint,teamid,lgid,w,l,g,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,baopp,era,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,gidp
brockch01,1999,1,SFN,NL,6,8,19,19,0,0,0,320,124,65,18,41,76,0.0,5.0,2.0,8.0,4.0,2,479.0,0.0,69,,,
hootobu01,1975,1,CHN,NL,0,2,3,3,0,0,0,33,18,10,2,4,5,0.0,8.0,0.0,0.0,0.0,0,54.0,0.0,12,,,
stremph01,1909,1,SLA,AL,0,2,2,2,2,0,0,54,20,9,0,4,6,0.0,4.0,,0.0,1.0,0,70.0,0.0,9,,,
jacksla01,1960,1,SLN,NL,18,13,43,38,14,3,0,846,277,109,22,70,171,0.0,3.0,4.0,2.0,3.0,0,1173.0,3.0,123,,,
rothsla01,1982,1,DET,AL,0,0,2,0,0,0,0,8,4,4,1,2,0,0.0,13.0,0.0,0.0,0.0,0,14.0,0.0,4,,,
woodbge01,1912,1,SLN,NL,1,4,20,5,1,0,0,145,60,30,0,42,25,0.0,5.0,,4.0,4.0,0,243.0,6.0,48,,,
embreal01,1996,1,CLE,AL,1,1,24,0,0,0,0,93,30,22,10,21,33,0.0,6.0,3.0,3.0,0.0,0,141.0,2.0,26,,,
corcola01,1885,2,NY1,NL,2,1,3,3,2,0,0,75,24,8,1,11,10,0.0,2.0,,2.0,0.0,0,109.0,0.0,12,,,
choatra01,2004,1,ARI,NL,2,4,74,0,0,0,0,152,52,26,1,28,49,0.0,4.0,11.0,1.0,5.0,1,232.0,17.0,26,,,
reuscri01,1981,1,CHN,NL,4,7,13,13,1,0,0,257,87,33,4,23,53,0.0,3.0,4.0,5.0,4.0,0,358.0,0.0,40,,,
stiebda01,1998,1,TOR,AL,1,2,19,3,0,0,2,151,58,27,6,17,27,,4.0,1.0,0.0,5.0,0,228.0,7.0,31,,,
tricebo01,1953,1,PHA,AL,2,1,3,3,1,0,0,69,25,14,4,6,4,0.0,5.0,,0.0,0.0,0,97.0,0.0,14,,,
penaal01,1991,1,NYN,NL,6,1,44,0,0,0,4,189,63,19,5,19,49,0.0,2.0,4.0,1.0,0.0,2,261.0,24.0,20,,,
mcgratu01,1967,1,NYN,NL,0,3,4,4,0,0,0,52,13,15,3,13,18,0.0,7.0,2.0,4.0,0.0,0,78.0,0.0,16,,,
shorebi01,1930,1,PHA,AL,12,4,31,19,7,1,0,477,169,74,11,70,48,0.0,4.0,,1.0,3.0,0,700.0,7.0,86,,,
coopewi01,1923,1,PIT,NL,17,19,39,38,26,1,0,884,331,117,11,71,77,0.0,3.0,,2.0,11.0,0,1259.0,1.0,136,,,
cormirh01,2004,1,PHI,NL,4,5,84,0,0,0,0,243,70,32,7,26,46,0.0,3.0,6.0,1.0,5.0,0,330.0,8.0,32,,,
scottja01,1925,1,NY1,NL,14,15,36,28,18,2,3,719,251,84,10,55,87,0.0,3.0,,1.0,4.0,0,1016.0,8.0,98,,,
yowelca01,1925,1,CLE,AL,2,3,12,4,1,0,0,109,40,18,1,17,12,0.0,4.0,,0.0,1.0,0,151.0,3.0,21,,,
polleho01,1956,1,CHA,AL,3,1,11,4,0,0,0,79,27,12,2,11,14,0.0,4.0,0.0,1.0,0.0,0,119.0,1.0,15,,,
schmija01,2000,1,PIT,NL,2,5,11,11,0,0,0,190,71,38,6,41,51,0.0,5.0,2.0,1.0,1.0,0,295.0,0.0,43,,,
