managerid,awardid,yearid,lgid,tie,notes
andersp01m,TSN Manager of the Year,1987,AL,,
bochybr01m,TSN Manager of the Year,1996,NL,,
coxbo01m,TSN Manager of the Year,1991,NL,,
showabu99m,TSN Manager of the Year,1994,AL,,
baylodo01m,BBWAA Manager of the year,1995,NL,,
sciosmi01m,BBWAA Manager of the year,2009,AL,,
zimmedo01m,TSN Manager of the Year,1989,NL,,
alstowa01m,TSN Manager of the Year,1963,ML,,
pinielo01m,BBWAA Manager of the year,2001,AL,,
tracyji01m,BBWAA Manager of the year,2009,NL,,
melvibo01m,BBWAA Manager of the year,2012,AL,,
murtada01m,TSN Manager of the Year,1960,ML,,
bowala01m,TSN Manager of the Year,2001,NL,,
williji03m,BBWAA Manager of the year,1999,AL,,
rignebi01m,TSN Manager of the Year,1962,ML,,
freyji99m,BBWAA Manager of the year,1984,NL,,
coxbo01m,TSN Manager of the Year,1993,NL,,
oatesjo01m,BBWAA Manager of the year,1996,AL,Да,
mccarjo99m,TSN Manager of the Year,1936,ML,,
rodgebu01m,BBWAA Manager of the year,1987,NL,,
bambege01m,TSN Manager of the Year,1978,ML,,
mcnamjo99m,TSN Manager of the Year,1986,AL,,
stengca01m,TSN Manager of the Year,1958,ML,,
gardero01m,BBWAA Manager of the year,2010,AL,,
willidi02m,TSN Manager of the Year,1967,ML,,
weaveea99m,TSN Manager of the Year,1979,ML,,
penato01m,TSN Manager of the Year,2003,AL,,
mauchge01m,TSN Manager of the Year,1973,ML,,
smithma01m,TSN Manager of the Year,1968,ML,,
maddojo99m,BBWAA Manager of the year,2011,AL,,
stengca01m,TSN Manager of the Year,1953,ML,,
durocle01m,TSN Manager of the Year,1951,ML,,
bochybr01m,BBWAA Manager of the year,1996,NL,,
leylaji99m,BBWAA Manager of the year,1992,NL,,
guilloz01m,BBWAA Manager of the year,2005,AL,,
mckecbi01m,TSN Manager of the Year,1937,ML,,
southbi01m,TSN Manager of the Year,1941,ML,,
coxbo01m,TSN Manager of the Year,2003,NL,,
coxbo01m,TSN Manager of the Year,2005,NL,,
durocle01m,TSN Manager of the Year,1954,ML,,
stengca01m,TSN Manager of the Year,1949,ML,,
ozarkda99m,TSN Manager of the Year,1976,ML,,
maddojo99m,BBWAA Manager of the year,2008,AL,,
guilloz01m,TSN Manager of the Year,2005,AL,,
lanieha01m,TSN Manager of the Year,1986,NL,,
larusto01m,BBWAA Manager of the year,1992,AL,,
virdobi01m,TSN Manager of the Year,1980,ML,,
manueje01m,TSN Manager of the Year,2000,AL,,
coxbo01m,BBWAA Manager of the year,2005,NL,,
pinielo01m,BBWAA Manager of the year,2008,NL,,
robinfr02m,BBWAA Manager of the year,1989,AL,,
torrejo01m,TSN Manager of the Year,1998,AL,,
torrejo01m,BBWAA Manager of the year,1996,AL,Да,
leylaji99m,TSN Manager of the Year,1990,NL,,
leylaji99m,TSN Manager of the Year,2006,AL,,
mccarjo99m,TSN Manager of the Year,1938,ML,,
coxbo01m,TSN Manager of the Year,2002,NL,,
bakerdu01m,BBWAA Manager of the year,1997,NL,,
johnsda02m,BBWAA Manager of the year,1997,AL,,
blackbu02m,BBWAA Manager of the year,2010,NL,,
gibsoki01m,BBWAA Manager of the year,2011,NL,,
keanejo99m,TSN Manager of the Year,1964,ML,,
coxbo01m,TSN Manager of the Year,1985,ML,,
girarjo01m,TSN Manager of the Year,2006,NL,,
dierkla01m,BBWAA Manager of the year,1998,NL,,
lamonge01m,BBWAA Manager of the year,1993,AL,,
rodgebu01m,TSN Manager of the Year,1987,NL,,
sciosmi01m,TSN Manager of the Year,2002,AL,,
melvibo01m,TSN Manager of the Year,2007,NL,,
andersp01m,BBWAA Manager of the year,1987,AL,,
alstowa01m,TSN Manager of the Year,1955,ML,,
gardero01m,TSN Manager of the Year,2004,AL,,
bauerha01m,TSN Manager of the Year,1966,ML,,
herzowh01m,BBWAA Manager of the year,1985,NL,,
bakerdu01m,BBWAA Manager of the year,2000,NL,,
hodgegi01m,TSN Manager of the Year,1969,ML,,
coxbo01m,TSN Manager of the Year,2004,NL,,
mcnamjo99m,BBWAA Manager of the year,1986,AL,,
johnsda01m,TSN Manager of the Year,1975,ML,,
bochybr01m,TSN Manager of the Year,1998,NL,,
tannech01m,TSN Manager of the Year,1972,ML,,
bakerdu01m,TSN Manager of the Year,2000,NL,,
leylaji99m,BBWAA Manager of the year,1990,NL,,
williji03m,TSN Manager of the Year,1999,AL,,
johnsda02m,TSN Manager of the Year,1997,AL,,
robinfr02m,TSN Manager of the Year,1989,AL,,
coxbo01m,TSN Manager of the Year,1999,NL,,
showabu99m,BBWAA Manager of the year,1994,AL,,
mckeoja99m,BBWAA Manager of the year,1999,NL,,
larusto01m,TSN Manager of the Year,1988,AL,,
melvibo01m,BBWAA Manager of the year,2007,NL,,
oatesjo01m,TSN Manager of the Year,1996,AL,,
tebbebi01m,TSN Manager of the Year,1956,ML,,
coxbo01m,BBWAA Manager of the year,1991,NL,,
torrejo01m,BBWAA Manager of the year,1998,AL,,
alstowa01m,TSN Manager of the Year,1959,ML,,
aloufe01m,BBWAA Manager of the year,1994,NL,,
dyered01m,TSN Manager of the Year,1946,ML,,
larusto01m,BBWAA Manager of the year,2002,NL,,
torboje01m,BBWAA Manager of the year,1990,AL,,
wedgeer01m,TSN Manager of the Year,2007,AL,,
zimmedo01m,BBWAA Manager of the year,1989,NL,,
melesa01m,TSN Manager of the Year,1965,ML,,
leylaji99m,TSN Manager of the Year,1992,NL,,
lasorto01m,TSN Manager of the Year,1988,NL,,
freyji99m,TSN Manager of the Year,1984,ML,,
pinielo01m,BBWAA Manager of the year,1995,AL,,
leylaji99m,TSN Manager of the Year,1988,NL,,
larusto01m,BBWAA Manager of the year,1983,AL,,
rolfere01m,TSN Manager of the Year,1950,ML,,
baylodo01m,TSN Manager of the Year,1995,NL,,
meyerbi01m,TSN Manager of the Year,1948,ML,,
bluegos01m,TSN Manager of the Year,1945,ML,,
martibi02m,TSN Manager of the Year,1981,ML,,
hutchfr01m,TSN Manager of the Year,1957,ML,,
andersp01m,BBWAA Manager of the year,1984,AL,,
lanieha01m,BBWAA Manager of the year,1986,NL,,
pinielo01m,TSN Manager of the Year,2001,AL,,
kellyto01m,TSN Manager of the Year,1991,AL,,
lasorto01m,BBWAA Manager of the year,1988,NL,,
sewellu01m,TSN Manager of the Year,1944,ML,,
coxbo01m,BBWAA Manager of the year,2004,NL,,
larusto01m,TSN Manager of the Year,1992,AL,,
aloufe01m,TSN Manager of the Year,1994,NL,,
murtada01m,TSN Manager of the Year,1970,ML,,
lasorto01m,BBWAA Manager of the year,1983,NL,,
showabu99m,BBWAA Manager of the year,2004,AL,,
mckeoja99m,BBWAA Manager of the year,2003,NL,,
harribu01m,TSN Manager of the Year,1947,ML,,
coxbo01m,BBWAA Manager of the year,1985,AL,,
wedgeer01m,BBWAA Manager of the year,2007,AL,,
leylaji99m,BBWAA Manager of the year,2006,AL,,
herzowh01m,TSN Manager of the Year,1982,ML,,
hargrmi01m,TSN Manager of the Year,1995,AL,,
penato01m,BBWAA Manager of the year,2003,AL,,
bakerdu01m,TSN Manager of the Year,1997,NL,,
houkra01m,TSN Manager of the Year,1961,ML,,
mccarjo99m,TSN Manager of the Year,1943,ML,,
manueje01m,BBWAA Manager of the year,2000,AL,,
larusto01m,TSN Manager of the Year,1983,ML,,
girarjo01m,BBWAA Manager of the year,2006,NL,,
southbi01m,TSN Manager of the Year,1942,ML,,
larusto01m,BBWAA Manager of the year,1988,AL,,
durocle01m,TSN Manager of the Year,1939,ML,,
mckecbi01m,TSN Manager of the Year,1940,ML,,
oatesjo01m,TSN Manager of the Year,1993,AL,,
bowala01m,BBWAA Manager of the year,2001,NL,,
bakerdu01m,BBWAA Manager of the year,1993,NL,,
torboje01m,TSN Manager of the Year,1990,AL,,
stanked01m,TSN Manager of the Year,1952,ML,,
kellyto01m,BBWAA Manager of the year,1991,AL,,
foxch01m,TSN Manager of the Year,1971,ML,,
weaveea99m,TSN Manager of the Year,1977,ML,,
virdobi01m,TSN Manager of the Year,1974,ML,,
sciosmi01m,BBWAA Manager of the year,2002,AL,,
johnsda02m,BBWAA Manager of the year,2012,NL,,
