franchid,franchname,active,naassoc
CHC,Чикаго Кабс,Да,КНА
NNA,Нью-Йорк Мьютэлс,Н/Д,Нью-Йоркский университет
BLC,Балтиморские канарейки,Н/Д,
DTN,Детройт Вулирз,Да,
KCU,Канзас-Сити Ковбои,Да,
MAR,"Балтимор, Мэриленд",Н/Д,
BRD,Бостон Редс,Да,
TOL,Толедские синие штанины,Да,
MLG,Милуоки Грейс,Да,
ECK,Бруклин Экфорс,Н/Д,
SYS,Сиракузские звёзды,Да,
RES,Элизабет принимает решение,Н/Д,
CHH,Чикаго Уайлд,Да,
NYU,Нью-Йорк Мьютэлс,Да,ННА
BRG,Бруклин Гамильтоны,Да,
ANA,Лос-Анджелес Энджелс из Энаим,Да,
LOU,Луизвилл Колонелс,Да,
BLT,Балтимор Террапины,Да,
CPI,Чикаго/Питтсбург (Союзная лига),Да,
TRO,Трой Хаймейкерс,Н/Д,
ALT,Альтона-Маунтин-Сити,Да,
NAT,Вашингтон Нэшнлз,Н/Д,
BFL,Баффало Бильз,Да,
SYR,Сиракузские звёзды,Да,
PNA,Филадельфийские Атлеты,Н/Д,АТХ
SDP,Сан-Диего Падрес,Да,
ARI,Аризона Даймондбэкс,Да,
PWS,Филадельфийские белые чулки,Н/Д,
BNA,Бостон Ред Сокс,Н/Д,ATL
PHA,Филадельфийские Атлеты,Да,
WSN,Вашингтон Нэшнлз,Да,
KEK,Форт-Вэйн Кекионгас,Н/Д,
IND,Индианаполис Хоуизерз,Да,
MAN,Миддлтаун-Мэнсфилдс,Н/Д,
NYI,Нью-Йорк Джайантс,Да,
IHO,Индианаполис Хоуизерз,Да,
BFB,Баффало Бильз,Да,
FLA,Майами Марлинс,Да,
LAD,Лос-Анджелес Доджерс,Да,
OAK,Окленд Аэрос,Да,
BUF,Баффало Бильз,Да,
SLR,Сент-Луисские красные носки,Н/Д,
MIL,Милвоки Брюэрс,Да,
CEN,Филадельфийские столетия,Н/Д,
CLE,Кливленд Индианс,Да,
PRO,Провиденс Грейс,Да,
HAR,Хартфорд Дарк Блюз,Да,HНА
COR,Цинциннати Оутларедс,Да,
PBB,Питтсбургские бурги,Да,
BRA,Бруклин Атланты,Н/Д,
WBL,Вашингтонские синие ноги,Н/Д,
WNA,Вашингтон Нэшнлз,Да,
BTT,Бруклин Тип-Топс,Да,
BLO,Балтимор Ориолс,Да,
WNL,Вашингтон Нэшнлз,Да,
CBK,Коламбус Бакс,Да,
TRT,Троианы,Да,
SLI,Сент-Луис Терьерсы,Да,
TOR,Торонто Блю Джейс,Да,
OLY,Олимпиада в Вашингтоне,Н/Д,
BAL,Балтимор Ориолс,Да,
PBS,Питтсбургские повстанцев,Да,
MLU,Милвоки Брюэрс,Да,
SEA,Сиэтл Маринерс,Да,
WST,Вашингтон Стейтменс,Да,
NEW,Ньюарк Пеппер,Да,
BWW,"Вот перевод на русский:

""Чудеса Бруклина Уорда""",Да,
HOU,Хьюстон Астрос,Да,
CNR,"""Цинциннати Редс""",Да,
WIL,Уилмингтон Квикстейпс,Да,
SBS,Сент-Луис Браун Стокингс,Да,СНА
STL,Сент-Луис Кардиналс,Да,
BLU,Балтиморские монументальные скульптуры,Да,
KCC,Канзас-Сити Ковбои,Да,
BRS,Бостон Редс,Да,
PIT,Питтсбург Пираты,Да,
NYM,Нью-Йорк Метс,Да,
TEX,Техас Рейнджеры,Да,
COL,Колорадо Рокиз,Да,
CLV,Кливленд Спайдеры,Да,
MIN,Миннесота Твинс,Да,
CFC,Кливленд Форест-Ситис,Н/Д,
BOS,Бостон Ред Сокс,Да,
WOR,Уориксер Руби Лэгс,Да,
CHP,Чикаго Пэрри-Сейс,Да,
CNA,Чикаго Блэкхокс,Н/Д,ХЧ
ATH,Филадельфийские Атлеты,Да,ПНА
CKK,Киллеры из Цинциннати Келли,Да,
CIN,"""Цинциннати Редс""",Да,
ATL,Атланта Брейвз,Да,БНА
WAS,Вашингтон Сенаторы,Да,
WNT,Вашингтон Нэшнлз,Н/Д,
KCN,Канзас-Сити Ковбои,Да,
STP,Святые апостолы Павел,Да,
SFG,Сан-Франциско Джайентс,Да,
PHK,Филадельфийские ключи,Да,
HNA,Хартфорд Дарк Блюз,Н/Д,ХАР
SNA,Сент-Луис Браун Стокингс,Н/Д,ТВС
TLM,Толедо Маумее,Да,
PHQ,Филадельфийские Атлеты,Да,
RIC,Ричмондские американцы из Вирджинии,Да,
SLM,Сент-Луис Маранс,Да,
NHV,Новый-Хейвен Эльба-Сити,Н/Д,
CHW,Чикаго Уайт Сокс,Да,
WES,Кеокук Уэстернс,Н/Д,
TBD,Тампа Бэй Рейс,Да,
CBL,Кливленд Блюз,Да,
ROK,Рокфорд Форест-Ситис,Н/Д,
NYP,Нью-Йорк Метлс,Да,
ROC,Бронкос Рочестера,Да,
LGR,Луисвилл Грейс,Да,
PHI,Филадельфия Филлис,Да,
KCP,Канзас-Сити Пакерс,Да,
MLA,Милвоки Брюэрс,Да,
NYY,Нью-Йорк Янкиз,Да,
CLS,Колумб Солонс,Да,
DET,Детройт Тайгерс,Да,
CLI,Кливлендские младенцы,Да,
IBL,Индианаполис Блюз,Да,
KCR,Канзас Сити Роялс,Да,
