yearid,round,teamidwinner,lgidwinner,teamidloser,lgidloser,wins,losses,ties
2009,НДС1,LAN,NL,SLN,NL,3,0,0
1929,WS,PHA,AL,CHN,NL,4,1,0
1920,WS,CLE,AL,BRO,NL,5,2,0
1962,WS,NYA,AL,SFN,NL,4,3,0
1990,WS,CIN,NL,OAK,AL,4,0,0
2003,НЛДС2,CHN,NL,ATL,NL,3,2,0
1933,WS,NY1,NL,WS1,AL,4,1,0
1925,WS,PIT,NL,WS1,AL,4,3,0
1982,АЛКС,ML4,AL,CAL,AL,3,2,0
1979,АЛКС,BAL,AL,CAL,AL,3,1,0
1980,АЛКС,KCA,AL,NYA,AL,3,0,0
1992,НЛКС,ATL,NL,PIT,NL,4,3,0
2000,НЛДС2,NYN,NL,SFN,NL,3,1,0
1997,ALDS2,BAL,AL,SEA,AL,3,1,0
1972,АЛКС,OAK,AL,DET,AL,3,2,0
2009,НЛДС2,PHI,NL,COL,NL,3,1,0
1908,WS,CHN,NL,DET,AL,4,1,0
2012,НДС1,SLN,NL,WAS,NL,3,2,0
2010,WS,SFN,NL,TEX,AL,4,1,0
1979,НЛКС,PIT,NL,CIN,NL,3,0,0
1974,АЛКС,OAK,AL,BAL,AL,3,1,0
1995,НДС1,ATL,NL,COL,NL,3,1,0
1970,WS,BAL,AL,CIN,NL,4,1,0
1960,WS,PIT,NL,NYA,AL,4,3,0
1985,АЛКС,KCA,AL,TOR,AL,4,3,0
2011,НДС1,SLN,NL,PHI,NL,3,2,0
1996,ALDS2,NYA,AL,TEX,AL,3,1,0
2009,ALDS2,LAA,AL,BOS,AL,3,0,0
2004,НДС1,SLN,NL,LAN,NL,3,1,0
1948,WS,CLE,AL,BSN,NL,4,2,0
1988,АЛКС,OAK,AL,BOS,AL,4,0,0
2004,WS,BOS,AL,SLN,NL,4,0,0
1924,WS,WS1,AL,NY1,NL,4,3,0
1975,АЛКС,BOS,AL,OAK,AL,3,0,0
1976,WS,CIN,NL,NYA,AL,4,0,0
1998,НЛДС2,SDN,NL,HOU,NL,3,1,0
1971,НЛКС,PIT,NL,SFN,NL,3,1,0
2004,ALDS1,BOS,AL,ANA,AL,3,0,0
1975,WS,CIN,NL,BOS,AL,4,3,0
2005,ALDS1,CHA,AL,BOS,AL,3,0,0
2011,НЛДС2,MIL,NL,ARI,NL,3,2,0
1951,WS,NYA,AL,NY1,NL,4,2,0
1981,НЕДИВ,MON,NL,PHI,NL,3,2,0
1997,WS,FLO,NL,CLE,AL,4,3,0
2003,НЛКС,FLO,NL,CHN,NL,4,3,0
1989,WS,OAK,AL,SFN,NL,4,0,0
1903,WS,BOS,AL,PIT,NL,5,3,0
1998,WS,NYA,AL,SDN,NL,4,0,0
1938,WS,NYA,AL,CHN,NL,4,0,0
1973,WS,OAK,AL,NYN,NL,4,3,0
1977,WS,NYA,AL,LAN,NL,4,2,0
2003,WS,FLO,NL,NYA,AL,4,2,0
1998,ALDS1,CLE,AL,BOS,AL,3,1,0
1998,ALDS2,NYA,AL,TEX,AL,3,0,0
2009,WS,NYA,AL,PHI,NL,4,2,0
1941,WS,NYA,AL,BRO,NL,4,1,0
1991,НЛКС,ATL,NL,PIT,NL,4,3,0
1990,НЛКС,CIN,NL,PIT,NL,4,2,0
2007,НЛКС,COL,NL,ARI,NL,4,0,0
1909,WS,PIT,NL,DET,AL,4,3,0
1995,ALDS1,CLE,AL,BOS,AL,3,0,0
2003,ALDS1,NYA,AL,MIN,AL,3,1,0
1919,WS,CIN,NL,CHA,AL,5,3,0
1992,WS,TOR,AL,ATL,NL,4,2,0
1995,ALDS2,SEA,AL,NYA,AL,3,2,0
1984,WS,DET,AL,SDN,NL,4,1,0
1981,АВДИВ,OAK,AL,KCA,AL,3,0,0
2006,ALDS1,DET,AL,NYA,AL,3,1,0
1997,АЛКС,CLE,AL,BAL,AL,4,2,0
2000,ALDS1,NYA,AL,OAK,AL,3,2,0
2010,ALDS2,NYA,AL,MIN,AL,3,0,0
1969,АЛКС,BAL,AL,MIN,AL,3,0,0
1978,WS,NYA,AL,LAN,NL,4,2,0
2002,АЛКС,ANA,AL,MIN,AL,4,1,0
1980,WS,PHI,NL,KCA,AL,4,2,0
2003,НДС1,FLO,NL,SFN,NL,3,1,0
2001,НДС1,ATL,NL,HOU,NL,3,0,0
1945,WS,DET,AL,CHN,NL,4,3,0
2000,АЛКС,NYA,AL,SEA,AL,4,2,0
2011,WS,SLN,NL,TEX,AL,4,3,0
2012,АЛКС,DET,AL,NYA,AL,4,0,0
1996,НДС1,ATL,NL,LAN,NL,3,0,0
2002,НЛДС2,SLN,NL,ARI,NL,3,0,0
1991,WS,MIN,AL,ATL,NL,4,3,0
1978,АЛКС,NYA,AL,KCA,AL,3,1,0
1952,WS,NYA,AL,BRO,NL,4,3,0
2011,ALDS2,TEX,AL,TBA,AL,3,1,0
2001,АЛКС,NYA,AL,SEA,AL,4,1,0
1940,WS,CIN,NL,DET,AL,4,3,0
1983,НЛКС,PHI,NL,LAN,NL,3,1,0
1995,НЛКС,ATL,NL,CIN,NL,4,0,0
1969,WS,NYN,NL,BAL,AL,4,1,0
2005,НЛКС,HOU,NL,SLN,NL,4,2,0
1922,WS,NY1,NL,NYA,AL,4,0,0
1985,НЛКС,SLN,NL,LAN,NL,4,2,0
2000,ALDS2,SEA,AL,CHA,AL,3,0,0
1999,WS,NYA,AL,ATL,NL,4,0,0
1970,НЛКС,CIN,NL,PIT,NL,3,0,0
2009,АЛКС,NYA,AL,LAA,AL,4,2,0
2003,АЛКС,NYA,AL,BOS,AL,4,3,0
1971,АЛКС,BAL,AL,OAK,AL,3,0,0
2008,ALDS1,BOS,AL,LAA,AL,3,1,0
1986,НЛКС,NYN,NL,HOU,NL,4,2,0
1999,ALDS2,NYA,AL,TEX,AL,3,0,0
2005,АЛКС,CHA,AL,LAA,AL,4,1,0
1997,НДС1,FLO,NL,SFN,NL,3,0,0
1983,WS,BAL,AL,PHI,NL,4,1,0
2009,ALDS1,NYA,AL,MIN,AL,3,0,0
1964,WS,SLN,NL,NYA,AL,4,3,0
1998,НДС1,ATL,NL,CHN,NL,3,0,0
1917,WS,CHA,AL,NY1,NL,4,2,0
1934,WS,SLN,NL,DET,AL,4,3,0
1939,WS,NYA,AL,CIN,NL,4,0,0
2007,ALDS1,BOS,AL,LAA,AL,3,0,0
2010,АЛКС,TEX,AL,NYA,AL,4,2,0
2002,WS,ANA,AL,SFN,NL,4,3,0
1975,НЛКС,CIN,NL,PIT,NL,3,0,0
1942,WS,SLN,NL,NYA,AL,4,1,0
1990,АЛКС,OAK,AL,BOS,AL,4,0,0
2008,НЛДС2,PHI,NL,MIL,NL,3,1,0
1932,WS,NYA,AL,CHN,NL,4,0,0
1982,НЛКС,SLN,NL,ATL,NL,3,0,0
2001,WS,ARI,NL,NYA,AL,4,3,0
1987,НЛКС,SLN,NL,SFN,NL,4,3,0
2012,НЛКС,SFN,NL,SLN,NL,4,3,0
1981,НДВИ,LAN,NL,HOU,NL,3,2,0
1995,WS,ATL,NL,CLE,AL,4,2,0
1997,НЛДС2,ATL,NL,HOU,NL,3,0,0
2012,НЛДС2,SFN,NL,CIN,NL,3,2,0
2007,WS,BOS,AL,COL,NL,4,0,0
1953,WS,NYA,AL,BRO,NL,4,2,0
1995,АЛКС,CLE,AL,SEA,AL,4,2,0
1949,WS,NYA,AL,BRO,NL,4,1,0
2004,АЛКС,BOS,AL,NYA,AL,4,3,0
1973,НЛКС,NYN,NL,CIN,NL,3,2,0
1992,АЛКС,TOR,AL,OAK,AL,4,2,0
1971,WS,PIT,NL,BAL,AL,4,3,0
1954,WS,NY1,NL,CLE,AL,4,0,0
2006,НДС1,NYN,NL,LAN,NL,3,0,0
1996,НЛДС2,SLN,NL,SDN,NL,3,0,0
1947,WS,NYA,AL,BRO,NL,4,3,0
