playerid,yearid,stint,teamid,lgid,pos,g,gs,innouts,po,a,e,dp,pb,wp,sb,cs,zr
bouldca01,1964,1,WS2,AL,П,9,3.0,75.0,2.0,4.0,1.0,0.0,,,,,
solisma01,1958,1,CHN,NL,П,15,4.0,156.0,5.0,8.0,0.0,0.0,,,,,
jonesca01,1992,1,SEA,AL,П,38,1.0,185.0,3.0,7.0,3.0,1.0,,,,,
roystje01,1987,2,NYA,AL,ЛФ,1,1.0,24.0,0.0,0.0,0.0,0.0,,,,,
andergo01,1907,1,PIT,NL,ОФ,117,,,207.0,15.0,11.0,4.0,,,,,
holladu01,1932,1,BSN,NL,ОФ,39,,,94.0,3.0,1.0,0.0,,,,,
lyttlji01,1976,2,LAN,NL,RF,1,0.0,3.0,0.0,0.0,0.0,0.0,,,,,
sheafda01,1994,1,COL,NL,C,30,28.0,707.0,178.0,16.0,1.0,2.0,2.0,9.0,24.0,9.0,0.0
brinked01,1968,1,WS2,AL,SS,74,66.0,1673.0,97.0,197.0,10.0,28.0,,,,,
vaughbo01,1915,1,SLF,FL,SS,12,,,15.0,13.0,4.0,4.0,,,,,
shelbjo01,1984,1,BAL,AL,CF,118,78.0,2339.0,254.0,9.0,2.0,1.0,,,,,
kirkped01,1976,1,PIT,NL,ЛФ,3,3.0,88.0,6.0,1.0,0.0,0.0,,,,,
johnto01,1964,1,CLE,AL,П,25,14.0,283.0,5.0,16.0,0.0,2.0,,,,,
griffto02,1979,1,SFN,NL,П,59,3.0,283.0,5.0,19.0,1.0,1.0,,,,,
nehfar01,1917,1,BSN,NL,П,38,,,9.0,63.0,1.0,3.0,,,,,
mooremo01,1875,1,BR2,NA,3Б,1,,,1.0,2.0,2.0,0.0,,,,,
barloto01,1875,2,BR2,NA,Две-б,1,,,2.0,0.0,2.0,0.0,,,,,
nixonal01,1915,1,BRO,NL,ОФ,14,,,11.0,1.0,0.0,1.0,,,,,
minosmi01,1958,1,CLE,AL,ЛФ,147,145.0,3885.0,294.0,13.0,8.0,1.0,,,,,
wagneha01,1937,1,PHA,AL,C,1,,,1.0,0.0,0.0,1.0,0.0,,,,
roberbi01,1990,1,SDN,NL,3Б,56,46.0,1199.0,34.0,89.0,6.0,7.0,,,,,
raburry01,2012,1,DET,AL,RF,22,8.0,278.0,15.0,0.0,0.0,0.0,,,,,
griffde01,1966,1,LAN,NL,RF,2,0.0,9.0,0.0,0.0,0.0,0.0,,,,,
thomafr04,1997,1,CHA,AL,ДХ,49,,,,,,,,,,,
lazzeto01,1938,1,CHN,NL,SS,25,,,33.0,54.0,5.0,11.0,,,,,
mendoca01,2000,1,COL,NL,ОФ,3,0.0,18.0,0.0,0.0,1.0,0.0,,,,,
foytapa01,1957,1,DET,AL,П,38,27.0,637.0,3.0,30.0,4.0,1.0,,,,,
guerrvl01,2000,1,MON,NL,ОФ,151,151.0,3804.0,299.0,12.0,10.0,3.0,,,,,
hodgero01,1982,1,NYN,NL,C,74,65.0,1774.0,362.0,35.0,8.0,4.0,3.0,14.0,63.0,28.0,2.0
thamema01,2007,1,DET,AL,1б,33,31.0,586.0,180.0,15.0,2.0,17.0,,,,,
berkmla01,2004,1,HOU,NL,CF,2,1.0,27.0,2.0,0.0,0.0,0.0,,,,,
mcgrajo01,1897,1,BLN,NL,3Б,105,,,112.0,182.0,38.0,16.0,,,,,
judenje01,1998,1,MIL,NL,П,24,24.0,415.0,8.0,15.0,1.0,1.0,,,,,
lindjo01,1995,1,KCA,AL,Две-б,29,27.0,715.0,56.0,75.0,1.0,17.0,,,,,
floribr01,1999,1,DET,AL,П,27,3.0,154.0,1.0,5.0,3.0,0.0,,,,,
richake01,1942,1,PHA,AL,ОФ,3,,,4.0,1.0,0.0,0.0,,,,,
steinha01,1899,1,CIN,NL,Две-б,40,,,88.0,111.0,13.0,13.0,,,,,
rodriau01,1980,1,SDN,NL,3Б,88,57.0,1446.0,38.0,128.0,6.0,12.0,,,,,
whiteea01,1931,1,DET,AL,П,34,,,20.0,62.0,2.0,5.0,,,,,
gallemi01,1991,1,OAK,AL,Две-б,135,126.0,3220.0,243.0,370.0,7.0,69.0,,,,,
klingjo01,1907,1,CHN,NL,1б,2,,,10.0,2.0,0.0,1.0,,,,,
