charge_no,member_no,provider_no,category_no,charge_dt,charge_amt,statement_no,charge_code
39,9537,324,5,1999-09-25 10:43:38,3403.0,29537,
524386,8100,498,5,06.07.1999 10:45,2061.0,8100,
524421,5282,357,5,1999-10-01 10:45:29,473.0,25282,
524432,158,499,5,23.07.1999 10:45,2861.0,158,
524463,6245,461,5,17.09.1999 10:45,381.0,26245,
655380,4671,416,5,1999-09-28 10:47:52,3233.0,24671,
655431,4299,426,5,19.09.1999 10:47,770.0,24299,
786470,9955,498,5,19.06.1999 10:50,709.0,9955,
786480,9979,424,5,18.06.1999 10:50,238.0,9979,
786506,9984,439,5,1999-08-07 10:50:17,3775.0,9984,
786513,7443,456,5,"18 августа 1999 г., среды",603.0,17443,
917565,9781,303,5,1999-09-22 10:44:56,308.0,29781,
917580,7571,495,5,1999-08-28 10:44:56,735.0,17571,
917584,6515,472,5,30.07.1999 10:44,2521.0,6515,
917628,9785,301,5,12.07.1999 10:44,299.0,9785,
1048577,7804,235,5,1999-06-30 10:47:22,3597.0,7804,
1048656,6525,402,5,13.07.1999 10:47,2155.0,6525,
1179675,9607,382,5,1999-09-08 10:49:45,3336.0,19607,
1179706,8281,432,5,1999-09-28 10:49:45,3490.0,28281,
1179723,8760,434,5,1999-06-24 10:49:45,4621.0,8760,
1179739,8728,499,5,09.08.1999 10:49,88.0,8728,
1179812,7703,466,5,23.07.1999 10:49,238.0,7703,
1441810,5410,483,5,16.07.1999 10:46,4842.0,5410,
1441924,7093,498,5,18.09.1999 10:46,2711.0,27093,
1441958,9334,480,5,15 июля 1999 года в 10:46:51 утра,312.0,9334,
1441971,7973,289,5,1999-09-28 10:46:51,2701.0,27973,
1572912,9380,409,5,20.08.1999 10:49,222.0,19380,
1572969,9503,435,5,1999-10-09 10:49:14,2209.0,29503,
1572982,6710,485,5,21.06.1999 10:49,1467.0,6710,
1703965,9950,410,5,13.07.1999 10:43,1958.0,9950,
1704078,8930,497,5,1999-06-28 10:43:56,2747.0,8930,
1704095,2799,500,5,"16 июня 1999 года, среда, 10:43 утра",2287.0,2799,
1835057,6076,500,5,1999-07-25 10:46:19,2446.0,6076,
1835073,7963,477,5,1999-08-02 10:46:19,576.0,7963,
1835135,7418,401,5,1999-08-05 10:46:19,1608.0,7418,
1835151,8551,272,5,14.08.1999 10:46,1114.0,18551,
