stor_id,ord_num,ord_date,qty,payterms,title_id
7896,QQ2299,1993-10-28 00:00:00,15,К 60-му,BU7832
6380,722-а,1994-09-13 00:00:00,3,К 60-му,PS2091
7067,Д4482,14 сентября 1994 г.,10,К 60-му,PS2091
7067,P2121,1992-06-15 00:00:00,40,Нет 30,TC3218
7896,ТК456,1993-12-12 00:00:00,10,К 60-му,MC2222
8042,QA879.1,1993-05-22 00:00:00,30,Нет 30,PC1035
7131,П3087а,1993-05-29 00:00:00,20,К 60-му,PS1372
7067,P2121,1992-06-15 00:00:00,20,Нет 30,TC4203
6380,6871,14 сентября 1994 г.,5,К 60-му,BU1032
7066,A2976,1993-05-24 00:00:00,50,Нет 30,PC8888
7131,П3087а,1993-05-29 00:00:00,25,К 60-му,PS7777
7131,N91-401-4,14 сентября 1994 г.,25,Нет 30,MC3021
7066,QА-7442.3,1994-09-13 00:00:00,75,Счёт-фактура,PS2091
8042,P723,11.03.1993 г.,25,Нет 30,BU1111
7896,X999,1993-02-21 00:00:00,35,Счёт-фактура,BU2075
7131,П3087а,1993-05-29 00:00:00,25,К 60-му,PS2106
7067,P2121,1992-06-15 00:00:00,20,Нет 30,TC7777
8042,423ЛЛ922,14 сентября 1994 г.,15,Счёт-фактура,MC3021
7131,П3087а,1993-05-29 00:00:00,15,К 60-му,PS3333
7131,Н914008,14 сентября 1994 г.,20,Нет 30,PS2091
