driverstandingsid,raceid,driverid,points,position,positiontext,wins
95,23,5,15.0,6,6,0
159,26,3,8.0,11,11,0
300,32,14,8.0,16,16,0
3138,161,14,14.0,2,2,1
4561,204,25,17.0,7,7,0
7116,300,99,0.0,29,29,0
9377,275,104,3.0,7,7,0
9591,283,91,2.0,16,16,0
10328,246,65,12.0,6,6,0
10699,209,35,20.0,1,1,2
10816,214,71,0.0,21,21,0
10831,215,64,0.0,22,22,0
11513,147,15,7.0,7,7,0
11561,149,60,0.0,24,24,0
11700,155,21,8.0,11,11,0
13896,48,27,0.0,22,22,0
17267,310,128,0.0,26,26,0
18631,367,159,1.0,26,26,0
19583,391,157,0.0,16,16,0
21161,440,183,0.0,21,21,0
21332,446,156,0.0,23,23,0
22306,474,163,4.0,15,15,0
22916,488,119,10.0,6,6,0
44034,831,661,0.0,28,28,0
44344,821,689,2.0,14,14,0
45118,814,613,0.0,73,73,0
46079,792,642,3.33,3,3,0
46201,795,498,2.0,14,14,0
46400,797,533,0.0,77,77,0
46517,784,498,0.0,15,15,0
50108,753,364,0.0,33,33,0
50773,711,383,1.0,10,10,0
51059,700,289,13.0,1,1,1
51076,700,364,0.0,25,25,0
51420,708,380,0.0,18,18,0
51432,708,412,0.0,47,47,0
52845,689,328,10.0,9,9,0
53239,635,346,1.0,14,14,0
53286,637,278,8.0,8,8,0
55161,616,298,1.0,18,18,0
55365,592,293,0.0,27,27,0
56791,568,229,0.0,21,21,0
57060,574,270,0.0,41,41,0
57218,529,240,0.0,24,24,0
58295,556,271,0.0,53,53,0
58481,512,200,0.0,8,8,0
58545,514,222,7.0,5,5,0
59121,504,187,3.0,12,12,0
61973,756,552,0.0,23,23,0
62560,764,465,0.0,75,75,0
63603,726,418,0.0,25,25,0
64289,354,2,6.0,18,18,0
64298,355,17,242.0,3,3,4
64932,861,4,35.0,1,1,1
65250,872,818,8.0,17,17,0
66042,257,87,0.0,18,18,0
66626,900,824,0.0,14,14,0
67247,936,13,74.0,6,6,0
