constructorresultsid,raceid,constructorid,points,status
132,30,3,0.0,
1388,150,19,0.0,
1417,153,17,0.0,
1840,191,24,0.0,
1843,192,22,4.0,
2566,256,18,1.0,
2898,280,26,0.0,
3171,299,33,0.0,
3334,310,3,16.0,
3652,327,34,0.0,
4009,357,39,0.0,
4441,379,27,0.0,
4569,386,35,0.0,
4590,387,45,0.0,
4925,411,25,0.0,
5722,465,50,0.0,
5961,480,55,0.0,
6178,493,53,0.0,
6383,507,34,2.0,
10593,725,176,0.0,
10762,713,176,0.0,
11151,698,189,2.0,
11569,664,182,9.0,
12324,618,1,9.0,
12434,596,32,0.0,
12516,602,34,2.0,
12550,604,32,0.0,
12787,582,37,0.0,
13621,540,25,0.0,
14728,893,9,25.0,
14808,900,131,25.0,
15040,928,10,0.0,
