qualifyid,raceid,driverid,constructorid,number,position,q1,q2,q3
86,21,16,10,20,20,1:23.224,,
640,48,3,3,16,8,1:23.333,1:22.748,1:24.382
911,60,26,5,21,15,1:22.541,1:22.076,
1428,109,44,7,20,10,1:38.094,,
1796,203,55,15,14,10,1:51.189,,
2032,224,30,6,1,4,1:33.125,,
2043,224,79,25,18,15,1:35.715,,
2135,229,71,3,5,2,1:20.866,,
2242,242,79,25,3,15,1:31.630,,
2386,248,65,22,2,9,1:46.315,,
2436,250,63,25,4,11,1:58.224,,
2517,253,85,30,17,20,1:24.696,,
2977,272,94,18,23,18,1:18.957,,
3845,112,15,4,7,4,1:18.615,,
4201,96,30,6,1,1,1:28.351,,
4630,844,24,164,23,21,1:30.692,,
5841,899,17,9,2,4,1:26.689,1:26.963,1:27.572
5968,903,824,206,17,19,1:59.326,,
6188,913,824,206,17,19,1:49.440,,
6347,928,3,131,6,2,1:38.496,1:36.747,1:35.828
6393,930,13,3,19,9,1:27.165,1:26.147,1:26.757
6539,938,18,1,22,16,1:26.058,,
6867,956,13,3,19,10,1:07.419,1:07.145,1:11.977
7203,972,1,131,44,4,1:34.409,1:33.760,1:33.767
7212,972,826,5,26,13,1:35.984,1:35.968,
