constructorid,constructorref,name,nationality,url
2,bmw_sauber,BMW Sauber,German,http://en.wikipedia.org/wiki/BMW_Sauber
3,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
7,toyota,Toyota,Japanese,http://en.wikipedia.org/wiki/Toyota_Racing
8,super_aguri,Super Aguri,Japanese,http://en.wikipedia.org/wiki/Super_Aguri_F1
14,spyker_mf1,Spyker MF1,Dutch,http://en.wikipedia.org/wiki/Midland_F1_Racing
18,minardi,Minardi,Italian,http://en.wikipedia.org/wiki/Minardi
30,pacific,Pacific,British,http://en.wikipedia.org/wiki/Pacific_Racing
41,leyton,Leyton House,British,http://en.wikipedia.org/wiki/Leyton_House
49,zakspeed,Zakspeed,German,http://en.wikipedia.org/wiki/Zakspeed
51,alfa,Alfa Romeo,Italian,http://en.wikipedia.org/wiki/Alfa_Romeo_(Formula_One)
56,fittipaldi,Fittipaldi,Brazilian,http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29
59,wolf,Wolf,Canadian,http://en.wikipedia.org/wiki/Walter_Wolf_Racing
62,rebaque,Rebaque,Mexican,http://en.wikipedia.org/wiki/Rebaque
65,martini,Martini,French,http://en.wikipedia.org/wiki/Martini_(cars)
72,kojima,Kojima,Japanese,http://en.wikipedia.org/wiki/Kojima_Engineering
74,maki,Maki,Japanese,http://en.wikipedia.org/wiki/Maki_(cars)
78,amon,Amon,New Zealand,http://en.wikipedia.org/wiki/Amon_(Formula_One_team)
80,iso_marlboro,Iso Marlboro,British,http://en.wikipedia.org/wiki/Iso_Marlboro
82,matra,Matra,French,http://en.wikipedia.org/wiki/Matra
86,tomaso,De Tomaso,Italian,http://en.wikipedia.org/wiki/De_Tomaso
97,gilby,Gilby,British,http://en.wikipedia.org/wiki/Gilby
100,enb,ENB,Belgium,http://en.wikipedia.org/wiki/Ecurie_Nationale_Belge
101,jbw,JBW,British,http://en.wikipedia.org/wiki/JBW
109,phillips,Phillips,American,http://en.wikipedia.org/wiki/Phillips_(constructor)
110,lesovsky,Lesovsky,American,http://en.wikipedia.org/wiki/Lesovsky
116,ewing,Ewing,American,http://en.wikipedia.org/wiki/Ewing_(constructor)
117,aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin
122,sutton,Sutton,American,http://en.wikipedia.org/wiki/Sutton_(constructor)
129,stevens,Stevens,American,http://en.wikipedia.org/wiki/Stevens_(constructor)
136,pankratz,Pankratz,American,http://en.wikipedia.org/wiki/Pankratz
143,del_roy,Del Roy,American,http://en.wikipedia.org/wiki/Del_Roy
144,veritas,Veritas,German,http://en.wikipedia.org/wiki/Veritas_(constructor)
161,adams,Adams,American,http://en.wikipedia.org/wiki/Adams_(constructor)
163,milano,Milano,Italian,http://en.wikipedia.org/wiki/Scuderia_Milano
174,de_tomaso-osca,De Tomaso-Osca,Italian,http://en.wikipedia.org/wiki/De_Tomaso
180,lotus-ford,Lotus-Ford,British,http://en.wikipedia.org/wiki/Team_Lotus
181,brabham-brm,Brabham-BRM,British,http://en.wikipedia.org/wiki/Brabham
183,brabham-climax,Brabham-Climax,British,http://en.wikipedia.org/wiki/Brabham
193,cooper-ats,Cooper-ATS,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
195,cooper-brm,Cooper-BRM,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
