stor_id,ord_num,ord_date,qty,payterms,title_id
6380,6871,1994-09-14T00:00:00,5,Чистый 60,BU1032
7896,X9999,1993-02-21T00:00:00,35,ПО счету-фактуре,BU2075
7067,P2121,1992-06-1500:00:00,40,Чистый 30,TC3218
7131,P3087a,1993-05-29-T00:00:00,25,Чистый 60,PS2106
8042,QA 879.1,1993-05-22T00:00:00,30,Чистый 30,PC1035
7131,P3087a,1993-05-29-T00:00:00,15,Чистый 60,PS3333
7896,QQ2299,1993 год-10 ч. 00 м. - 28 ч. 00 м.,15,Чистый 60,BU7832
8042,423LL922,1994-09-14T00:00:00,15,ПО счету-фактуре,MC3021
7131,N914008,1994-09-14T00:00:00,20,Чистый 30,PS2091
7131,N914014,1994-09-14T00:00:00,25,Чистый 30,MC3021
7896,TQ 456,1993 - 12 ч. 00 м. -- 12 ч. 00 м.,10,Чистый 60,MC2222
7066,QA7442.3,1994-09-1300:00:00,75,ПО счету-фактуре,PS2091
7067,D4482,1994-09-14T00:00:00,10,Чистый 60,PS2091
6380,722a,1994-09-1300:00:00,3,Чистый 60,PS2091
7131,P3087a,1993-05-29-T00:00:00,25,Чистый 60,PS7777
7066,А2976,1993-05-24T00:00:00,50,Чистый 30,PC8888
8042,Р723,1993-03-11-T00:00:00,25,Чистый 30,BU1111
7131,P3087a,1993-05-29-T00:00:00,20,Чистый 60,PS1372
7067,P2121,1992-06-1500:00:00,20,Чистый 30,TC4203
8042,423L930,1994-09-14T00:00:00,10,ПО счету-фактуре,BU1032
7067,P2121,1992-06-1500:00:00,20,Чистый 30,TC7777
