film_id,category_id,last_update
242,5,2006-02-15T04:07:09
53,8,2006-02-15T04:07:09
391,8,2006-02-15T04:07:09
211,10,2006-02-15T04:07:09
929,9,2006-02-15T04:07:09
922,11,2006-02-15T04:07:09
291,15,2006-02-15T04:07:09
817,14,2006-02-15T04:07:09
389,15,2006-02-15T04:07:09
677,13,2006-02-15T04:07:09
898,15,2006-02-15T04:07:09
45,13,2006-02-15T04:07:09
459,9,2006-02-15T04:07:09
65,11,2006-02-15T04:07:09
605,9,2006-02-15T04:07:09
323,15,2006-02-15T04:07:09
509,3,2006-02-15T04:07:09
932,5,2006-02-15T04:07:09
288,16,2006-02-15T04:07:09
294,16,2006-02-15T04:07:09
757,6,2006-02-15T04:07:09
66,3,2006-02-15T04:07:09
921,12,2006-02-15T04:07:09
13,11,2006-02-15T04:07:09
229,1,2006-02-15T04:07:09
183,8,2006-02-15T04:07:09
661,9,2006-02-15T04:07:09
487,4,2006-02-15T04:07:09
171,11,2006-02-15T04:07:09
248,6,2006-02-15T04:07:09
282,7,2006-02-15T04:07:09
7,5,2006-02-15T04:07:09
798,14,2006-02-15T04:07:09
137,14,2006-02-15T04:07:09
29,1,2006-02-15T04:07:09
547,3,2006-02-15T04:07:09
369,14,2006-02-15T04:07:09
399,9,2006-02-15T04:07:09
176,15,2006-02-15T04:07:09
598,15,2006-02-15T04:07:09
715,8,2006-02-15T04:07:09
363,12,2006-02-15T04:07:09
860,14,2006-02-15T04:07:09
709,7,2006-02-15T04:07:09
612,15,2006-02-15T04:07:09
988,16,2006-02-15T04:07:09
78,2,2006-02-15T04:07:09
436,13,2006-02-15T04:07:09
865,2,2006-02-15T04:07:09
147,8,2006-02-15T04:07:09
503,15,2006-02-15T04:07:09
604,5,2006-02-15T04:07:09
228,4,2006-02-15T04:07:09
575,6,2006-02-15T04:07:09
372,15,2006-02-15T04:07:09
890,15,2006-02-15T04:07:09
358,4,2006-02-15T04:07:09
601,16,2006-02-15T04:07:09
689,9,2006-02-15T04:07:09
328,3,2006-02-15T04:07:09
351,11,2006-02-15T04:07:09
251,13,2006-02-15T04:07:09
77,13,2006-02-15T04:07:09
519,15,2006-02-15T04:07:09
819,12,2006-02-15T04:07:09
682,8,2006-02-15T04:07:09
996,6,2006-02-15T04:07:09
344,3,2006-02-15T04:07:09
900,9,2006-02-15T04:07:09
743,2,2006-02-15T04:07:09
872,16,2006-02-15T04:07:09
422,14,2006-02-15T04:07:09
524,5,2006-02-15T04:07:09
300,2,2006-02-15T04:07:09
750,13,2006-02-15T04:07:09
710,8,2006-02-15T04:07:09
246,9,2006-02-15T04:07:09
118,2,2006-02-15T04:07:09
361,15,2006-02-15T04:07:09
973,6,2006-02-15T04:07:09
775,7,2006-02-15T04:07:09
76,12,2006-02-15T04:07:09
885,11,2006-02-15T04:07:09
606,15,2006-02-15T04:07:09
861,10,2006-02-15T04:07:09
631,15,2006-02-15T04:07:09
765,5,2006-02-15T04:07:09
552,6,2006-02-15T04:07:09
24,11,2006-02-15T04:07:09
919,10,2006-02-15T04:07:09
815,4,2006-02-15T04:07:09
874,4,2006-02-15T04:07:09
464,2,2006-02-15T04:07:09
179,7,2006-02-15T04:07:09
207,9,2006-02-15T04:07:09
718,12,2006-02-15T04:07:09
34,11,2006-02-15T04:07:09
25,13,2006-02-15T04:07:09
100,9,2006-02-15T04:07:09
54,12,2006-02-15T04:07:09
511,1,2006-02-15T04:07:09
877,12,2006-02-15T04:07:09
17,12,2006-02-15T04:07:09
878,16,2006-02-15T04:07:09
846,13,2006-02-15T04:07:09
101,6,2006-02-15T04:07:09
990,11,2006-02-15T04:07:09
626,3,2006-02-15T04:07:09
400,6,2006-02-15T04:07:09
986,2,2006-02-15T04:07:09
971,9,2006-02-15T04:07:09
