film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes",2006-02-15T04:03:42
4,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,1,,5,2.99,117,26.99,G,"Commentaries,Behind the Scenes",2006-02-15T04:03:42
5,AFRICAN EGG,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,2006,1,,6,2.99,130,22.99,G,Deleted Scenes,2006-02-15T04:03:42
14,ALICE FANTASIA,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,2006,1,,6,0.99,94,23.99,NC-17,"Trailers,Deleted Scenes,Behind the Scenes",2006-02-15T04:03:42
15,ALIEN CENTER,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,2006,1,,5,2.99,46,10.99,NC-17,"Trailers,Commentaries,Behind the Scenes",2006-02-15T04:03:42
21,AMERICAN CIRCUS,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,2006,1,,3,4.99,129,17.99,R,"Commentaries,Behind the Scenes",2006-02-15T04:03:42
28,ANTHEM LUKE,A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park,2006,1,,5,4.99,91,16.99,PG-13,"Deleted Scenes,Behind the Scenes",2006-02-15T04:03:42
29,ANTITRUST TOMATOES,A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India,2006,1,,5,2.99,168,11.99,NC-17,"Trailers,Commentaries,Deleted Scenes",2006-02-15T04:03:42
35,ARACHNOPHOBIA ROLLERCOASTER,A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station,2006,1,,4,2.99,147,24.99,PG-13,"Trailers,Deleted Scenes,Behind the Scenes",2006-02-15T04:03:42
44,ATTACKS HATE,A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft,2006,1,,5,4.99,113,21.99,PG-13,"Trailers,Behind the Scenes",2006-02-15T04:03:42
48,BACKLASH UNDEFEATED,A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery,2006,1,,3,4.99,118,24.99,PG-13,"Trailers,Behind the Scenes",2006-02-15T04:03:42
49,BADMAN DAWN,A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat,2006,1,,6,2.99,162,22.99,R,"Trailers,Commentaries,Behind the Scenes",2006-02-15T04:03:42
60,BEAST HUNCHBACK,A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China,2006,1,,3,4.99,89,22.99,R,"Deleted Scenes,Behind the Scenes",2006-02-15T04:03:42
66,BENEATH RUSH,A Astounding Panorama of a Man And a Monkey who must Discover a Man in The First Manned Space Station,2006,1,,6,0.99,53,27.99,NC-17,"Commentaries,Deleted Scenes",2006-02-15T04:03:42
68,BETRAYED REAR,A Emotional Character Study of a Boat And a Pioneer who must Find a Explorer in A Shark Tank,2006,1,,5,4.99,122,26.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",2006-02-15T04:03:42
76,BIRDCAGE CASPER,A Fast-Paced Saga of a Frisbee And a Astronaut who must Overcome a Feminist in Ancient India,2006,1,,4,0.99,103,23.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",2006-02-15T04:03:42
81,BLINDNESS GUN,A Touching Drama of a Robot And a Dentist who must Meet a Hunter in A Jet Boat,2006,1,,6,4.99,103,29.99,PG-13,"Trailers,Behind the Scenes",2006-02-15T04:03:42
91,BOUND CHEAPER,A Thrilling Panorama of a Database Administrator And a Astronaut who must Challenge a Lumberjack in A Baloon,2006,1,,5,0.99,98,17.99,PG,Behind the Scenes,2006-02-15T04:03:42
94,BRAVEHEART HUMAN,A Insightful Story of a Dog And a Pastry Chef who must Battle a Girl in Berlin,2006,1,,7,2.99,176,14.99,PG-13,"Trailers,Deleted Scenes",2006-02-15T04:03:42
96,BREAKING HOME,A Beautiful Display of a Secret Agent And a Monkey who must Battle a Sumo Wrestler in An Abandoned Mine Shaft,2006,1,,4,2.99,169,21.99,PG-13,"Trailers,Commentaries",2006-02-15T04:03:42
109,BUTTERFLY CHOCOLAT,A Fateful Story of a Girl And a Composer who must Conquer a Husband in A Shark Tank,2006,1,,3,0.99,89,17.99,G,Behind the Scenes,2006-02-15T04:03:42
116,CANDIDATE PERDITION,A Brilliant Epistle of a Composer And a Database Administrator who must Vanquish a Mad Scientist in The First Manned Space Station,2006,1,,4,2.99,70,10.99,R,"Deleted Scenes,Behind the Scenes",2006-02-15T04:03:42
118,CANYON STOCK,A Thoughtful Reflection of a Waitress And a Feminist who must Escape a Squirrel in A Manhattan Penthouse,2006,1,,7,0.99,85,26.99,R,"Trailers,Deleted Scenes",2006-02-15T04:03:42
124,CASPER DRAGONFLY,A Intrepid Documentary of a Boat And a Crocodile who must Chase a Robot in The Sahara Desert,2006,1,,3,4.99,163,16.99,PG-13,Trailers,2006-02-15T04:03:42
130,CELEBRITY HORN,A Amazing Documentary of a Secret Agent And a Astronaut who must Vanquish a Hunter in A Shark Tank,2006,1,,7,0.99,110,24.99,PG-13,"Deleted Scenes,Behind the Scenes",2006-02-15T04:03:42
131,CENTER DINOSAUR,A Beautiful Character Study of a Sumo Wrestler And a Dentist who must Find a Dog in California,2006,1,,5,4.99,152,12.99,PG,Deleted Scenes,2006-02-15T04:03:42
144,CHINATOWN GLADIATOR,A Brilliant Panorama of a Technical Writer And a Lumberjack who must Escape a Butler in Ancient India,2006,1,,7,4.99,61,24.99,PG,"Trailers,Commentaries,Deleted Scenes",2006-02-15T04:03:42
146,CHITTY LOCK,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,2006,1,,6,2.99,107,24.99,G,Commentaries,2006-02-15T04:03:42
152,CIRCUS YOUTH,A Thoughtful Drama of a Pastry Chef And a Dentist who must Pursue a Girl in A Baloon,2006,1,,5,2.99,90,13.99,PG-13,"Trailers,Deleted Scenes,Behind the Scenes",2006-02-15T04:03:42
153,CITIZEN SHREK,A Fanciful Character Study of a Technical Writer And a Husband who must Redeem a Robot in The Outback,2006,1,,7,0.99,165,18.99,G,"Commentaries,Deleted Scenes",2006-02-15T04:03:42
