supplierid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax,homepage
1,Экзотические жидкости,Шарлотта Купер,Менеджер по закупкам,49 Гилберт-стрит.,Лондон,,ЭК-1 4СД,Великобритания,(171) 555-2222,,
2,Новий Орлеан Каджунские изыски,Шелли Бёрк,Администратор заказа,П.О. коробка 78934,Новый Орлеан,Лос-Анджелес,70117,США,(100) 555-4822,,#CAJUN.HTML#
3,Домашний дом бабушки Келли,Регина Мёрфи,Продажи представитель,707 Оксфорд-роуд.,Анн-Арбор,МИ,48104,США,(313) 555-5735,(313) 555-3349,
4,Токийские трейдеры,Йоси Нагасе,Менеджер по маркетингу,"9-8 Секимай
Мусаси-но-си",Токио,,100,Япония,(03) 3555-5011,,
5,"Кооператив ""Лас Кабра""",Антонио дель Вале Сааведра,администратор экспорта,"Улица Розал, 4",Овьедо,Астурия,33007,Испания,(98) 598-76-54,,
6,Майуми,Майуми Оно,Маркетинг-представитель,"92 Сецуко
Цукуо-ку",Осака,,545,Япония,(06) 431-7877,,Майуми
7,"Павлова, ООО",Иэн Девлинг,Менеджер по маркетингу,"74 ул. Розы
Моони-Пондс",Мельбурн,Виктория,3058,Австралия,(03) 444-2343,(03) 444-6588,
8,"Специальные печенья, ограниченная компания",Питер Уилсон,Продажи представитель,29 Кинг-вей,Манчестер,,М14 ГСД,Великобритания,(161) 555-4448,,
9,PB Кеберд Аб,Ларс Петерсон,Продавец,Калоадагатэн 13,Гётеборг,,С-345 67,Швеция,031-987 65 43,031-987 65 91,
10,Refrescos Americanas LTDA,Карлос Диас,Менеджер по маркетингу,"Аvenue Америки, 12890",Сан-Паулу,,5442,Бразилия,(11) 555-46-40,,
11,Гельи Сварен ГмбХ & Ко. КГ,Петра Винтер,Менеджер по продажам,"Тиргартенштрасе, 5",Берлин,,10785,Германия,(010) 998-45-10,,
12,Плюстер Еда Рынок AG,Мартин Бейн,Международный менеджер по маркетингу,"Богеналлее, 51",Франкфурт-на-Майне,,60439,Германия,(069) 992-755,,Плюзер (в Всемирной паутине)
13,Северо-Восточная Рыбная Торговая Компания,Свен Петерсен,Координатор зарубежных рынков,Фрахмерддер 112а,Кукшен,,27478,Германия,(04721) 87-13,(04721) 87-14,
14,Формаджи Фортини срл,Элио Росси,Продажи представитель,"Виале Данте, 75",Равенна,,48100,Италия,(0544) 6-03-23,(0544) 60-60-3,#Формагги.ХТМ#
15,Норские Мейериер,Беата Вилейд,Менеджер по маркетингу,Хатлевеген 5,Сандвика,,1320,Норвегия,(0)2-953-01-00,,
16,Бигфут Бреверии,Чэрл Сэйлор,Региональный представитель по работе с клиентами,Аvenue 3400 - 8-й,Круглый,О'р,97101,США,(503) 555-9931,,
17,瑞典斯维斯克食品有限公司,Майкл Бьёрн,Продажи представитель,Броваллавген 231,Стокгольм,,С-123/45,Швеция,08-123 45 67,,
18,Счастливые церковные места,Гайлин Нодьер,Менеджер по продажам,"203, улица Фрибоуржских",Париж,,75004,Франция,(1) 03.83.00.68,(1) 03.83.00.62,
19,Запись на рыбную консервированную продукцию Новой Англии,Робб Мерчант,Оптовый агент по счетам,"Отдел обработки заказов
ул. Пола Ревира, 2100",Бостон,А,02134,США,(617) 555-3267,(617) 555-3389,
20,Лека Трейдинг,Чандра Лека,Владелец,"471 Серанкуен Луп, апартамент №402",Сингапур,,0512,Сингапур,555-8787,,
21,Лёнгбюсильд,Нильс Петерсен,Менеджер по продажам,"Лингби-Силд
Фискебаккен 10",Лингби,,2800,Дания,43844108,43844115,
22,Зaanse Сноепфабрика,Дирк Люхте,Менеджер по бухгалтерскому учету,"Продажа
Райнвейг 22",Заандам,,9999 ЗЗ,Нидерланды,(12345) 12-12,(12345) 12-10,
23,Каркки Оы,Анна Хейконен,Продукт-менеджер,"ул. Valtakatu, 12",Лаппеенранта,,53120,Финляндия,(953) 109-56,,
24,"Добрый день, приятель!",Венди МакКензи,Продажи представитель,"Пэрис-Эдвард Парэ 170
Хантерс Хилл",Сидней,НЮ,2042,Австралия,(02) 555-5914,(02) 555-4873,"Доброе утро, дружище! (В сети Интернет) # http://www.microsoft.com/accessdev/sampleapps/gdaymate.htm #"
25,Моя дом,Жан-Гийом Лозон,Менеджер по маркетингу,Улица Сент-Лоран 2960,Монреаль,Квебек,1К3,Канада,(514) 555-9022,,
26,С.р.л. Паста Баттини,Джованни Джудичи,Администратор заказа,"Вия де Джелсмини, 153",Салерно,,84100,Италия,(089) 65-47-66-5,(089) 654-7667,
27,Ульяны,Мари Деламар,Менеджер по продажам,"22, улица Х. Вьёрон",Монсо,,71300,Франция,85.57.00.07,,
28,Гай-птураге,Елиане Ноз,Продажи представитель,"Бат. Б
3, улица Альп",Анси,,74000,Франция,38.76.98.06,38.76.98.58,
29,Форты драблы,Чантал Гульет,Менеджер по бухгалтерскому учету,148 улица Охотника,Сент-Иакинт,Квебек,J2С 7С8,Канада,(514) 555-2955,(514) 555-2921,
