territoryid,territorydescription,regionid
60179,Хофман-Эстетс,2
7960,Моргантаун,1
33607,Тампа,4
10019,Нью-Йорк,1
40222,Луизвилл,1
6897,Уилтон,1
98104,Сиэтл,2
80909,Колорадо-Спрингс,2
48075,Южный Филд,3
48084,Трой,3
3801,Портсмут,3
72716,Бентонвилл,4
20852,Роквилл,1
60601,Чикаго,2
2184,Брентвуд,1
95008,Кэмпбелл,2
27403,Гринсборо,1
95054,Сан-Клара,2
78759,Остин,4
94105,Сан-Франциско,2
48304,Блумфилд-Хиллз,3
98052,Редмонд,2
75234,Даллас,4
53404,Ракин,3
44122,Бичвуд,3
11747,Мелвилл,1
10038,Нью-Йорк,1
2139,Кембридж,1
1833,Георги-таун,1
1581,Западная Бомбей,1
55439,Миннеаполис,3
19428,Филадельфия,3
19713,Ньюарк,1
8837,Эдисон,1
80202,Денвер,2
1730,Бедфорд,1
3049,Холлис,3
32859,Орландо,4
85251,Скотсдейл,2
2903,Провиденс,1
29202,Колумбия,4
95060,Сан-Крус,2
30346,Атланта,4
14450,Фэрпорт,1
31406,Саванна,4
85014,Финикс,2
2116,Бостон,1
94025,Менло-Парк,2
45839,Файндлей,3
27511,Кэри,1
98004,Беллвью,2
55113,Розевилл,3
90405,Сан-Хосе,2
