charge_no,member_no,provider_no,category_no,charge_dt,charge_amt,statement_no,charge_code
531740,9774,499,9,1999-08-30T10:46:03,3152.0,19774,
1143727,5748,460,4,1999-09-29T10:46:59,4286.0,25748,
709374,8190,468,7,1999-08-05T10:44:19,3801.0,8190,
32281,7090,480,6,1999-07-21T10:46:07,3190.0,7090,
775731,7714,463,4,1999-08-10T10:49:27,4157.0,7714,
541285,5711,475,10,1999-09-17T10:46:48,4859.0,25711,
529765,9588,474,6,1999-07-16T10:45:54,1281.0,9588,
1649366,4744,491,10,1999-08-03T10:47:25,672.0,4744,
1849190,8884,470,10,1999-06-26T10:47:24,741.0,8884,
967507,6727,498,8,1999-08-20T10:48:48,2273.0,16727,
1254549,8122,498,3,1999-08-05T10:47:49,3576.0,8122,
503225,3740,407,4,1999-07-09T10:43:52,4275.0,3740,
1359037,8414,499,9,1999-06-29T10:48:09,2407.0,8414,
1015671,5476,491,3,1999-09-06T10:44:47,4260.0,15476,
711228,9388,352,5,1999-06-30T10:44:27,1818.0,9388,
1286774,3019,478,9,1999-07-10T10:50:18,2106.0,3019,
1253885,7196,400,7,1999-07-14T10:47:46,4248.0,7196,
853192,8378,498,8,1999-09-21T10:47:43,3916.0,28378,
576762,9640,241,6,1999-07-23T10:49:32,2474.0,9640,
1599162,9964,286,4,1999-09-13T10:51:16,4862.0,29964,
1110385,7426,487,6,1999-09-19T10:44:23,2476.0,27426,
1444781,9533,464,9,1999-08-03T10:47:04,439.0,9533,
1210045,2339,478,6,1999-06-20T10:44:22,4984.0,2339,
989713,9628,498,10,1999-07-14T10:50:32,103.0,9628,
986218,9946,480,9,1999-07-28T10:50:16,2678.0,9946,
1495139,9133,469,3,1999-08-17T10:50:57,1994.0,19133,
1588947,7472,453,8,1999-10-11T10:50:29,1126.0,27472,
992890,4413,389,3,1999-08-31T10:50:47,3180.0,14413,
613279,9459,492,7,1999-09-12T10:44:37,2772.0,19459,
45468,6196,495,10,1999-10-01T10:47:07,346.0,26196,
611807,9313,470,6,1999-07-23T10:44:30,2866.0,9313,
1921092,9844,449,8,1999-06-22T10:45:12,2485.0,9844,
1212037,5222,488,6,1999-06-17T10:44:31,3418.0,5222,
630053,4609,489,5,1999-07-03T10:45:55,1454.0,4609,
1685708,6965,469,2,1999-10-13T10:50:14,2406.0,0,
1488834,4865,449,7,1999-08-01T10:50:28,4939.0,4865,
834253,9803,449,10,1999-08-25T10:46:15,1894.0,19803,
1919734,8961,376,3,1999-09-30T10:45:06,4562.0,28961,
1025717,5691,495,4,1999-07-02T10:45:35,98.0,5691,
1273804,9615,493,4,1999-07-21T10:49:18,460.0,9615,
1163518,6918,441,10,1999-08-10T10:48:29,83.0,6918,
1387889,8934,370,10,1999-08-24T10:50:23,857.0,18934,
1303997,9358,487,8,1999-07-06T10:43:55,1408.0,9358,
683887,9603,461,9,1999-10-04T10:50:05,3864.0,29603,
834845,6746,500,4,1999-07-18T10:46:18,3648.0,6746,
1496545,5665,424,2,1999-09-28T10:51:04,2595.0,25665,
1314145,5859,422,2,1999-07-04T10:44:40,4473.0,5859,
1200787,6345,500,6,1999-08-25T10:43:41,4637.0,16345,
927233,5131,494,6,1999-07-12T10:45:42,1354.0,5131,
1969664,7997,482,4,1999-09-14T10:48:59,3532.0,27997,
810261,9331,481,10,1999-07-11T10:44:23,4151.0,9331,
1340068,9890,500,2,1999-08-28T10:46:42,4390.0,19890,
28068,8097,458,4,1999-07-10T10:45:46,622.0,8097,
545148,1946,475,5,1999-08-23T10:47:06,4086.0,11946,
612854,9143,497,3,1999-08-10T10:44:35,1944.0,9143,
1983816,5991,499,7,1999-10-04T10:50:04,4847.0,25991,
1071816,9897,260,6,1999-06-30T10:49:08,3388.0,9897,
1395467,7136,486,9,1999-09-15T10:50:59,2309.0,27136,
1447784,6275,494,5,1999-08-24T10:47:17,2658.0,16275,
12465,6702,444,7,1999-07-23T10:44:33,3859.0,6702,
626778,3781,401,10,1999-09-26T10:45:40,1553.0,23781,
1871889,9351,430,4,1999-07-19T10:49:09,4457.0,9351,
