year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1973,NHL,TOR,4,0,4,0,9,17,45,,1,,1,2,,0
1997,NHL,BOS,6,2,4,0,13,15,75,0,6,40,0,3,20,0
2011,NHL,SJS,5,1,4,0,8,14,97,0,2,17,0,6,18,0
1932,NHL,MTL,2,0,1,1,5,8,16,,,,,,,
1986,NHL,BOS,4,0,4,0,11,19,86,4,5,19,1,4,18,1
1943,NHL,DET,5,1,4,0,8,17,39,,,,,,,
1991,NHL,VAN,13,6,7,0,44,35,243,0,10,70,1,11,63,1
2003,NHL,CAL,26,15,11,0,60,53,444,0,15,108,0,21,121,3
1979,NHL,STL,3,0,3,0,4,12,35,0,1,9,0,3,8,0
2002,NHL,COL,7,3,4,0,17,16,68,2,4,26,1,7,29,0
2005,NHL,MTL,6,2,4,0,17,15,68,0,6,27,0,6,30,0
1950,NHL,MTL,11,5,6,0,23,25,86,,,,,,,
2010,NHL,CHI,7,3,4,0,22,16,76,0,6,29,0,4,18,1
1938,NHL,NYR,7,3,4,0,12,14,74,,,,,,,
1977,NHL,BUF,8,3,5,0,22,22,188,0,4,29,0,7,22,0
1995,NHL,FLO,22,12,10,0,61,57,401,6,14,109,2,20,103,1
1963,NHL,MTL,7,3,4,0,14,17,168,,,,,,,
1976,WHA,HOU,11,6,5,0,43,40,,,,,,,,
1996,NHL,PHI,19,12,7,0,67,55,245,4,18,94,5,19,89,3
1975,NHL,NYI,13,7,6,0,43,39,247,0,9,49,2,7,60,1
1999,NHL,SJS,12,5,7,0,27,37,164,2,10,63,2,13,61,2
1999,NHL,PIT,11,6,5,0,31,23,173,4,8,56,1,7,45,0
1955,NHL,TOR,5,1,4,0,10,14,65,,,,,,,
1972,WHA,MFS,5,1,4,0,16,23,,,4,11,0,7,13,0
1986,NHL,QUE,13,7,6,0,48,45,504,2,15,70,2,11,63,1
1969,NHL,MNS,6,2,4,0,16,20,82,,7,,1,10,,0
2011,NHL,FLO,7,3,4,0,17,18,66,0,9,27,0,5,25,1
1991,NHL,CHI,18,12,6,0,65,48,340,4,18,108,2,13,90,1
1926,NHL,CHI,2,0,1,1,5,10,30,,,,,,,
1940,NHL,BOS,11,8,3,0,27,23,81,,,,,,,
1971,NHL,CHI,8,4,4,0,23,25,129,,3,,2,4,,2
1977,WHA,WIJ,9,8,1,0,53,20,,,,,,,,
1976,WHA,NEW,5,1,4,0,14,23,,,,,,,,
1979,NHL,NYI,21,15,6,0,88,66,550,0,25,96,3,14,88,7
2011,NHL,VAN,5,1,4,0,8,12,94,0,3,21,2,3,26,0
1999,NHL,STL,7,3,4,0,22,20,114,0,8,39,1,6,35,0
1977,NHL,TOR,13,6,7,0,33,32,265,4,7,44,0,7,51,0
1976,WHA,IND,9,5,4,0,33,34,,,,,,,,
1986,NHL,TOR,13,7,6,0,33,32,345,0,9,51,0,8,53,0
1972,WHA,OTN,5,1,4,0,17,24,,,5,27,0,8,30,0
1973,NHL,LAK,5,1,4,0,7,10,109,,2,,0,1,,0
2001,NHL,CAR,23,13,10,0,47,43,263,4,16,103,2,15,96,1
1937,NHL,CHI,10,7,3,0,26,21,66,,,,,,,
2001,NHL,DET,23,16,7,0,72,47,308,8,19,99,2,14,104,7
1970,NHL,BOS,7,3,4,0,26,28,190,,6,,0,5,,2
2006,NHL,VAN,12,5,7,0,21,26,190,4,4,67,0,8,76,0
1989,NHL,LAK,10,4,6,0,39,48,164,2,11,65,3,7,49,2
1946,NHL,TOR,11,8,3,0,31,27,144,,,,,,,
1927,NHL,MTL,2,0,1,1,2,3,35,,,,,,,
1985,NHL,MNS,5,2,3,0,20,18,142,2,6,24,1,2,25,1
1992,NHL,DET,7,3,4,0,30,24,163,2,10,30,0,4,34,4
1972,WHA,CLC,9,5,4,0,33,22,,,9,39,0,8,55,1
2003,NHL,NJD,5,1,4,0,9,14,28,0,3,18,0,4,12,0
1996,NHL,MTL,5,1,4,0,11,22,105,0,0,16,3,9,28,2
1922,NHL,OTS,2,1,1,0,3,2,8,,,,,,,
1926,NHL,MTM,2,0,1,1,1,2,18,,,,,,,
1976,NHL,TOR,9,4,5,0,31,29,115,0,14,43,1,8,28,0
1975,NHL,PIT,3,1,2,0,3,8,25,0,1,13,0,2,9,0
1928,NHL,TOR,4,2,2,0,8,5,42,,,,,,,
1990,NHL,MNS,23,14,9,0,81,75,674,4,35,152,3,24,136,4
1977,WHA,QUN,11,5,6,0,43,41,,,,,,,,
