year,lgid,tmid,oppid,w,l,t,otl
1981,NHL,BUF,QUE,4,3,1.0,
2011,NHL,LAK,COL,0,3,,1
1977,NHL,STL,NYR,0,4,1.0,
1997,NHL,FLO,ANA,0,1,1.0,
1975,WHA,NEW,WIJ,0,4,0.0,
1931,NHL,TOR,NYA,4,1,3.0,
2006,NHL,LAK,DAL,0,6,,2
1986,NHL,VAN,TOR,2,1,0.0,
1980,NHL,LAK,VAN,4,0,0.0,
1993,NHL,MTL,NJD,2,2,0.0,
2008,NHL,PHI,BUF,4,0,,0
1997,NHL,BUF,WAS,2,2,0.0,
2008,NHL,VAN,BUF,0,1,,0
1991,NHL,BUF,QUE,3,3,2.0,
1998,NHL,TOR,STL,2,0,1.0,
1927,NHL,NYA,TOR,1,4,1.0,
1983,NHL,WIN,BOS,1,2,0.0,
1999,NHL,BOS,PIT,2,1,1.0,0
2008,NHL,DET,NYR,1,0,,0
1983,NHL,EDM,QUE,3,0,0.0,
2003,NHL,EDM,PIT,1,0,0.0,0
1973,NHL,VAN,MTL,0,4,1.0,
1985,NHL,TOR,MNS,0,7,1.0,
1998,NHL,TOR,CAL,3,0,0.0,
1981,NHL,BOS,HAR,4,2,2.0,
1974,WHA,TOT,CHC,3,3,0.0,
1970,NHL,BUF,PIT,2,0,4.0,
2007,NHL,MIN,NAS,3,1,,0
1931,NHL,MTL,NYR,3,2,1.0,
2008,NHL,TBL,DAL,1,0,,0
2006,NHL,TBL,BOS,0,2,,2
1984,NHL,BOS,BUF,3,4,1.0,
2011,NHL,BUF,DAL,1,0,,0
2010,NHL,TBL,PHO,2,0,,0
1983,NHL,DET,WIN,1,0,2.0,
1977,NHL,ATF,MNS,4,1,0.0,
1981,NHL,QUE,CAL,0,3,0.0,
1983,NHL,PHI,LAK,2,1,0.0,
2010,NHL,VAN,TOR,2,0,,0
1999,NHL,NYR,ATL,4,0,0.0,0
1958,NHL,BOS,NYR,6,5,3.0,
1909,NHA,MOW,COB,2,0,0.0,
1946,NHL,TOR,MTL,3,5,4.0,
2001,NHL,PHO,EDM,0,3,0.0,1
1964,NHL,DET,BOS,10,3,1.0,
1995,NHL,TOR,SJS,3,1,0.0,
1988,NHL,NJD,MTL,0,3,0.0,
1967,NHL,BOS,MNS,2,2,0.0,
1991,NHL,BOS,NJD,1,2,0.0,
2005,NHL,VAN,PHO,3,1,,0
1980,NHL,CHI,WAS,1,1,2.0,
1999,NHL,BOS,SJS,1,0,0.0,0
1998,NHL,TBL,NYR,1,3,0.0,
1980,NHL,CAL,LAK,3,1,0.0,
2011,NHL,TBL,BOS,2,2,,0
2008,NHL,NAS,EDM,3,1,,0
2009,NHL,MTL,OTT,1,4,,1
2006,NHL,MIN,DET,1,3,,0
1988,NHL,MTL,NJD,3,0,0.0,
1980,NHL,TOR,MTL,1,3,0.0,
2009,NHL,PIT,DAL,1,0,,0
2005,NHL,CHI,MIN,1,3,,0
2000,NHL,LAK,BOS,1,0,1.0,0
1999,NHL,BUF,WAS,1,2,1.0,0
1947,NHL,TOR,CHI,10,1,1.0,
1949,NHL,TOR,CHI,7,4,3.0,
2008,NHL,ATL,NYI,3,1,,0
2001,NHL,CBS,NYR,1,0,1.0,0
1971,NHL,TOR,PIT,4,2,0.0,
1993,NHL,PIT,QUE,1,4,0.0,
2001,NHL,PHI,NYI,1,3,0.0,1
1921,NHL,HAM,TRS,3,5,0.0,
2005,NHL,PHI,BOS,3,1,,0
1986,NHL,LAK,PHI,2,1,0.0,
1972,NHL,STL,MNS,2,2,2.0,
1930,NHL,PHQ,OTS,0,3,1.0,
1924,NHL,TRS,BOS,6,0,0.0,
1914,NHA,OT1,MOC,3,1,0.0,
1978,WHA,NEW,BIR,5,7,3.0,
2002,NHL,CAL,DET,1,3,0.0,0
1992,NHL,LAK,QUE,0,2,0.0,
2010,NHL,DET,TBL,1,0,,0
2011,NHL,TBL,LAK,0,1,,0
2002,NHL,TOR,COL,0,1,0.0,0
2009,NHL,CBS,LAK,1,3,,0
1998,NHL,OTT,CHI,1,0,1.0,
