year,url
1950,"Сезон 1950 года в Формуле-1 был первым сезоном чемпионата мира по автогонкам в классе «Формула-1», проведенным под эгидой Федерального союза автоспорта (FISA). Он начался 27 мая и закончился 18 сентября, проходя за пять этапов."
1951,"Сезон 1951 года в Формуле-1 — первый сезон чемпионата мира по автогонкам в классе «Формула-1», проводимом под эгидой FIA, с 1926 по 1939 год чемпионат проводился под эгидой AIACR.

Первый сезон чемпионата мира начался 25 мая с Гран-при Великобритании и завершился 20 сентября на Гран-при Испании. В сезоне 1951 года приняли участие 27 гонщиков, 8 команд и 20 автомобилей.

Сезонная лицензия стоила 30 фунтов стерлингов, а дополнительно нужно было заплатить по 1 фунту стерлингов за каждую гонку. За сезон было проведено 7 Гран-при.

В сезоне не было ни одного случая использования прокативных колес (флитвейл), как это было в предыдущих сезонах. Все команды использовали шины от компании Dunlop, которая предоставляла шины всем командам без исключения.

Сезон начался с непогоды: на Гран-при Великобритании был сильный дождь, из-за которого трасса стала очень скользкой, а на Гран-при Монако гонку пришлось приостановить из-за сильной бури.

В сезоне 1951 года было три разных победителя: Альберто Аскари выиграл два первых этапа в Великобритании и Нидерландах, а Алесис Морисон выиграл гонку в Бельгии. Однако по итогам сезона чемпионом стал Хуан Мануэль Фанхио, который выиграл 5 из 7 гонок сезона, включая последние три подряд гонки.

Фанхио был одним из четырех гонщиков, которые боролись за титул в последнем сезоне: он выступал на автомобиле Alfa Romeo, а остальные три гонщика: Морисон (Ferrari), Нино Фарина (Alfa Romeo) и Аскари (Alfa Romeo) боролись за второй место.

В сезоне 1951 года также произошло несколько трагических событий: во время Гран-при Бельгии погиб водитель команды Ecurie Belg Joseph Froix, а во время Гран-при Италии погиб пилот команды Ferrari Alberto Ascari. Оба гонщика погибли из-за того, что их автомобили вылетели с трассы и врезались в деревья.

По итогам сезона было принято решение о введении нового класса автомобилей — Formula II, которые были меньше и дешевле, но также были очень быстрыми. Однако введение этого класса не привело к увеличению числа участников гонок.

В целом, первый сезон чемпионата мира по автогонкам в классе «Формула-1» был успешным: многие гонщики, команды и страны приняли участие в гонках, что позволило сделать этот спорт глобальным явлением."
1952,"Сезон 1952 года в Формуле-1 был впервые сезоном чемпионата мира по автогонкам в классе «Формула-1», установленного Международной автомобильной федерацией (ФИА). Он состоял из восьми гонок и начался 13 апреля Гран-при Аргентины и закончился 6 сентября Гран-при Италии."
1953,Сезон 1953 года в Формуле-1
1954,"Сезон 1954 года в Формуле-1 был первым сезоном чемпионата мира по автогонкам в классе «Формула-1», установленного и проводимого Автомобильным клубом Великобритании (ACCO) и признанном Международной автомобильной федерацией (ФИА). Сезон состоял из шести Гран-при, всех проведённых на европейском континенте."
1955,Сезон 1955 года в Формуле-1
1956,"Сезон 1956 года в Формуле-1 — шестой сезон чемпионата мира в Формуле-1, который проводился под эгидой FIA. Сезон включал в себя девять гонок и начался 13 мая Гран-при Монако, а закончил 8 октября Гран-при Италии.

В сезоне 1956 года приняли участие десять команд и двадцать один пилот. Чемпионом сезона стал Хуан Мануэль Фанхио, который выиграл четыре гонки и показал лучшее время на четырех из девяти гонок. Второй в чемпионате стал Микаэль Лундгрен, а третьим — Стэни Модус.

Сезон 1956 года стал последним сезоном для команды Mercedes-Benz, которая возвращалась в Формулу-1 в 2014 году после 61-летнего перерыва. Также в этом сезоне состоялась первая победа команды Ferrari в Формуле-1."
1957,"Сезон 1957 года в Формуле-1 был восьмым сезоном чемпионата мира Формулы-1, проводимом под эгидой ФИА. Сезон состоял из восьми гонок и начался 13 января Гран-при Аргентины 1957 года, а закончился Гран-при Италии 1957 года 8 сентября."
1958,Сезон 1958 года в Формуле-1
1959,Сезон 1959 года в Формуле-1
1960,Сезон 1960 года в Формуле-1
1961,"Сезон 1961 года в Формуле-1 был 12-м сезоном чемпионата мира Формулы-1, установленного ФИА. Он начался 13 марта и закончился 4 сентября, проведя восемь гонок в разных странах Европы и Южной Африки."
1962,"Сезон 1962 года в Формуле-1 был первым сезоном чемпионата мира по автогонкам в классе «Формула-1», установленного Международной федерацией автоспорта (ФИА). Он начался 13 мая и закончился 2 декабря, проведя восемь гонок в разных странах.

В сезоне приняли участие десять команд и двадцать два пилота. Чемпионом сезона стал британец Грэм Хилл, выступавший за команду BRM. Вторым стал его товарищ по команде Джино Вале, а третьим - другой пилот BRM Джон Сёртис."
1963,Сезон 1963 года в Формуле-1
1964,Сезон 1964 года в Формуле-1
1965,Сезон 1965 года в Формуле-1
1966,"Сезон 1966 года в Формуле-1 был 15-м сезоном чемпионата мира в Формуле-1, установленным Fédération Internationale de l'Automobile (FIA). Сезон начался 18 июня и завершился 30 октября соревнованием Grand Prix Мексики. Жаки Икс и Грэм Хилл стали чемпионами сезона, выступая за команды Brabham и Ferrari соответственно."
1967,Сезон 1967 года в Формуле-1
1968,"Сезон 1968 года в Формуле-1 был 23-м сезоном чемпионата мира в классе «Формула-1», который проводился с 1950 года и по сей день. Сезон начался 24 февраля на трассе Монза, Италия и закончился 2 ноября на автодроме Кьярамгья, Италия после десяти гонок. Джек Брэбэм стал чемпионом за рулём Brabham BT26 с двигателем Repco V8, а его команда Brabham завоевала Кубок Конструкторов в первом сезоне работы 3-литровой машины."
1969,Сезон 1969 года в Формуле-1
