circuitid,circuitref,name,location,country,lat,lng,alt,url
1,Альберт-парк,Альберт-Парк Гран-при трасса,Мельбурн,Австралия,-37.8497,144.968,10.0,"Штадлеры-Ки - это трасса для автогонок, расположенная в городе Мельбурн, Австралия. Она используется для проведения Гран-при Австралии по Формуле-1 и других спортивных мероприятий. Трасса была спроектирована Джеком Брэбемом и открыта в 1956 году как часть более крупного спортивного комплекса, включающего стадион Эленал и плавательный комплекс ""Мельбурн-Крикет-Грин"". Трасса проходит через несколько живописных мест в Мельбурне, включая парк ""Флиндерс-Стейшнс"", где расположены три из четырех сложных участков трассы: ""Тандерн-Грин"", ""Сью-Хилл"" и ""Мурраун-Прат""."
2,Sepанг,Сепангский международный автодром,Кuala-Лумпур,Малайзия,2.76083,101.738,,Сепангская международная трасса
3,Бахрейн,Международный автодром Бахрейна,Сахир,Бахрейн,26.0325,50.5106,,Википедия: Бахрейнский международный трасс
4,Каталанска,Circuit де Каталония,Монмело,Испания,41.57,2.26111,,Кирпич де Барселона-Каталunya
5,Стамбул,Стамбульский парк,Стамбул,Турция,40.9517,29.405,,Парк Истабалу
6,Монако,Шоссе Монако,Монако,Монако,43.7347,7.42056,,Шоссейная гонка в Монако
7,Вилновиль,Круг Гилберта Вильнева,Монреаль,Канада,45.5,-73.5228,,Шоссейная гонка Gilles Villeneuve
8,магний-курсы,Кирпис Неверса Магни-Корс,Магни-Курсы,Франция,46.8642,3.16361,,Кирш де Невер Магни-Курс
9,Сильверстоун,Силверстоун,Серебрястоун,Великобритания,52.0786,-1.01694,,Шассе Сильверстоун
10,Хоккенхаймринг,Хоккенхаймринг,Хоккенхайм,Германия,49.3278,8.56583,,Хоккенхаймринг
11,Хунгаро-Ринг,Хунгароринг,Будапешт,Венгрия,47.5789,19.2486,,Хунгароринг
12,Валенсия,"Трасса ""Валенсия""",Валенсия,Испания,39.4589,-0.331667,,Круговая дорога Валенсии
13,спа,Спа-Франкоршам,Спа,Бельгия,50.4372,5.97139,,Киркс де Спа-Франкоршам
14,Монца,Автоодно Monца,Монца,Италия,45.6156,9.28111,,Автовертица «Национале Монцы»
15,Марина-Бэй,Марина-Бей-Стрит-Циркут,Марина-Бей,Сингапур,1.2914,103.864,,Карта трассы Марина-Бэй-Стрит-Кёрт
16,фудзи,Фудзи-сакипекайдо,Оямяма,Япония,35.3717,138.927,,Фудзи-спидвей
17,Шанхай,Шанхайская международная трасса,Шанхай,Китай,31.3389,121.22,,Шанхайская международная трасса
