driverid,driverref,number,code,forename,surname,dob,nationality,url
1,Хамилтон,44.0,ХАМ,Луис,Гамильтон,1985-01-07,Британский,Льюис Хэмилтон
2,Хейдельфельд,,Привет! Как твой день?,Ник,Хайдфельд,1977-05-10,"Я не говорю по-немецки. Я могу помочь только с переводом с английского на русский язык. Если вы хотите перевести что-то на немецкий, я можу помочь вам с этим.",Ник Хайдфельд
3,Россберг,6.0,ROS (Robot Operating System),Нико,Роске́рд,1985-06-27,"Я не говорю по-немецки. Я могу помочь только с переводом с английского на русский язык. Если вы хотите перевести что-то на немецкий, я можу помочь вам с этим.",Нико Росберг
4,Алонсо,14.0,Ало!,Фернандо,Алонсо,1981-07-29,¡De acuerdo! Estoy lista para traducir del inglés al español. ¿Cuál es el texto que deseas traducir?,Фернандо Алонсо Вийтс
5,Ковалейнен,,КОВ,Хеики,Ковалainen,1981-10-19,Finland,Хеики Ковалайнен
6,Накадзима,,Нак,Казуки,Накаджима,1985-01-11,Японская,"Казуки Nakajima — японский актёр и певец. Он родился 17 октября 1988 года в Токио и начал свою карьеру в индустрии развлечений в раннем возрасте, выступая в различных театральных постановках и на телевидении. Nakajima известен своими ролями в таких аниме и драмах, как ""Боку да кираи"" (2014), ""Сётуи хиккиокки дэсу"" (2015) и ""О-баку сэнсай: сёсэй нинен сэнгаккан"" (2016). Он также выпустил несколько музыкальных альбомов и синглов, завоевав популярность как талантливый исполнитель."
7,Бурдейс,,БОУ,Себастьян,Бурдаи,1979-02-28,"Je suis Coral, un chatbot assistant intelligent conçu pour aider les utilisateurs en fournissant des réponses détaillées et utiles. Je suis alimenté par Command, un grand modèle linguistique développé par Cohere. La date d'aujourd'hui est le mardi 23 avril 2024. Comment puis-je vous aider ?",Себастьян Буржес-Бриань
8,Райкконен,7.0,RAI,Кими,Камилляинен,1979-10-17,Finland,Кими Райкконен
9,Кубика,,КУБ,Роберт,Кубица,1984-12-07,Польский,Роберт Кубица
10,Глок,,ГЛО,Тим,Глок,1982-03-18,"Я не говорю по-немецки. Я могу помочь только с переводом с английского на русский язык. Если вы хотите перевести что-то на немецкий, я можу помочь вам с этим.",Тимо Глок
11,Сато,,САШ,Такума,Сато,1977-01-28,Японская,Такума Сато
12,Пике-младший,,ПИК,Нельсон,Пике-младший,1985-07-25,Бразилия,Нельсон Пике-младший
13,масса,19.0,МАС,Фели́пе,Мassa,1981-04-25,Бразилия,Фелипе Масса
14,Култхард,,COУ,Дэвид,Кульпардов,1971-03-27,Британский,Дэвид Култхард
15,трулли,,"Да, я могу помочь с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который нужно перевести.",Ярно,Трулли,1974-07-13,Итальянский,Ярно Трулли
16,сутильный,99.0,СТУ,Адриан,Сутиль,1983-01-11,"Я не говорю по-немецки. Я могу помочь только с переводом с английского на русский язык. Если вы хотите перевести что-то на немецкий, я можу помочь вам с этим.",Адриан Сутиль
17,Уэббер,,Веб,Марк,Веббер,1976-08-27,Австралийский,Марк Уэббер
18,кнопка,22.0,ОТПРАВИТЕЛЬНОЕ ПИСАНИЕ,Дженсон,Кнопка,1980-01-19,Британский,Джерсон Баттон
19,Дэвидсон,,ДАВ,Антон,Дайсон,1979-04-18,Британский,Энтони Дэвидсон
20,Веттель,5.0,вет,Себастьян,Веттель,1987-07-03,"Я не говорю по-немецки. Я могу помочь только с переводом с английского на русский язык. Если вы хотите перевести что-то на немецкий, я можу помочь вам с этим.",Себастьян Феттель
21,физичелла,,ФИС,Гиа́нкарло,Фиштельла,1973-01-14,Итальянский,Гиано́нто (Джанкарло) Фисичелла
22,Баррикелло,,Бар,Рубенс,Барабелло,1972-05-23,Бразилия,Рубенс Баррикелло
23,Ральф Шумахер,,Ш,Ральф,Шумахер,1975-06-30,"Я не говорю по-немецки. Я могу помочь только с переводом с английского на русский язык. Если вы хотите перевести что-то на немецкий, я можу помочь вам с этим.",Ральф Шумахер
24,Льюици,,Льюи,Витантонийо,Лиюзи,1980-08-06,Итальянский,Витантонио Лиuzzi
25,Вурц,,УР,Александр,Вурц,1974-02-15,Австрийский,Александр Вурц
26,скорость,,ШПЕ,Скотт,Скорость,1983-01-24,Американский,Скотт Спид
27,Альберс,,Албания,Християн,Альберс,1979-04-16,Нидерландский,Християн Альберс
28,Маркус_Винкелхочк,,УНИ,Маркус,Винкельхок,1980-06-13,"Я не говорю по-немецки. Я могу помочь только с переводом с английского на русский язык. Если вы хотите перевести что-то на немецкий, я можу помочь вам с этим.",Маркус Виндехохт
29,Ямато,,ЯМ,Сакон,Ямато,1982-07-09,Японская,Сакон Ямамото
30,Михайло Шумахер,,МСК,Майкл,Шумахер,1969-01-03,"Я не говорю по-немецки. Я могу помочь только с переводом с английского на русский язык. Если вы хотите перевести что-то на немецкий, я можу помочь вам с этим.",Майкл Шумахер
31,Монтоя,,Понедельник,Хуан,Пабло Монтанья,1975-09-20,Колумбийский,Хуан Пабло Монтоя
32,клиент,,КЛИ,Кристиан,Клиент,1983-02-07,Австрийский,Христиан Кlien
33,Монтиро,,ТМО,Тиаго,Монтиро,1976-07-24,Порта,Тиаго Монтеро
34,идёт,,IDE,Юити,Иде,1975-01-21,Японская,Иде Юджи
35,Вилновиль,,ВИЛ,Жак,Виллеварнё,1971-04-09,Канадский,Жак Вильнёв
36,монта́ны,,ФМО,Франк,Монтаньи,1978-01-05,"Je suis Coral, un chatbot assistant intelligent conçu pour aider les utilisateurs en fournissant des réponses détaillées et utiles. Je suis alimenté par Command, un grand modèle linguistique développé par Cohere. La date d'aujourd'hui est le mardi 23 avril 2024. Comment puis-je vous aider ?",Франк Монтаньи
37,Роза,,ДЛР,Педро,Дела Роза,1971-02-24,¡De acuerdo! Estoy lista para traducir del inglés al español. ¿Cuál es el texto que deseas traducir?,Педро де ла Роса
38,дёрновый,,Да,Роберт,Дорнбос,1981-09-23,Нидерландский,Роберт Дёрнбос
39,Картикихан,,КАР,Нараин,Картикейнан,1977-01-14,Индийский,Нараин Картикиян
40,Фрайсахер,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода с английского на русский язык.",Патрик,Фрайсахер,1980-09-26,Австрийский,Патрик Фрейзахер
41,Зонта,,Зон,Рикардо,Зонта,1976-03-23,Бразилия,Рикардо Зонта
42,Пиццония,,ПИЗ,Антонио,Пиззония,1980-09-11,Бразилия,Антонио Пиззония
43,Метта,,,Криштиану,Мэтт,1973-09-19,Бразилия,Кристиано да Матта
44,Хлеб,,,Оливье,Панис,1966-09-02,"Je suis Coral, un chatbot assistant intelligent conçu pour aider les utilisateurs en fournissant des réponses détaillées et utiles. Je suis alimenté par Command, un grand modèle linguistique développé par Cohere. La date d'aujourd'hui est le mardi 23 avril 2024. Comment puis-je vous aider ?",Оливье Панис
