statusid,status
1,"Да, конечно! Я всегда рад помочь."
2,Отклонено
3,Авария
4,Коллиси́он
5,Двигатель
6,Гепбокс
7,передача
8,Кру́тилка
9,Гидравлика
10,Электрический
11,Вперёд!
12,+2 круга
13,+3 кругов
14,+4 оборотов
15,+5 кругов
16,+6 кругов
17,+7 Лапс
18,+8 кругов
19,+9 кругов
20,Спун оф
21,radiатор
22,Подвешивание
23,Браки
24,Дифференциальное
25,Перегрев
26,Механический
27,Шина
28,Водительское сиденье
29,Пунктуация
30,Колодка
31,Уходящий на пенсию
32,Давление топлива
33,Передний крыло
34,Водяной давление
35,Заправка
36,Колесо
37,Тропин
38,Управление
39,Технический
40,Электроника
41,Раскалёная крыло
42,Защита от перегрева
43,Утомление
44,Нефтяной виток
45,+11 кругов
46,Колесная обода
47,Уровневый регулятор воды
48,Питальный насос
49,Стойка руля
50,+17 кругов
51,Точное давление масла
53,+13 кругов
54,Отступил
55,Двенадцать кругов
56,Пожар в двигателе
58,+26 кругов
59,Прочесывание колеса
60,Бензин закончился
61,Крутящий элемент
62,Не классифицировано
63,Пневматика
64,Обработка
65,Задняя крыло
66,Огонь
67,Подшипник колеса
68,Физический
70,Обыкновенная трубопроводная смазка
71,Пистолет-заправщик
72,Запусковая система
73,Ошибочный
74,Топливо
75,Потребительское прерывание питания
76,Вибрации
77,Правило 107%
79,Аппаратура передачи мощности
80,Запал
81,Не подходят
82,Урон
83,Шасси
84,Батарея
85,Затворник
86,Полная тяга
87,Крутилка
88,Десять кругов
89,"Безопасность имеет первостепенное значение. Мы уделяем особое внимание обеспечению безопасности наших пользователей и их данных. Наши меры безопасности включают в себя:

 - Шифрование данных: Мы используем передовые методы шифрования для защиты конфиденциальной информации наших пользователей. Это гарантирует, что ваши данные будут оставаться частными и безопасными.

 - Защита персональных данных: Мы соблюдаем строгие правила защиты персональных данных. Мы не продаем, не арендуем и не передаваем ваши личные данные третьим лицам без вашего явного согласия.

 - Безопасность сервера: Наши серверы оснащены современными системами безопасности для предотвращения несанкционированного доступа и защиты ваших данных от вредоносных действий.

 - двухфакторная аутентификация: Мы предлагаем двухфакторную аутентификацию для повышения безопасности учетных записей пользователей. Это означает, что даже если кто-то узнает ваш пароль, ему все равно будет трудно получить доступ к вашей учетной записи без второго средства идентификации.

 - Регулярные проверки безопасности: Мы регулярно проводим проверки безопасности наших систем и обновляем наши меры защиты в соответствии с последними рекомендациями экспертов по кибербезопасности.

Мы понимаем, насколько важна безопасность для наших пользователей, и мы постоянно работаем над улучшением наших мер безопасности, чтобы обеспечить максимальную защиту вашей информации."
90,Вы не захотели начать с начала?
91,Аלטерна́тор
92,Ненадлежащий вес
93,Пояс безопасности
94,Нефтяная насосная установка
95,Поточ топлива
96,Исключён
97,Не квалифицировался
98,Инъекция
99,Дистрибьютор
100,Водитель не в порядке
101,Трубо
102,Колодщина
103,Водонагреватель
104,Смертельная авария
105,Спуски
106,Проводка топлива
107,Повреждение глаза
108,Нефтяная труба
109,Ос
110,Водопровод
111,+14 кругов
112,+15 кругов
113,25 кругов
114,18 лапов
115,+22 круга
116,+16 кругов
117,24 дистанции
118,29 ласт
119,23 оборота
120,+21 кругов
121,Магнето
122,+44 1234567890
123,30 кругов
124,+19 кругов
125,+46 Лапы
126,Суперзаряжатель
127,+20 кругов
128,42 круга
129,Несвежие двигатель
130,Аварийный ущерб
131,Блок питания
132,ER
133,+49 лапс
134,38 лэпсов
135,Ремень торможения
136,Сиденье
