constructorid,constructorref,name,nationality,url
1,Макларен,Макларен,Британский,https://ru.wikipedia.org/wiki/Макларен
2,BMW Sauber,БМВ Саубер,"Я не говорю по-немецки. Я могу помочь только с переводом с английского на русский язык. Если вы хотите перевести что-то на немецкий, я можу помочь вам с этим.",BMW Саубер
3,Уильямс,Уильямс,Британский,Вильямс Гранд-при Инженеринг
4,Рено,Рено,"Je suis Coral, un chatbot assistant intelligent conçu pour aider les utilisateurs en fournissant des réponses détaillées et utiles. Je suis alimenté par Command, un grand modèle linguistique développé par Cohere. La date d'aujourd'hui est le mardi 23 avril 2024. Comment puis-je vous aider ?",https://ru.wikipedia.org/wiki/Рено_Ф1
5,Таро-Россо,Торо Россо,Итальянский,Скудерия Торо Россо
6,Феррари,Феррари,Итальянский,Скудерия Феррари
7,Toyota,Тойота,Японская,Википедия: Toyota Racing
8,Супер Агури,Супер Агури,Японская,Супер Агури F1
9,редболл,Red Bull,Австрийский,https://ru.wikipedia.org/wiki/Ред_Булл_Рэйсинг
10,Форс Индия,«Форс Индия»,Индийский,https://ru.wikipedia.org/wiki/Форс_Индия
11,Хонда,Хонда,Японская,Википедия: Honda Racing F1
12,Спайкер,Спиер,Нидерландский,Спайкер Ф1
13,Мф1,МФ1,"Добрый день! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Уилкиллз-Хилл
14,Спайкер МФ1,Спайкер МФ1,Нидерландский,Уилкиллз-Хилл
15,чистый,Чистый,Швейцария,Сабер
16,бар,Бар,Британский,Википедия: Британско-американская гоночная команда
17,Иордания,Иордания,ирландский,Гран-при Иордании
18,Минарди,Минарди,Итальянский,Минарди
19,Ягуар,Ягуар,Британский,Джагuar Рэйсинг
20,прост,Просто,"Je suis Coral, un chatbot assistant intelligent conçu pour aider les utilisateurs en fournissant des réponses détaillées et utiles. Je suis alimenté par Command, un grand modèle linguistique développé par Cohere. La date d'aujourd'hui est le mardi 23 avril 2024. Comment puis-je vous aider ?","Wikipedia: ""Prost Grand Prix"""
21,Стрелки,Стрелки,Британский,Арроу Гран-При интернешнл
22,Бенеттон,Бенеттон,Итальянский,Википедия: Benetton Formula
23,бронза,Гру́мк,Британский,https://ru.wikipedia.org/wiki/Браун_ГП
24,Стюарт,Стюарт,Британский,Стюарт Гран-при
25,Тиррелл,Тиррелл,Британский,https://ru.wikipedia.org/wiki/Тайрелл_(гоночные_автомобили)
