constructorstandingsid,raceid,constructorid,points,position,positiontext,wins
11,19,5,2.0,8,8,0
57,23,7,9.0,6,6,0
64,24,3,15.0,6,6,0
77,25,5,7.0,9,9,0
90,26,7,25.0,4,4,0
97,27,3,16.0,7,7,0
188,35,6,172.0,1,1,8
190,35,9,29.0,7,7,0
653,80,9,22.0,6,6,0
666,81,7,54.0,4,4,0
711,86,4,152.0,1,1,7
732,88,6,100.0,3,3,1
1488,161,15,1.0,7,7,0
1578,170,6,117.0,2,2,6
1666,79,3,47.0,4,4,0
1817,74,18,0.0,9,9,0
2067,192,17,0.0,6,6,0
2104,196,6,39.0,2,2,1
2129,198,17,0.0,8,8,0
2136,199,3,19.0,4,4,0
2147,200,3,20.0,4,4,0
2156,200,21,4.0,6,6,0
2181,203,6,102.0,2,2,5
2422,224,25,1.0,5,5,0
2423,224,27,0.0,6,6,0
2457,227,28,0.0,10,10,0
2491,230,17,8.0,7,7,0
2515,233,6,35.0,3,3,1
2519,233,27,12.0,6,6,1
2531,234,15,10.0,7,7,0
2543,235,29,1.0,9,9,0
2551,236,25,5.0,8,8,0
2579,238,17,20.0,5,5,0
3313,292,29,3.0,5,5,0
3376,296,18,0.0,12,12,0
3413,299,29,5.0,6,6,0
3425,300,22,64.0,2,2,1
3430,300,33,1.0,11,11,0
3441,301,32,11.0,5,5,0
3446,301,34,0.0,15,15,0
4043,1,10,0.0,6,6,0
4652,274,26,0.0,11,11,0
4664,275,17,0.0,11,11,0
4673,276,32,7.0,5,5,0
4678,277,1,34.0,2,2,2
4680,277,18,5.0,7,7,0
4820,288,1,84.0,2,2,5
5046,241,3,16.0,2,2,1
5058,242,1,6.0,4,4,0
5068,243,22,33.0,1,1,2
5077,243,31,0.0,9,9,0
5113,246,30,0.0,12,12,0
5128,247,15,5.0,7,7,0
5236,255,29,1.0,9,9,0
5240,256,1,30.0,4,4,0
5282,210,20,6.0,6,6,0
5460,177,6,28.0,1,1,2
5496,180,22,14.0,4,4,0
5511,181,20,2.0,7,7,0
5524,182,15,3.0,7,7,0
5542,184,21,1.0,9,9,0
5596,189,24,36.0,4,4,1
5681,147,15,12.0,6,6,0
5709,149,18,0.0,11,11,0
5750,153,19,5.0,8,8,0
5768,155,1,81.0,2,2,3
