targetid,raceid,driverid,win
18,19,15,0
63,21,22,0
162,26,6,0
230,29,8,0
235,29,18,0
1297,76,8,1
1487,84,33,0
3148,162,21,0
3199,164,18,0
3285,168,2,0
3296,168,64,0
3305,169,41,0
3328,170,41,0
3349,171,35,0
3408,173,14,0
3510,79,15,0
3804,73,27,0
4401,197,25,0
4410,197,68,0
4451,199,55,0
4462,199,50,0
4493,201,71,0
4619,206,23,0
5078,226,64,0
5136,229,56,0
5143,229,64,0
5242,233,85,0
5262,234,14,0
5293,236,57,0
5338,238,77,0
5368,239,79,0
6818,291,57,0
6916,293,109,0
6950,294,104,0
6963,295,105,0
7127,301,100,0
7203,303,94,0
7239,304,84,0
8255,1,16,0
9370,274,55,0
9389,275,69,0
9497,280,65,0
9503,280,69,0
9588,283,121,0
9592,283,79,0
9710,288,87,0
9724,288,119,0
10431,249,92,0
10589,254,99,0
10646,256,69,0
10762,212,64,0
10763,212,35,1
10803,214,44,0
10809,214,35,0
10827,215,78,0
11071,176,30,0
11075,176,48,0
11266,186,56,0
11274,186,57,0
11345,189,25,0
11519,147,31,0
11596,151,49,0
11688,155,30,0
12048,138,62,0
12090,140,17,0
12151,111,14,0
12184,112,43,0
12236,115,4,0
12257,116,23,1
12367,121,21,0
12387,122,2,0
12472,93,30,1
12515,95,23,0
12718,104,32,0
12767,106,32,0
12777,106,10,0
12786,107,31,1
12795,107,45,0
12858,55,26,0
12883,56,15,0
12902,57,26,0
12924,58,26,0
13115,66,11,0
13136,67,23,0
13145,67,36,0
13689,39,26,0
13813,45,23,0
13864,47,17,0
13988,52,16,0
15967,324,103,0
16019,325,110,0
16034,325,133,0
16059,326,117,1
16098,327,117,1
16099,327,122,0
16100,327,118,0
16340,333,99,0
17089,305,141,0
17128,307,102,1
17141,307,119,0
17144,307,122,0
17173,308,84,0
17186,308,81,0
17199,309,117,0
17249,310,105,0
17306,312,102,0
17354,313,57,0
17389,314,84,0
17419,315,131,0
17518,317,133,0
17629,320,95,0
17931,6,18,1
18045,13,7,0
18050,13,20,0
18126,15,12,0
18159,356,95,1
18179,356,131,0
18190,356,161,0
18283,359,105,0
18351,360,78,0
18378,361,163,0
18389,361,99,0
18463,363,133,0
18503,364,163,0
18512,364,140,0
18537,365,84,0
18566,366,65,0
18915,370,160,0
19038,373,133,0
19088,375,131,0
19204,379,158,0
19216,379,145,0
19231,380,137,0
19255,380,160,0
19293,382,117,0
19365,384,138,0
19368,384,140,0
19430,386,137,0
19496,387,168,0
19583,391,157,0
19588,391,102,1
19608,392,138,0
19731,396,122,0
19737,397,117,0
19799,399,138,0
19807,399,119,0
19877,401,163,0
19939,403,171,0
20022,407,172,0
20034,407,140,0
20057,408,105,0
20198,412,117,0
20251,414,166,0
20255,414,123,0
20330,416,179,0
20461,421,163,0
20548,424,112,0
20690,426,172,0
20731,427,182,0
20754,428,160,0
20820,430,94,0
20876,432,112,0
21040,437,176,0
21080,438,188,0
21265,444,173,0
21272,444,110,0
21332,446,156,0
21457,449,177,0
21470,449,170,0
21498,450,118,0
21571,452,194,0
21672,455,177,0
21690,456,187,0
21745,458,95,0
21818,460,119,0
21873,462,192,0
21925,463,160,0
22023,465,119,0
22054,466,187,0
22082,467,181,0
22157,469,203,0
22177,470,152,0
22268,472,208,0
22333,474,195,0
22343,475,182,0
22407,476,195,0
22467,478,206,0
22515,479,158,0
22567,480,136,0
22795,485,178,0
22796,485,199,0
22814,485,203,0
22886,487,110,0
22924,488,214,0
22943,489,192,0
23015,491,137,0
23028,491,136,0
23091,492,137,1
23287,497,163,0
23311,497,219,0
43226,834,686,0
43238,834,747,0
43298,835,795,0
43452,837,615,0
43518,838,796,0
43557,839,789,0
43569,839,792,0
43592,839,797,0
43599,839,611,0
43603,839,697,0
43691,826,726,0
43747,827,772,0
43751,827,773,0
43882,829,697,0
43943,830,772,0
44006,831,615,0
44221,819,626,0
44276,820,640,0
44324,820,612,0
44353,821,626,0
44425,822,663,0
44463,822,732,0
44483,822,738,0
44593,823,664,0
44833,810,518,0
44861,811,578,0
44883,811,653,0
44940,812,642,0
45102,814,656,0
45206,815,679,0
45255,815,706,0
45307,816,556,0
45328,816,528,0
45375,816,714,0
46220,795,496,0
46244,795,509,0
46255,795,657,0
46318,796,611,0
46403,797,615,0
46859,790,595,0
46873,790,533,0
46900,791,577,0
47040,778,608,0
47124,779,612,0
47168,780,577,0
47275,781,560,0
47323,782,609,0
47335,782,562,0
47360,782,619,0
47410,783,562,0
48144,741,475,0
48161,741,481,0
48295,744,483,0
48365,745,454,0
48378,745,494,0
48407,730,408,0
48623,735,428,0
48641,736,418,0
48686,737,430,0
48688,737,453,0
48778,692,385,0
48801,693,385,0
48846,694,399,0
48905,696,375,1
48909,697,328,0
48934,697,401,0
48962,698,278,0
49037,767,582,0
49063,768,476,0
49067,768,483,0
49202,770,456,0
49271,771,476,0
49296,771,509,0
49313,771,527,0
49375,772,564,0
49385,772,555,0
49477,773,537,0
49487,773,526,0
49500,774,475,0
49630,775,516,0
49637,775,595,0
49891,750,508,0
49926,750,481,0
50109,753,456,0
50115,753,507,0
50120,753,510,0
50130,753,519,0
50335,755,491,0
50861,714,309,0
50869,714,399,0
50899,715,430,0
50926,716,309,0
50944,716,402,0
50948,717,397,0
50957,717,427,0
50960,717,341,0
51134,702,289,0
51303,705,422,0
51404,707,394,0
51474,799,671,0
51533,800,730,0
51591,801,680,0
51635,802,596,0
51668,802,653,0
51669,802,654,0
51687,803,643,0
51742,803,647,0
51765,803,805,0
51767,804,579,1
51855,804,730,0
52021,806,682,0
52043,806,702,0
52101,807,632,0
52540,680,374,0
52622,683,289,0
52968,660,340,0
53079,664,372,0
53158,632,293,0
53375,639,340,0
53411,640,345,0
53524,642,288,0
53530,642,344,0
53561,668,346,0
53782,675,347,0
53812,676,304,1
53937,620,314,0
53960,621,199,0
54036,623,250,0
54157,627,309,0
54210,628,330,0
54272,630,320,0
54348,643,358,0
54497,648,238,0
54535,649,327,0
54572,650,364,0
54689,653,351,0
54822,607,327,0
54900,609,292,0
54916,610,329,0
55011,613,290,0
55025,613,331,0
55046,614,328,1
55073,614,278,0
55087,615,304,0
55295,590,280,0
55328,591,233,0
55341,592,306,0
55430,594,292,0
55491,596,199,0
55573,598,223,0
55780,602,182,0
55830,602,270,0
55850,603,238,0
55924,604,197,0
56000,577,207,0
56265,585,232,0
56479,589,299,0
56718,566,271,0
56738,567,275,0
56784,568,207,0
56785,568,187,0
56786,568,270,0
56797,568,271,0
56829,569,276,0
56894,570,284,0
56926,571,232,0
57012,573,270,0
57137,575,237,0
57190,528,240,0
57191,528,241,0
57253,530,211,0
57300,532,231,0
57361,533,243,0
57598,539,206,0
57656,541,231,0
57744,542,213,0
57877,548,250,0
57943,549,211,0
58097,553,231,0
58102,553,246,0
58109,553,197,0
58137,554,199,0
58291,556,270,0
58343,557,265,0
58415,559,199,0
58467,559,241,0
58495,512,175,0
58603,516,233,0
58873,525,202,0
58925,498,178,1
58943,498,173,0
58944,498,187,0
59111,504,223,0
59174,506,221,0
59360,511,152,0
61982,757,541,0
62081,758,522,0
62173,760,506,0
62346,762,512,0
62456,763,517,0
62542,764,404,0
62556,764,478,0
63379,720,401,0
63414,721,364,0
63448,722,403,0
63468,723,373,1
63581,726,373,0
63601,726,375,0
63666,727,448,0
63708,728,432,0
63739,337,1,0
63826,340,37,0
63843,341,9,0
63882,342,13,0
63992,346,67,0
64044,348,37,0
64083,350,18,0
64158,351,1,0
64179,351,812,0
64309,355,811,0
64387,842,4,0
64396,842,15,0
64434,844,808,0
64455,844,39,0
64506,847,808,0
64584,850,17,0
64622,851,22,0
64675,852,816,0
64700,841,153,0
64764,854,812,0
64797,856,4,0
64820,856,812,0
65031,864,815,0
65033,864,814,0
65233,871,5,0
65372,874,815,0
65516,880,4,0
65731,887,817,0
65737,888,20,1
65753,888,817,0
65854,894,154,0
65895,896,16,0
65920,897,154,0
65945,898,821,0
66004,272,92,0
66037,257,102,0
66109,259,107,0
66111,259,88,0
66156,261,83,0
66198,262,103,0
66269,264,50,0
66273,264,49,0
66333,266,91,0
66480,269,112,0
66497,270,56,0
66561,271,95,0
66664,902,818,0
66684,903,807,0
66692,903,824,0
66760,906,813,0
66826,909,813,0
66908,913,818,0
66946,914,827,0
67106,929,807,0
67180,932,822,0
67202,933,1,0
67237,934,813,0
67286,938,1,1
67288,938,20,0
67309,939,20,1
67362,940,8,0
67491,944,832,0
67587,949,828,0
67614,950,4,0
67843,959,4,0
67927,963,830,0
67951,964,830,0
68044,965,807,0
68077,966,836,0
68221,972,830,0
68233,972,817,0
68234,972,828,0
68340,977,840,0
68367,978,836,0
68406,980,825,0
