year,lgid,tmid,franchid,confid,divid,rank,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,name,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1996,NHL,STL,STL,WC,CE,4,CQF,82,36,35,11.0,,83,,,236,239,Блюз Сент-Луис,1336.0,24.0,50.0,327.0,8.0,55.0,332.0,9.0
2002,NHL,FLO,FLO,EC,SE,4,,82,24,36,13.0,9.0,70,,,176,237,Пантеры Флориды,1127.0,26.0,49.0,347.0,9.0,66.0,356.0,7.0
2003,NHL,CHI,CHI,WC,CE,5,,82,20,43,11.0,8.0,59,,,188,259,Чикаго Блэкхокс,1318.0,18.0,55.0,349.0,14.0,63.0,383.0,5.0
1993,NHL,CHI,CHI,WC,CE,5,CQF,84,39,36,9.0,,87,,,254,240,Чикаго Блэкхокс,2125.0,24.0,67.0,383.0,10.0,71.0,427.0,15.0
1926,NHL,TRS,TOR,,CA,5,,44,15,24,5.0,,35,,,79,94,"Торонто, Сент-Патрикс",546.0,,,,,,,
2002,NHL,OTT,OTT,EC,NE,1,CF,82,52,21,8.0,1.0,113,,,263,182,Оттавские сенаторы,1135.0,22.0,83.0,391.0,8.0,50.0,332.0,4.0
2008,NHL,DAL,DAL,WC,PC,3,,82,36,35,,11.0,83,6.0,6.0,230,257,Далласские Звезды,1144.0,10.0,54.0,351.0,4.0,70.0,327.0,2.0
1988,NHL,HAR,CAR,WA,AD,4,DSF,80,37,38,5.0,,79,,,299,290,Хартфорд Китерс,1672.0,10.0,87.0,418.0,18.0,70.0,377.0,3.0
2000,NHL,STL,STL,WC,CE,2,CF,82,43,22,12.0,5.0,103,,,249,195,Блюз Сент-Луис,1345.0,14.0,72.0,385.0,7.0,57.0,389.0,15.0
1995,NHL,HAR,CAR,EC,NE,4,,82,34,39,9.0,,77,,,237,259,Хартфорд Китерс,1844.0,18.0,67.0,372.0,9.0,83.0,429.0,8.0
1968,NHL,TOR,TOR,,ED,4,QF,76,35,26,15.0,,85,,,234,217,Торонтские кленовые листья,950.0,,45.0,278.0,5.0,46.0,294.0,11.0
1935,NHL,TOR,TOR,,CA,2,F,48,23,19,6.0,,52,,,126,106,Торонтские кленовые листья,579.0,,,,,,,
2002,NHL,MIN,MIN,WC,NW,3,CF,82,42,29,10.0,1.0,95,,,198,178,Миннесота Уайлд,1063.0,28.0,52.0,366.0,5.0,43.0,308.0,9.0
1983,NHL,VAN,VAN,CC,SM,3,DSF,80,32,39,9.0,,73,,,306,328,Ванкуверские канаки,1474.0,4.0,90.0,369.0,11.0,73.0,312.0,4.0
1965,NHL,CHI,CHI,,,2,SF,70,37,25,8.0,,82,,,240,187,Чикаго Черные Ястребы,815.0,,70.0,281.0,4.0,40.0,251.0,8.0
2007,NHL,CBS,CBS,WC,CE,4,,82,34,36,,12.0,80,3.0,8.0,193,218,Колумбские синие шапочки,1325.0,22.0,53.0,356.0,5.0,63.0,378.0,8.0
