name,id,award,year,lgid,note
Фил Хоузли,houslph01,Патрик,2007,NHL,
Джек Баттерфилд,butteja01h,Патрик,1984,NHL,
Джон Мариуччи,mariujo01,Патрик,1976,NHL,
Артур Вирц,wirtzar01h,Патрик,1984,NHL,
Бобби Халл,hullbo01,Патрик,1968,NHL,
&lt; &lt; Арбур &gt; &gt;,arboual01,Патрик,1991,NHL,
Лу Ламориелло,lamorlo01c,Патрик,1991,NHL,
Чарльз Л. Кроват,,Патрик,1973,NHL,посмертно
Джим Девеллано,,Патрик,2008,NHL,
Марсель Дионн,dionnma01,Патрик,2005,NHL,
Брюс Макналл,,Патрик,1992,NHL,
Фил Эспозито,esposph01,Патрик,1977,NHL,
Бобби Кларк,clarkbo01,Патрик,1979,NHL,
Вестон Адамс,adamswe01h,Патрик,1973,NHL,посмертно
Брюс Норрис,norribr01h,Патрик,1975,NHL,
Джордж Лидер,,Патрик,1975,NHL,
Эд Джеремайя,jeremed01,Патрик,1968,NHL,посмертно
Чарльз Адамс,adamsch01h,Патрик,1966,NHL,посмертно
Фред Шеро,sherofr01,Патрик,1979,NHL,
Хоби Бейкер,bakerho01h,Патрик,1986,NHL,посмертно
Джерри Йорк,,Патрик,2009,NHL,
Мюррей Мёрдок,murdomu01,Патрик,1973,NHL,
Гил Штейн,,Патрик,1992,NHL,
Пэт Лафонтен,lafonpa01,Патрик,1996,NHL,
Гэри Беттман,,Патрик,2000,NHL,
Джон Килпатрик,kilpajo01h,Патрик,1967,NHL,посмертно
Фред Кузик,,Патрик,1987,NHL,
Майк Эмрик,,Патрик,2003,NHL,
Джо Маллен,mullejo01,Патрик,1994,NHL,
Арт Берглунд,,Патрик,1991,NHL,
Кларенс Кэмпбелл,campbcl01h,Патрик,1971,NHL,
Макс Макнаб,mcnabma01,Патрик,1997,NHL,
Лен Сегларски,,Патрик,1989,NHL,
Боб Флеминг,,Патрик,1994,NHL,
Томас Локхарт,lockhth01h,Патрик,1967,NHL,
Нил Бротен,brotene01,Патрик,1997,NHL,
Майк Рихтер,richtmi01,Патрик,2008,NHL,
Фрэнк Мэтерс,mathefr01,Патрик,1986,NHL,
Линн Патрик,patrily01,Патрик,1988,NHL,посмертно
Скотти Боуман,bowmasc01c,Патрик,2000,NHL,
Боб Джонсон,johnsbo02c,Патрик,1987,NHL,
Терри Савчук,sawchte01,Патрик,1970,NHL,посмертно
Эдди Шор,shoreed01,Патрик,1969,NHL,
Дэйв Эндрюс,,Патрик,2009,NHL,
Лу Нанна,nannelo01,Патрик,1988,NHL,
Майк Ильич,ilitcmi01h,Патрик,1990,NHL,
Марк Мессье,messima01,Патрик,2008,NHL,
Дэн Келли,kellyda01,Патрик,1988,NHL,
Марио Лемиё,lemiema01,Патрик,1999,NHL,
Стив Езерман,yzermst01,Патрик,2005,NHL,
Уэйн Грецки,gretzwa01,Патрик,1993,NHL,
Уильям Дженнингс,jenniwi01h,Патрик,1970,NHL,
Бад Пойл,poilebu01,Патрик,1988,NHL,
Джон Зиглер,ziegljo01h,Патрик,1983,NHL,
Глен Сонмор,sonmogl01,Патрик,2005,NHL,
Брайан Маллен,mullebr01,Патрик,1994,NHL,
Билл Клири,,Патрик,1996,NHL,
Джек Адамс,adamsja01,Патрик,1965,NHL,
Фрэнк Бушер,bouchfr01,Патрик,1992,NHL,
Рэй Мирон,,Патрик,2003,NHL,
Милт Шмидт,schmimi01,Патрик,1995,NHL,
Род Гилберт,gilbero01,Патрик,1990,NHL,
Красный Беренсон,berenre01,Патрик,2005,NHL,
Том Фитцджеральд,,Патрик,1977,NHL,
Мюррей Армстронг,armstmu01,Патрик,1976,NHL,
Джек Паркер,,Патрик,2009,NHL,
Джеймс Норрис,norrija02h,Патрик,1966,NHL,посмертно
Тед Линдси,lindste01,Патрик,2007,NHL,
Джордж Гунд,,Патрик,1995,NHL,
Сеймур Х. Нокс III,,Патрик,1996,NHL,посмертно
Боб Пулфорд,pulfobo01,Патрик,2010,NHL,
Роберт Райддер,,Патрик,1993,NHL,
Рэймонд Бурк,bourqra01,Патрик,2002,NHL,
Джон Букик,bucykjo01,Патрик,1976,NHL,
Гарри Синден,sindeha01c,Патрик,1998,NHL,
Вилли О'Ри,oreewi01,Патрик,2002,NHL,
Кит Аллен,allenke01,Патрик,1987,NHL,
Олимпийская хоккейная команда США 1960 года,,Патрик,2001,NHL,
Дональд Кларк,,Патрик,1974,NHL,
Джек Райли,rileyja01,Патрик,1985,NHL,
Томми Иван,ivanto01c,Патрик,1974,NHL,
"Джон А. ""Снукс"" Келли",,Патрик,1971,NHL,
Стэн Фишлер,,Патрик,2006,NHL,
Уолтер Буш,bushwa01h,Патрик,1972,NHL,
Уолтер Браун,brownwa02h,Патрик,1967,NHL,посмертно
Джон МакИннес,,Патрик,1985,NHL,
Эмиль Фрэнсис,francem01,Патрик,1981,NHL,
Уильям Татт,tuttwi01h,Патрик,1977,NHL,
Куни Вейланд,weilaco01,Патрик,1971,NHL,
Чарльз М. Шульц,,Патрик,1980,NHL,
Питер Карманос,,Патрик,1997,NHL,
Кэм Нили,neelyca01,Патрик,2009,NHL,
Боб Негеле,,Патрик,2007,NHL,
Джим Хенди,hendyji01h,Патрик,1969,NHL,посмертно
Алекс Дельвеккио,delveal01,Патрик,1973,NHL,
Лу Вайро,,Патрик,1999,NHL,
Тони Росси,,Патрик,2010,NHL,
Рон ДеГрегорио,,Патрик,2002,NHL,
Бобби Орр,orrbo01,Патрик,1978,NHL,
Арт Росс,rossar01,Патрик,1983,NHL,посмертно
Билл Чедвик,chadwbi01h,Патрик,1974,NHL,
Горди Хоу,howego01,Патрик,1966,NHL,
Джон Дэвидсон,davidjo01,Патрик,2003,NHL,
Джон Майасич,,Патрик,1997,NHL,
Джеймс Д. Норрис,norrija03h,Патрик,1971,NHL,посмертно
Ларри Плео,pleaula01,Патрик,2001,NHL,
Дэвид Пойл,,Патрик,2000,NHL,
