year,month,date,tmid,oppid,r/p,idgoalie1,idgoalie2
1996,12,3,TOR,STL,Р,cousima01,potvife01
1980,2,20,LAK,BOS,Р,lessama01,keansdo01
2001,12,8,ANA,CAL,Р,shielst01,gigueje01
1997,11,4,TOR,SJS,Р,healygl01,cousima01
2005,10,22,CAR,WAS,Р,gerbema01,wardca01
1941,3,15,MTL,NYA,Р,bibeapa01,gardibe01
2001,11,17,CAL,STL,Р,vernomi01,turekro01
2011,2,2,PIT,NYI,Р,johnsbr02,fleurma01
1993,2,8,PIT,BOS,Р,wreggke01,barrato01
1998,4,7,SJS,CAL,Р,vernomi01,hrudeke01
1973,10,16,TOT,LAS,Р,binklle01,grattgi01
1972,12,29,TOR,PIT,Р,plantja01,lowro01
1987,1,9,WIN,HAR,Р,reddipo01,berthda01
2005,11,12,ATL,CAR,Р,dunhami01,berkhad01
2007,12,12,OTT,CAR,Р,gerbema01,emeryra01
2008,10,25,STL,FLO,Р,bishobe01,schwama01
2003,11,21,SJS,PHO,Р,nabokev01,toskave01
1972,11,25,TOR,CLF,Р,plantja01,lowro01
1999,1,9,PHI,CAR,Р,hextaro01,vanbijo01
2007,2,8,STL,DET,Р,legacma01,sanfocu01
1997,10,18,DET,CAR,Р,osgooch01,hodsoke01
1968,2,14,OAK,PHI,Р,smithga01,hodgech01
1971,1,2,TOR,DET,Р,plantja01,gamblbr01
2001,10,27,DET,NAS,Р,hasekdo01,legacma01
2000,3,21,BOS,TBL,Р,grahajo01,tallaro01
1987,1,23,PIT,VAN,Р,melocgi01,romanro01
2001,11,15,PHI,WAS,Р,bouchbr01,cechmro01
1977,3,18,WAS,COR,Р,croziro01,lowro01
1955,3,22,MTL,BOS,Р,plantja01,hodgech01
1971,3,24,TOR,CLF,Р,plantja01,parenbe01
1970,11,5,STL,BOS,Р,hallgl01,wakeler01
1983,12,4,NJD,DET,Р,lowro01,reschgl01
2001,3,12,SJS,MTL,Р,nabokev01,kiprumi01
2011,12,6,VAN,COL,Р,luongro01,schneco01
2012,4,14,STL,SJS,Р,halakja01,elliobr01
1975,2,23,CHI,ATF,Р,esposto01,dumasmi01
1998,4,4,NYI,NYR,Р,saloto01,flahewa01
2010,5,10,PHI,BOS,Р,bouchbr01,leighmi01
2005,12,2,SJS,BUF,Р,nabokev01,schaeno01
1983,4,3,WAS,NYR,Р,jenseal01,riggipa01
1977,11,1,NYI,ATF,Р,smithbi01,hogosgo01
1973,2,7,QUN,PHB,Р,aubryse01,broderi01
2009,12,1,TOR,MTL,Р,gustajo01,macdojo01
1985,1,8,EDM,QUE,Р,moogan01,fuhrgr01
1996,11,9,NJD,NYI,Р,brodema01,dunhami01
2006,11,23,NAS,VAN,Р,vokouto01,masonch02
2002,1,10,BOS,LAK,Р,grahajo01,dafoeby01
1999,4,8,TBL,BOS,Р,schwaco01,hodsoke01
1991,10,25,DET,TOR,Р,riendvi01,cheveti01
1929,3,14,TOR,NYA,Р,chabolo01,grantbe01
1981,11,11,MTL,COR,Р,herrode01,sevigri01
1997,12,31,TBL,NYR,Р,schwaco01,wilkide01
1998,10,28,LAK,NJD,Р,fisetst01,legacma01
1981,2,5,MTL,MNS,Р,herrode01,sevigri01
1981,2,5,MTL,MNS,Р,herrode01,sevigri01
1977,3,18,WAS,COR,Р,croziro01,lowro01
2002,1,10,BOS,LAK,Р,grahajo01,dafoeby01
1998,10,28,LAK,NJD,Р,fisetst01,legacma01
1987,1,9,WIN,HAR,Р,reddipo01,berthda01
2005,10,22,CAR,WAS,Р,gerbema01,wardca01
2011,12,6,VAN,COL,Р,luongro01,schneco01
1980,2,20,LAK,BOS,Р,lessama01,keansdo01
1972,12,29,TOR,PIT,Р,plantja01,lowro01
2007,12,12,OTT,CAR,Р,gerbema01,emeryra01
2009,12,1,TOR,MTL,Р,gustajo01,macdojo01
2001,10,27,DET,NAS,Р,hasekdo01,legacma01
1973,2,7,QUN,PHB,Р,aubryse01,broderi01
1929,3,14,TOR,NYA,Р,chabolo01,grantbe01
2005,12,2,SJS,BUF,Р,nabokev01,schaeno01
1998,4,7,SJS,CAL,Р,vernomi01,hrudeke01
1971,1,2,TOR,DET,Р,plantja01,gamblbr01
1999,4,8,TBL,BOS,Р,schwaco01,hodsoke01
2005,11,12,ATL,CAR,Р,dunhami01,berkhad01
2006,11,23,NAS,VAN,Р,vokouto01,masonch02
1971,3,24,TOR,CLF,Р,plantja01,parenbe01
1993,2,8,PIT,BOS,Р,wreggke01,barrato01
1983,4,3,WAS,NYR,Р,jenseal01,riggipa01
2001,3,12,SJS,MTL,Р,nabokev01,kiprumi01
2008,10,25,STL,FLO,Р,bishobe01,schwama01
1941,3,15,MTL,NYA,Р,bibeapa01,gardibe01
1955,3,22,MTL,BOS,Р,plantja01,hodgech01
1977,11,1,NYI,ATF,Р,smithbi01,hogosgo01
1999,1,9,PHI,CAR,Р,hextaro01,vanbijo01
1973,10,16,TOT,LAS,Р,binklle01,grattgi01
2011,2,2,PIT,NYI,Р,johnsbr02,fleurma01
2001,12,8,ANA,CAL,Р,shielst01,gigueje01
1996,12,3,TOR,STL,Р,cousima01,potvife01
2003,11,21,SJS,PHO,Р,nabokev01,toskave01
1998,4,4,NYI,NYR,Р,saloto01,flahewa01
1996,11,9,NJD,NYI,Р,brodema01,dunhami01
1997,12,31,TBL,NYR,Р,schwaco01,wilkide01
1997,10,18,DET,CAR,Р,osgooch01,hodsoke01
2012,4,14,STL,SJS,Р,halakja01,elliobr01
1985,1,8,EDM,QUE,Р,moogan01,fuhrgr01
2010,5,10,PHI,BOS,Р,bouchbr01,leighmi01
1987,1,23,PIT,VAN,Р,melocgi01,romanro01
2007,2,8,STL,DET,Р,legacma01,sanfocu01
1972,11,25,TOR,CLF,Р,plantja01,lowro01
2000,3,21,BOS,TBL,Р,grahajo01,tallaro01
2001,11,17,CAL,STL,Р,vernomi01,turekro01
1968,2,14,OAK,PHI,Р,smithga01,hodgech01
