playerid,year,stint,tmid,w,l,sa,ga
bryzgil01,2007,1,AND,0,1,3,1
denisma01,2007,1,TBL,1,0,3,0
auldal01,2006,1,FLO,0,3,8,6
priceca01,2007,1,MTL,3,2,22,4
vokouto01,2006,1,NAS,2,3,17,7
rolosdw01,2006,1,EDM,3,2,21,6
bryzgil01,2008,1,PHO,2,3,20,10
toivoha01,2006,1,BOS,1,1,8,3
poggeju01,2008,1,TOR,0,1,2,2
conklty01,2011,1,DET,1,0,3,0
gerbema01,2006,1,OTT,1,2,10,3
lundqhe01,2006,1,NYR,8,4,50,9
sauveph01,2005,1,CAL,1,0,3,0
legacma01,2005,1,DET,2,2,17,7
theodjo01,2007,1,COL,6,1,28,6
lehtoka01,2007,1,ATL,4,3,18,5
koskimi01,2010,1,NYI,1,0,4,0
auldal01,2011,1,OTT,0,1,4,3
rolosdw01,2009,1,NYI,5,5,39,15
leclapa01,2007,1,CBS,3,4,23,10
bernijo01,2011,1,LAK,0,1,2,2
morrimi01,2005,1,EDM,5,2,24,6
climima01,2008,1,DAL,1,0,3,2
vokouto01,2005,1,NAS,4,3,20,8
osgooch01,2005,1,DET,2,1,8,2
leighmi01,2009,2,PHI,1,0,2,0
rasktu01,2009,1,BOS,5,4,33,10
garonma01,2006,1,LAK,1,3,18,7
millery01,2010,1,BUF,2,1,8,4
thomati01,2008,1,BOS,4,4,28,9
gigueje01,2007,1,AND,6,5,30,10
rinnepe01,2008,1,NAS,5,2,24,5
niemian02,2011,1,SJS,8,4,40,9
luongro01,2007,1,VAN,6,8,54,15
tellqmi01,2008,1,PHO,1,0,8,1
grahajo01,2005,1,TBL,4,1,16,4
ersbeer01,2009,1,LAK,1,2,16,7
raycran01,2005,1,BOS,0,1,2,1
rolosdw01,2010,1,NYI,0,1,3,2
hillejo01,2010,1,AND,4,2,26,4
rasktu01,2011,1,BOS,2,2,14,6
enrotjh01,2011,1,BUF,2,3,22,8
lundqhe01,2008,1,NYR,9,4,40,10
budajpe01,2006,1,COL,3,4,27,11
leclapa01,2005,1,CBS,4,2,18,4
legacma01,2005,1,DET,2,2,17,7
