year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1970,NHL,PHI,4,0,4,0,8,20,57.0,,4.0,,1.0,7.0,,0.0
1927,NHL,NYR,9,5,3,1,16,12,152.0,,,,,,,
1964,NHL,TOR,6,2,4,0,14,17,136.0,,,,,,,
1975,WHA,PHR,5,2,3,0,13,17,,,,,,,,
1952,NHL,DET,6,2,4,0,21,21,50.0,,,,,,,
1998,NHL,OTT,4,0,4,0,6,12,46.0,0.0,3.0,27.0,0.0,4.0,18.0,0.0
1986,NHL,MTL,17,10,7,0,67,54,433.0,6.0,16.0,60.0,2.0,11.0,63.0,3.0
1982,NHL,WAS,4,1,3,0,11,19,98.0,0.0,1.0,24.0,0.0,3.0,18.0,0.0
1973,WHA,WIJ,4,0,4,0,9,23,,,,,,,,
1960,NHL,CHI,12,8,4,0,35,27,162.0,,,,,,,
1940,NHL,MTL,3,1,2,0,7,8,34.0,,,,,,,
1990,NHL,BOS,19,10,9,0,60,62,439.0,2.0,24.0,100.0,3.0,17.0,92.0,0.0
2006,NHL,BUF,16,9,7,0,44,39,162.0,0.0,11.0,88.0,1.0,14.0,75.0,0.0
2007,NHL,CAL,7,3,4,0,17,19,70.0,2.0,6.0,22.0,0.0,6.0,31.0,0.0
1933,NHL,CHI,8,6,1,1,19,12,51.0,,,,,,,
1923,WCHL,REG,2,0,1,1,2,4,,,,,,,,
1985,NHL,STL,19,10,9,0,64,70,579.0,0.0,13.0,91.0,3.0,26.0,96.0,3.0
1933,NHL,MTL,2,0,1,1,3,4,8.0,,,,,,,
1999,NHL,COL,17,11,6,0,43,32,178.0,2.0,15.0,86.0,1.0,12.0,68.0,1.0
1983,NHL,EDM,19,15,4,0,94,56,460.0,4.0,17.0,76.0,3.0,20.0,89.0,3.0
1990,NHL,WAS,11,5,6,0,29,35,328.0,2.0,8.0,50.0,0.0,9.0,59.0,1.0
1920,NHL,TRS,2,0,2,0,0,7,24.0,,,,,,,
