coachid,year,tmid,lgid,stint,notes,g,w,l,t,postg,postw,postl,postt
barbebi01c,2000,PHI,NHL,2,,54,31,16,7,6.0,2.0,4.0,0.0
barbebi01c,2001,PHI,NHL,1,,82,42,30,10,5.0,1.0,4.0,0.0
bathgan01c,1973,VAB,WHA,3,,59,21,37,1,,,,
carbogu01c,2006,MTL,NHL,1,,82,42,34,6,,,,
carbogu01c,2007,MTL,NHL,1,,82,47,25,10,12.0,5.0,7.0,0.0
carbogu01c,2008,MTL,NHL,1,,66,35,24,7,,,,
carlyra01c,2005,ANA,NHL,1,,82,43,27,12,16.0,9.0,7.0,0.0
carlyra01c,2006,AND,NHL,1,,82,48,20,14,21.0,16.0,5.0,0.0
carlyra01c,2007,AND,NHL,1,,82,47,27,8,6.0,2.0,4.0,0.0
carlyra01c,2008,AND,NHL,1,,82,42,33,7,13.0,7.0,6.0,0.0
carlyra01c,2009,AND,NHL,1,,82,39,32,11,,,,
carlyra01c,2010,AND,NHL,1,,82,47,30,5,6.0,2.0,4.0,0.0
carlyra01c,2011,AND,NHL,1,,24,7,13,4,,,,
carlyra01c,2011,TOR,NHL,2,,18,6,9,3,,,,
cashmwa01c,1997,PHI,NHL,1,,61,32,20,9,,,,
cheevge01c,1980,BOS,NHL,1,,80,37,30,13,3.0,0.0,3.0,0.0
cheevge01c,1981,BOS,NHL,1,,80,43,27,10,11.0,6.0,5.0,0.0
cheevge01c,1982,BOS,NHL,1,,80,50,20,10,17.0,9.0,8.0,0.0
cheevge01c,1983,BOS,NHL,1,,80,49,25,6,3.0,0.0,3.0,0.0
cheevge01c,1984,BOS,NHL,1,,56,25,24,7,,,,
croziro01c,1981,WAS,NHL,2,,1,0,1,0,,,,
delveal01c,1973,DET,NHL,2,,67,27,31,9,,,,
delveal01c,1974,DET,NHL,1,,80,23,45,12,,,,
delveal01c,1975,DET,NHL,2,,54,19,29,6,,,,
delveal01c,1976,DET,NHL,1,,44,13,26,5,,,,
esposph01c,1986,NYR,NHL,3,,43,24,19,0,6.0,2.0,4.0,0.0
esposph01c,1988,NYR,NHL,2,,2,0,2,0,4.0,0.0,4.0,0.0
ftorero01c,1987,LAK,NHL,3,,52,23,25,4,5.0,1.0,4.0,0.0
ftorero01c,1988,LAK,NHL,1,,80,42,31,7,11.0,4.0,7.0,0.0
ftorero01c,1998,NJD,NHL,1,,82,47,24,11,7.0,3.0,4.0,0.0
ftorero01c,1999,NJD,NHL,1,,74,41,25,8,,,,
ftorero01c,2001,BOS,NHL,1,,82,43,33,6,6.0,2.0,4.0,0.0
ftorero01c,2002,BOS,NHL,1,,73,33,32,8,,,,
gainebo01c,1990,MNS,NHL,1,,80,27,39,14,23.0,14.0,9.0,0.0
gainebo01c,1991,MNS,NHL,1,,80,32,42,6,7.0,3.0,4.0,0.0
gainebo01c,1992,MNS,NHL,1,,84,36,38,10,,,,
gainebo01c,1993,DAL,NHL,1,,84,42,29,13,9.0,5.0,4.0,0.0
gainebo01c,1994,DAL,NHL,1,,48,17,23,8,5.0,1.0,4.0,0.0
gainebo01c,1995,DAL,NHL,1,,39,11,19,9,,,,
gainebo01c,2005,MTL,NHL,2,,41,23,15,3,6.0,2.0,4.0,0.0
gainebo01c,2008,MTL,NHL,2,,16,6,6,4,4.0,0.0,4.0,0.0
gallage01c,2003,CBS,NHL,2,,45,16,25,4,,,,
gallage01c,2005,CBS,NHL,1,,82,35,43,4,,,,
gallage01c,2006,CBS,NHL,1,,15,5,9,1,,,,
gorinbu01c,1985,BOS,NHL,1,,80,37,31,12,3.0,0.0,3.0,0.0
gorinbu01c,1986,BOS,NHL,1,,13,5,7,1,,,,
gorinbu01c,1999,NYI,NHL,1,,82,24,49,9,,,,
gorinbu01c,2000,NYI,NHL,1,,65,17,43,5,,,,
goyetph01c,1972,NYI,NHL,1,,48,6,38,4,,,,
grahadi01c,1998,CHI,NHL,1,,59,16,35,8,,,,
granato01c,2002,COL,NHL,2,,51,32,15,4,7.0,3.0,4.0,0.0
granato01c,2003,COL,NHL,1,,82,40,29,13,11.0,6.0,5.0,0.0
granato01c,2008,COL,NHL,1,,82,32,45,5,,,,
greente01c,1991,EDM,NHL,1,,80,36,34,10,16.0,8.0,8.0,0.0
greente01c,1992,EDM,NHL,1,,84,26,50,8,,,,
greente01c,1993,EDM,NHL,1,,24,3,18,3,,,,
gretzwa01c,2005,PHO,NHL,1,,82,38,39,5,,,,
gretzwa01c,2006,PHO,NHL,1,,82,31,46,5,,,,
gretzwa01c,2007,PHO,NHL,1,,82,38,37,7,,,,
gretzwa01c,2008,PHO,NHL,1,,82,36,39,7,,,,
gretzwa01c,2009,PHO,NHL,1,,82,50,25,7,7.0,3.0,4.0,0.0
harrite01c,1975,MNS,NHL,1,,80,20,53,7,,,,
harrite01c,1976,MNS,NHL,1,,80,23,39,18,2.0,0.0,2.0,0.0
harrite01c,1977,MNS,NHL,1,,19,5,12,2,,,,
howelha01c,1973,NYJ,WHA,2,,58,26,30,2,,,,
howelha01c,1974,SDM,WHA,1,,78,43,31,4,10.0,4.0,6.0,0.0
abelsi01c,1952,CHI,NHL,1,,70,27,28,15,7.0,3.0,4.0,0.0
abelsi01c,1953,CHI,NHL,1,,70,12,51,7,,,,
abelsi01c,1957,DET,NHL,2,,33,16,12,5,4.0,0.0,4.0,0.0
abelsi01c,1958,DET,NHL,1,,70,25,37,8,,,,
abelsi01c,1959,DET,NHL,1,,70,26,29,15,6.0,2.0,4.0,0.0
abelsi01c,1960,DET,NHL,1,,70,25,29,16,11.0,6.0,5.0,0.0
abelsi01c,1961,DET,NHL,1,,70,23,33,14,,,,
abelsi01c,1962,DET,NHL,1,,70,32,25,13,11.0,5.0,6.0,0.0
abelsi01c,1963,DET,NHL,1,,70,30,29,11,14.0,7.0,7.0,0.0
abelsi01c,1964,DET,NHL,1,,70,40,23,7,7.0,3.0,4.0,0.0
abelsi01c,1965,DET,NHL,1,,70,31,27,12,12.0,6.0,6.0,0.0
abelsi01c,1966,DET,NHL,1,,70,27,39,4,,,,
abelsi01c,1967,DET,NHL,1,,74,27,35,12,,,,
abelsi01c,1969,DET,NHL,2,,74,38,21,15,4.0,0.0,4.0,0.0
abelsi01c,1971,STL,NHL,1,,10,3,6,1,,,,
abelsi01c,1975,KCS,NHL,2,,3,0,3,0,,,,
blaketo01c,1955,MTL,NHL,1,,70,45,15,10,10.0,8.0,2.0,0.0
blaketo01c,1956,MTL,NHL,1,,70,35,23,12,10.0,8.0,2.0,0.0
blaketo01c,1957,MTL,NHL,1,,70,43,17,10,10.0,8.0,2.0,0.0
blaketo01c,1958,MTL,NHL,1,,70,39,18,13,11.0,8.0,3.0,0.0
blaketo01c,1959,MTL,NHL,1,,70,40,18,12,8.0,8.0,0.0,0.0
blaketo01c,1960,MTL,NHL,1,,70,41,19,10,6.0,2.0,4.0,0.0
blaketo01c,1961,MTL,NHL,1,,70,42,14,14,6.0,2.0,4.0,0.0
blaketo01c,1962,MTL,NHL,1,,70,28,19,23,5.0,1.0,4.0,0.0
blaketo01c,1963,MTL,NHL,1,,70,36,21,13,7.0,3.0,4.0,0.0
blaketo01c,1964,MTL,NHL,1,,70,36,23,11,13.0,8.0,5.0,0.0
blaketo01c,1965,MTL,NHL,1,,70,41,21,8,10.0,8.0,2.0,0.0
blaketo01c,1966,MTL,NHL,1,,70,32,25,13,10.0,6.0,4.0,0.0
blaketo01c,1967,MTL,NHL,1,,74,42,22,10,13.0,12.0,1.0,0.0
bouchfr01c,1939,NYR,NHL,1,,48,27,11,10,12.0,8.0,4.0,0.0
bouchfr01c,1940,NYR,NHL,1,,48,21,19,8,3.0,1.0,2.0,0.0
bouchfr01c,1941,NYR,NHL,1,,48,29,17,2,6.0,2.0,4.0,0.0
bouchfr01c,1942,NYR,NHL,1,,50,11,31,8,,,,
