type,code,fullname
Воспроизведение,PRE,Проиграл предварительный раунд НХЛ
Воспроизведение,CQF,"Пропавшая конференция NHL, четверть финала"
Отдел,ХО,Отдел по делам женщин Канады
Воспроизведение,AVC,Выиграл Кубок АВКО
Воспроизведение,F,Проиграл финал Кубка Стэнли
Отдел,SM,Отдел Смайта
Круглая,CF,Заключительные документы Конференции
Воспроизведение,CF,Проигранные итоговые документы конференции NHL
Воспроизведение,SF,Потерянные полуфиналы NHL
Воспроизведение,ПК,Выиграл Кубок Стэнли
Круглая,Предварительно,Предварительные данные
Отдел,КА,Канадский отдел
Воспроизведение,DSF,Потерянные полуфиналы подкласса NHL
Отдел,НО,Северо-западный отдел
Круглая,DF,Окончательные результаты по разделу
Круглая,РВК,Финал Кубка Авто
Круглая,РГ,Западный плейофф
Отдел,WD,Западный отдел
Круглая,QF,Четверо-финал
Круглая,ПКФ,Финал Кубка Стэнли
Отдел,Ред.,Восточный отдел
Отдел,АТ,Атлантический отдел
Воспроизведение,АВПРА,Проиграл предварительный раунд Кубка АВКО
Воспроизведение,QF,Потерянный четвертьфинал NHL
Воспроизведение,НФЧМ,Проигранные финалы NHL
Воспроизведение,ВТС,Серия &lt; &lt; Вон вызов &gt; &gt;
Отдел,SE,Юго-восточный отдел
Воспроизведение,ЛСС,Вон Кубок Стэнли / Lost Challenge Series
Отдел,WW,WHA West Division
Отдел,СЕ,Центральный отдел
Воспроизведение,AVSF,Проиграл полуфинал Кубка АВКО
Воспроизведение,WSF,Потерянные полуфиналы WCHL
Воспроизведение,СФК,Пропавшие полуфиналы конференции NHL
Круглая,CQF,Квартира-финансы конференций
Воспроизведение,НКАФ,Проигранные финалы NHA
Отдел,ПК,Тихоокеанский отдел
Воспроизведение,ND,Финал Кубка Стэнли прекратился (эпидемия гриппа)
Круглая,F,Финал
Круглая,DSF,Полуфинал
Отдел,ЭВ,Восточная дивизия WHA
Воспроизведение,AVQF,Проиграл четвертьфинала Кубка АВКО
Зал,КК,Конференция &quot; Кэмпбелл &quot;
Воспроизведение,АВФ,Проиграл финал Кубка AVCO
Воспроизведение,СКФ,Проиграл полуфинал Кубка Стэнли
Зал,ВК,Западная конференция
Зал,ЕС,Восточная конференция
Воспроизведение,WF,Потерянные финалы WCHL
Отдел,АД,Отдел Адамса
Круглая,SF,Полуфинал
Отдел,Нет,Северо-восточный отдел
Круглая,СФК,Полуфинал Конференции
Отдел,PT,Отдел Патрика
Зал,WA,Конференция в Уэльсе
Отдел,Нет,Отдел Норриса
Отдел,АМ,Американский отдел
Воспроизведение,ПФ,Потерянные финалы PCHA
Воспроизведение,DF,Проигранные финалы по разделу NHL
Круглая,СКФ,Кубок Стэнли Полуфинал
