film_id,category_id,last_update
1,6,2006-02-15T04:07:09
19,1,2006-02-15T04:07:09
21,1,2006-02-15T04:07:09
29,1,2006-02-15T04:07:09
56,1,2006-02-15T04:07:09
67,1,2006-02-15T04:07:09
97,1,2006-02-15T04:07:09
105,1,2006-02-15T04:07:09
111,1,2006-02-15T04:07:09
115,1,2006-02-15T04:07:09
126,1,2006-02-15T04:07:09
130,1,2006-02-15T04:07:09
162,1,2006-02-15T04:07:09
194,1,2006-02-15T04:07:09
205,1,2006-02-15T04:07:09
210,1,2006-02-15T04:07:09
212,1,2006-02-15T04:07:09
229,1,2006-02-15T04:07:09
250,1,2006-02-15T04:07:09
252,1,2006-02-15T04:07:09
253,1,2006-02-15T04:07:09
271,1,2006-02-15T04:07:09
287,1,2006-02-15T04:07:09
292,1,2006-02-15T04:07:09
303,1,2006-02-15T04:07:09
327,1,2006-02-15T04:07:09
329,1,2006-02-15T04:07:09
360,1,2006-02-15T04:07:09
371,1,2006-02-15T04:07:09
375,1,2006-02-15T04:07:09
395,1,2006-02-15T04:07:09
417,1,2006-02-15T04:07:09
501,1,2006-02-15T04:07:09
511,1,2006-02-15T04:07:09
530,1,2006-02-15T04:07:09
542,1,2006-02-15T04:07:09
549,1,2006-02-15T04:07:09
574,1,2006-02-15T04:07:09
579,1,2006-02-15T04:07:09
586,1,2006-02-15T04:07:09
594,1,2006-02-15T04:07:09
659,1,2006-02-15T04:07:09
664,1,2006-02-15T04:07:09
697,1,2006-02-15T04:07:09
707,1,2006-02-15T04:07:09
717,1,2006-02-15T04:07:09
732,1,2006-02-15T04:07:09
748,1,2006-02-15T04:07:09
793,1,2006-02-15T04:07:09
794,1,2006-02-15T04:07:09
823,1,2006-02-15T04:07:09
825,1,2006-02-15T04:07:09
838,1,2006-02-15T04:07:09
850,1,2006-02-15T04:07:09
869,1,2006-02-15T04:07:09
911,1,2006-02-15T04:07:09
915,1,2006-02-15T04:07:09
927,1,2006-02-15T04:07:09
964,1,2006-02-15T04:07:09
968,1,2006-02-15T04:07:09
982,1,2006-02-15T04:07:09
991,1,2006-02-15T04:07:09
742,10,2006-02-15T04:07:09
651,2,2006-02-15T04:07:09
719,15,2006-02-15T04:07:09
580,13,2006-02-15T04:07:09
552,6,2006-02-15T04:07:09
27,15,2006-02-15T04:07:09
414,9,2006-02-15T04:07:09
445,4,2006-02-15T04:07:09
