year,lgid,tmid,oppid,w,l,t,otl
1980,NHL,STL,PIT,2,2,0.0,
1973,WHA,HOU,TOT,2,4,0.0,
2010,NHL,CAL,ATL,1,0,,0.0
1987,NHL,NYI,NYR,2,2,3.0,
2007,NHL,PHI,NYI,7,1,,0.0
2001,NHL,FLO,MIN,0,1,0.0,0.0
2000,NHL,BOS,MIN,0,1,0.0,0.0
2002,NHL,VAN,CHI,3,1,0.0,0.0
1973,NHL,STL,NYR,1,3,1.0,
1996,NHL,DAL,WAS,2,0,0.0,
2002,NHL,NAS,STL,1,2,1.0,1.0
1977,NHL,TOR,DET,2,1,2.0,
1991,NHL,PIT,CAL,2,1,0.0,
2006,NHL,VAN,DAL,2,1,,1.0
1995,NHL,NYR,SJS,2,0,0.0,
2007,NHL,CHI,NAS,5,1,,2.0
1992,NHL,WAS,STL,2,0,0.0,
1916,NHA,TBS,TOB,1,2,0.0,
1989,NHL,LAK,NYI,1,2,0.0,
1998,NHL,NAS,SJS,2,2,0.0,
1999,NHL,ANA,PHO,2,4,0.0,0.0
2006,NHL,PIT,WAS,4,0,,0.0
1989,NHL,NYI,NJD,1,4,2.0,
1948,NHL,TOR,MTL,4,6,2.0,
1997,NHL,DET,CAR,1,1,0.0,
1968,NHL,PIT,TOR,0,3,3.0,
1983,NHL,VAN,BOS,0,2,1.0,
2002,NHL,PHI,CAR,2,0,2.0,0.0
1987,NHL,MNS,STL,2,5,1.0,
2003,NHL,CHI,NYI,0,1,0.0,0.0
1981,NHL,QUE,WAS,2,0,1.0,
2000,NHL,CAR,LAK,0,2,0.0,0.0
1914,PCHA,PO1,VML,3,6,0.0,
1995,NHL,COL,DAL,2,1,1.0,
1999,NHL,BUF,ATL,2,1,1.0,0.0
1981,NHL,COR,MTL,0,2,1.0,
1986,NHL,NJD,CAL,1,2,0.0,
1989,NHL,EDM,CHI,1,2,0.0,
1975,NHL,PHI,MTL,2,1,1.0,
1984,NHL,PIT,CAL,2,0,1.0,
1978,NHL,TOR,STL,4,0,0.0,
2001,NHL,CBS,NJD,1,0,0.0,0.0
1984,NHL,WAS,MNS,2,0,1.0,
2005,NHL,NAS,STL,8,0,,0.0
1981,NHL,PHI,WAS,3,4,1.0,
2008,NHL,NYR,CAR,2,2,,0.0
1996,NHL,NJD,NYI,3,2,0.0,
1941,NHL,MTL,BKN,4,3,1.0,
1989,NHL,QUE,PIT,1,2,0.0,
1995,NHL,WAS,LAK,0,2,0.0,
1992,NHL,WAS,HAR,3,1,0.0,
2002,NHL,FLO,TOR,2,1,1.0,0.0
