year,lgid,tmid,franchid,confid,divid,rank,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,name,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
2005,NHL,NJD,NJD,EC,AT,1,CSF,82,46,27,,9.0,101,9.0,4.0,242,229,New Jersey Devils,948.0,10.0,78.0,441.0,6.0,63.0,349.0,3.0
2010,NHL,SJS,SJS,WC,PC,1,CF,82,48,25,,9.0,105,5.0,5.0,248,213,San Jose Sharks,931.0,10.0,68.0,289.0,7.0,56.0,274.0,6.0
1935,NHL,DET,DET,,AM,1,SC,48,24,16,8.0,,56,,,124,103,Detroit Red Wings,376.0,,,,,,,
2002,NHL,STL,STL,WC,CE,2,CQF,82,41,24,11.0,6.0,99,,,253,222,St. Louis Blues,1618.0,16.0,80.0,391.0,7.0,71.0,389.0,11.0
1948,NHL,BOS,BOS,,,2,SF,60,29,23,8.0,,66,,,178,163,Boston Bruins,434.0,,,,,,,
1926,NHL,CHI,CHI,,AM,3,QF,44,19,22,3.0,,41,,,115,116,Chicago Black Hawks,436.0,,,,,,,
2007,NHL,PHO,PHO,WC,PC,4,,82,38,37,,7.0,83,5.0,6.0,214,231,Phoenix Coyotes,1193.0,18.0,63.0,339.0,12.0,64.0,332.0,11.0
1993,NHL,FLO,FLO,EC,AT,5,,84,33,34,17.0,,83,,,233,233,Florida Panthers,1620.0,6.0,65.0,409.0,15.0,69.0,396.0,8.0
2005,NHL,COL,COL,WC,NW,2,CSF,82,43,30,,9.0,95,3.0,6.0,283,257,Colorado Avalanche,1178.0,26.0,89.0,473.0,12.0,69.0,448.0,11.0
1988,NHL,NJD,NJD,WA,PT,5,,80,27,41,12.0,,66,,,281,325,New Jersey Devils,2499.0,24.0,85.0,466.0,15.0,115.0,467.0,7.0
1999,NHL,ANA,ANA,WC,PC,5,,82,34,33,12.0,3.0,83,,,217,227,Mighty Ducks of Anaheim,926.0,8.0,55.0,332.0,8.0,62.0,296.0,4.0
1984,NHL,TOR,TOR,CC,NO,5,,80,20,52,8.0,,48,,,253,358,Toronto Maple Leafs,1627.0,10.0,69.0,352.0,12.0,83.0,324.0,16.0
1927,NHL,BOS,BOS,,AM,1,SF,44,20,13,11.0,,51,,,77,70,Boston Bruins,557.0,,,,,,,
