year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l,t,goalswinner,goalsloser,note
2000,CSF,I,NJD,NHL,TOR,NHL,4,3,0,21,18,
1988,DF,J,PHI,NHL,PIT,NHL,4,3,0,31,24,
1948,SF,B,TOR,NHL,BOS,NHL,4,1,0,16,10,
1970,QF,B,NYR,NHL,TOR,NHL,4,2,0,16,15,
1999,CQF,A,PHI,NHL,BUF,NHL,4,1,0,14,8,
1995,CQF,G,CHI,NHL,CAL,NHL,4,0,0,16,7,
1944,SCF,C,TOR,NHL,DET,NHL,4,3,0,9,9,
1994,CSF,I,PHI,NHL,NYR,NHL,4,0,0,18,10,
1985,DSF,B,MTL,NHL,BOS,NHL,3,0,0,10,6,
1933,SF,A,DET,NHL,TOR,NHL,3,2,0,11,12,
1989,DSF,E,CHI,NHL,MNS,NHL,4,3,0,21,18,
1968,SF,F,STL,NHL,LAK,NHL,4,0,0,16,5,
2005,CF,N,EDM,NHL,ANA,NHL,4,1,0,16,13,
2000,CQF,G,DAL,NHL,EDM,NHL,4,2,0,16,13,
1937,SCF,E,CHI,NHL,TOR,NHL,3,1,0,10,8,
1976,DF,,QUN,WHA,IND,WHA,4,1,0,25,14,
1985,DF,I,MTL,NHL,HAR,NHL,4,3,0,16,13,
1946,SF,B,TOR,NHL,DET,NHL,4,1,0,18,14,
1932,QF,B,DET,NHL,MTM,NHL,2,0,0,5,2,TG
1996,CSF,J,PHI,NHL,BUF,NHL,4,1,0,21,13,
1993,CQF,H,DAL,NHL,STL,NHL,4,0,0,16,10,
1974,QF,,MFS,WHA,NEW,WHA,4,2,0,28,17,
1923,SCSF,,MTL,NHL,VAM,PCHA,2,0,0,5,3,
1989,DSF,G,LAK,NHL,CAL,NHL,4,2,0,29,24,
2002,CF,N,ANA,NHL,MIN,NHL,4,0,0,9,1,
1985,DSF,D,WAS,NHL,NYI,NHL,3,0,0,11,4,
1978,QF,E,NYI,NHL,CHI,NHL,4,0,0,14,3,
1923,WP,,CAT,WCHL,VAM,PCHA,2,1,0,10,7,
1967,QF,B,CHI,NHL,NYR,NHL,4,2,0,18,12,
2003,SCF,O,TBL,NHL,CAL,NHL,4,3,0,13,14,
1938,SF,D,TOR,NHL,DET,NHL,2,1,0,10,8,
2008,SCF,O,PIT,NHL,DET,NHL,4,3,0,14,17,
1964,SCF,C,MTL,NHL,CHI,NHL,4,3,0,18,12,
1998,CQF,B,BUF,NHL,OTT,NHL,4,0,0,12,6,
2001,CQF,C,CAR,NHL,NJD,NHL,4,2,0,9,11,
2009,CSF,J,PHI,NHL,BOS,NHL,4,3,0,22,20,
1995,CQF,D,FLO,NHL,BOS,NHL,4,1,0,22,16,
2005,CSF,L,ANA,NHL,COL,NHL,4,0,0,16,4,
1995,SCF,O,COL,NHL,FLO,NHL,4,0,0,15,4,
1984,DSF,B,QUE,NHL,BUF,NHL,3,2,0,22,22,
1980,SF,N,MNS,NHL,CAL,NHL,4,2,0,25,18,
1976,DSF,,QUN,WHA,NEW,WHA,4,1,0,23,14,
2003,CSF,K,CAL,NHL,DET,NHL,4,2,0,11,12,
2009,CQF,F,CHI,NHL,NAS,NHL,4,2,0,17,15,
1934,SCF,E,MTM,NHL,TOR,NHL,3,0,0,10,4,
1961,SF,B,TOR,NHL,NYR,NHL,4,2,0,22,15,
1986,DF,J,PHI,NHL,NYI,NHL,4,3,0,23,16,
1983,SCF,O,EDM,NHL,NYI,NHL,4,1,0,21,12,
1981,CF,M,NYI,NHL,QUE,NHL,4,0,0,18,9,
1923,SCF,,MTL,NHL,CAT,WCHL,2,0,0,9,1,
1991,DSF,E,DET,NHL,MNS,NHL,4,3,0,23,19,
1917,F,,TOA,NHL,MTL,NHL,1,1,0,10,7,TG
1947,SF,A,TOR,NHL,BOS,NHL,4,1,0,20,13,
2007,SCF,O,DET,NHL,PIT,NHL,4,2,0,17,10,
1979,QF,J,BUF,NHL,CHI,NHL,4,0,0,16,7,
1992,DF,J,NYI,NHL,PIT,NHL,4,3,0,24,27,
1923,F,,MTL,NHL,OTS,NHL,2,0,0,5,2,TG
2007,CQF,A,MTL,NHL,BOS,NHL,4,3,0,19,15,
1986,CF,N,EDM,NHL,DET,NHL,4,1,0,16,10,
1979,QF,I,PHI,NHL,NYR,NHL,4,1,0,14,7,
