playerid,year,stint,tmid,s,g,gdg
ovechal01,2009,1,WAS,9,2,1
getzlry01,2008,1,AND,9,5,1
nilssro01,2005,1,NYI,2,1,1
gomezsc01,2005,1,NJD,3,2,1
sturmma01,2009,1,BOS,2,1,0
reinpst01,2009,1,FLO,13,3,0
filatni01,2010,1,CBS,2,1,0
getzlry01,2011,1,AND,1,5,0
clearda01,2006,1,DET,4,2,0
moulsma01,2009,1,NYI,7,4,2
samuemi01,2010,1,VAN,2,0,0
gaborma01,2006,1,MIN,2,0,0
lundmja01,2006,2,LAK,3,2,0
burroal01,2007,1,VAN,1,0,0
burroal01,2008,1,VAN,6,1,0
hedmavi01,2010,1,TBL,6,2,1
vyborda01,2007,1,CBS,3,0,0
barnama01,2005,1,CHI,2,1,0
nedvepe01,2006,1,PHI,2,0,0
boothda01,2010,1,FLO,5,1,0
legwada01,2009,1,NAS,9,4,2
duchema01,2009,1,COL,7,2,1
isbisbr01,2005,1,BOS,1,0,0
seminal01,2011,1,WAS,3,6,0
sullist01,2009,1,NAS,7,2,1
lupuljo01,2008,1,PHI,2,0,0
gaborma01,2005,1,MIN,6,0,0
raymoma01,2008,1,VAN,1,0,0
perrema01,2010,1,WAS,2,0,0
holmsto01,2009,1,DET,1,0,0
zidlima01,2006,1,NAS,1,0,0
eriksan01,2006,1,CBS,1,0,0
mitchjo02,2011,1,NYR,0,4,0
richabr02,2009,1,LAK,1,0,0
rucinma01,2005,1,NYR,2,0,0
clearda01,2010,1,DET,1,0,0
callary01,2009,1,NYR,1,0,0
brunean01,2008,1,MIN,1,0,0
gueribi01,2008,1,NYI,2,1,0
burroal01,2009,1,VAN,1,1,0
cammami01,2006,1,LAK,6,2,0
duchema01,2010,1,COL,6,0,0
niedesc01,2005,1,ANA,1,0,0
selante01,2006,1,AND,12,4,1
plihato01,2007,1,SJS,1,0,0
sykorpe01,2005,2,NYR,6,5,3
kostian01,2006,1,MTL,2,1,1
mcdonan01,2005,1,ANA,6,2,0
zubovse01,2006,1,DAL,12,5,2
murragl01,2006,1,BOS,4,0,0
daugaka01,2011,1,OTT,0,1,0
callary01,2011,1,NYR,2,4,2
staplti01,2008,1,TOR,1,1,1
kubinpa01,2007,1,TOR,1,0,0
boyleda01,2008,1,SJS,7,2,0
kostise01,2011,1,NAS,0,2,0
nashri01,2005,1,CBS,8,3,2
keslery01,2006,1,VAN,3,2,1
chriser01,2007,2,ATL,3,1,1
hagmani01,2006,1,DAL,1,0,0
giroual01,2010,1,EDM,1,0,0
coleer01,2005,1,CAR,3,1,1
clowery01,2007,1,SJS,1,0,0
greenmi03,2007,1,WAS,2,0,0
havlama01,2011,1,SJS,1,3,0
bourqre01,2010,1,CAL,12,5,3
