playerid,year,ppa,sha
manthmo01,1987,15,1
lemiejo01,1989,1,1
lawtobr01,1989,1,
grahadi01,1987,7,1
jonssto01,1988,24,
paslagr01,1990,3,1
erickbr01,1987,6,
carsoji01,1989,5,
butchga01,1990,3,2
frasecu01,1987,2,
hunteda01,1988,,1
huntema01,1990,4,
momesse01,1990,1,
ciccadi01,1988,10,1
frycemi01,1988,3,
brownro01,1990,10,
quinnda01,1990,18,
poulida02,1989,1,1
zezelpe01,1990,5,1
cullejo01,1990,29,
cunnera01,1989,4,
iafraal01,1990,11,1
linseke01,1989,8,
kurveto01,1990,15,
ruotsre01,1989,9,
macivno01,1988,19,
maclebr01,1988,8,
stastpe01,1989,23,
mckegto01,1990,7,
loisecl01,1990,1,1
laughcr01,1987,3,
halwado01,1988,1,
wilsoca01,1987,9,3
sandsto01,1989,20,
gartnmi01,1988,9,
skrikpe01,1990,5,
dahlqch01,1990,,1
deblolu01,1990,,1
donnemi01,1987,2,
vaiveri01,1988,15,
kennede01,1988,,2
rousebo01,1988,,1
goulemi01,1989,15,1
broteaa01,1990,1,
mcintjo01,1990,,2
pavesji01,1987,1,
tantito01,1990,5,
krushmi01,1990,3,
cyrpa01,1987,1,
hullbr01,1987,10,
ramagro01,1987,19,2
brookbo01,1989,1,2
duguaro01,1987,2,
ysebapa01,1990,4,1
hardyma01,1988,5,
franclo01,1990,1,1
charbjo01,1988,1,
makelmi01,1989,1,
hunteda01,1987,1,4
