type,code,fullname
Playoffs,DF,Lost NHL division finals
Playoffs,AVSF,Lost AVCO Cup semi-finals
Playoffs,NHAF,Lost NHA finals
Playoffs,CQF,Lost NHL conference quarter-finals
Playoffs,WSF,Lost WCHL semi-finals
Round,SCSF,Stanley Cup Semi-Finals
Round,WP,Western Playoff
Division,CW,WHA Canadian Division
Conference,CC,Campbell Conference
Division,ED,East Division
Division,WD,West Division
Division,WW,WHA West Division
Round,Pre,Preliminary
Playoffs,AVF,Lost AVCO Cup finals
Division,PT,Patrick Division
Division,SM,Smythe Division
Conference,EC,Eastern Conference
Conference,WA,Wales Conference
Playoffs,AVQF,Lost AVCO Cup quarter-finals
Playoffs,SCSF,Lost Stanley Cup semi-finals
Playoffs,SC,Won Stanley Cup
Round,SCF,Stanley Cup Finals
Division,NE,Northeast Division
Round,DSF,Division Semi-Finals
Playoffs,PF,Lost PCHA finals
Division,CA,Canadian Division
Playoffs,LCS,Won Stanley Cup / Lost Challenge Series
Round,CF,Conference Finals
Playoffs,DSF,Lost NHL division semi-finals
Round,CSF,Conference Semi-Finals
Round,SF,Semi-Finals
Division,CE,Central Division
Playoffs,WCS,Won Challenge Series
Playoffs,WF,Lost WCHL finals
Playoffs,QF,Lost NHL quarter-finals
Division,NO,Norris Division
Round,CQF,Conference Quarter-Finals
Division,AM,American Division
Playoffs,F,Lost Stanley Cup finals
Playoffs,AVC,Won AVCO Cup
Round,QF,Quarter-Finals
Division,AT,Atlantic Division
Playoffs,AVPRE,Lost AVCO Cup preliminary round
Playoffs,ND,ND - Stanley Cup finals halted (influenza epidemic)
Division,NW,Northwest Division
Playoffs,SF,Lost NHL semi-finals
Conference,WC,Western Conference
Division,AD,Adams Division
Round,DF,Division Finals
Playoffs,CF,Lost NHL conference finals
Playoffs,PRE,Lost NHL preliminary round
Playoffs,CSF,Lost NHL conference semi-finals
Division,EW,WHA East Division
Division,SE,Southeast Division
