playerid,year,stint,tmid,w,l,sa,ga
elliobr01,2010,1,OTT,0,4,8,6
toskave01,2006,1,SJS,0,1,3,3
holtbbr01,2011,1,WAS,0,1,4,2
weekeke01,2006,1,NYR,0,1,3,1
ellisda01,2009,1,NAS,2,1,10,2
brodema01,2007,1,NJD,8,4,43,11
khabini01,2009,1,EDM,2,2,12,4
smithmi02,2011,1,PHO,6,8,46,15
lalimpa01,2008,1,BUF,0,3,10,4
millery01,2005,1,BUF,3,2,17,5
toskave01,2005,1,SJS,0,3,12,5
garonma01,2008,1,EDM,1,0,3,1
hardijo01,2011,1,MIN,5,3,23,5
sabouda01,2008,1,PIT,3,2,19,5
gigueje01,2005,1,ANA,3,7,31,12
kiprumi01,2011,1,CAL,3,8,40,15
cloutda01,2005,1,VAN,0,1,2,2
norrefr01,2007,1,CBS,0,4,10,4
turcoma01,2008,1,DAL,5,6,43,16
andercr01,2005,1,CHI,0,3,7,5
bryzgil01,2008,1,PHO,2,3,20,10
sanfocu01,2006,1,STL,0,2,6,5
kiprumi01,2005,1,CAL,1,7,23,12
auldal01,2007,2,BOS,2,3,15,5
danisya01,2009,1,NJD,0,1,3,3
gigueje01,2008,1,AND,2,2,12,4
theodjo01,2011,1,FLO,4,7,37,14
rolosdw01,2005,1,MIN,0,1,8,2
scrivbe01,2011,1,TOR,1,1,5,2
fernama01,2007,1,BOS,1,0,3,0
ramoka01,2007,1,TBL,0,1,2,2
hasekdo01,2005,1,OTT,2,4,16,6
smithmi02,2008,1,TBL,2,7,27,15
wardca01,2005,1,CAR,1,0,3,0
bryzgil01,2010,1,PHO,4,5,32,11
mcelhcu01,2009,1,CAL,1,0,4,2
labarja01,2010,1,PHO,1,1,5,2
bryzgil01,2011,1,PHI,3,5,25,13
millery01,2007,1,BUF,4,7,33,14
lundqhe01,2005,1,NYR,4,3,37,9
auldal01,2006,1,FLO,0,3,8,6
smithmi02,2009,1,TBL,1,3,14,5
hedbejo01,2010,1,NJD,2,1,11,3
wardca01,2010,1,CAR,5,4,25,6
theodjo01,2010,1,MIN,2,1,15,7
mcelhcu01,2009,2,AND,1,2,8,4
bryzgil01,2006,1,AND,0,4,13,6
leclapa01,2009,1,OTT,3,1,10,5
