year,hofid,name,category
1958,turnell01h,Lloyd Turner,Builder
1958,moranpa01h,Paddy Moran,Player
1992,johnsbo02h,Bob Johnson,Builder
1985,ratelje01h,Jean Ratelle,Player
1945,phillto01h,Tommy Phillips,Player
1979,richahe01h,Henri Richard,Player
1993,pagefr01h,Fred Page,Builder
1962,humefr01h,Fred Hume,Builder
1965,howesy01h,Syd Howe,Player
1996,salmibo01h,Borje Salming,Player
1971,wirtzar01h,Arthur Wirtz,Builder
1958,duttore01h,Red Dutton,Player
1962,noblere01h,Reg Noble,Player
1958,pickaal01h,Allan Pickard,Builder
1959,thompti01h,Tiny Thompson,Player
1961,stuarbr02h,Bruce Stuart,Player
1963,mclaufr01h,Frederic McLaughlin,Builder
1980,patrily01h,Lynn Patrick,Player
1961,schmimi01h,Milt Schmidt,Player
1984,milfoja01h,Jake Milford,Builder
1966,prattba01h,Babe Pratt,Player
1962,greensh01h,Shorty Green,Player
1990,barbebi01h,Bill Barber,Player
1986,savarse01h,Serge Savard,Player
1961,appssy01h,Syl Apps,Player
2007,gregoji01h,Jim Gregory,Builder
1989,lewishe01h,Herbie Lewis,Player
1958,keatsdu01h,Duke Keats,Player
1947,caldefr01h,Frank Calder,Builder
2002,langwro01h,Rod Langway,Player
