year,lgid,tmid,hw,hl,ht,hotl,rw,rl,rt,rotl,sepw,sepl,sept,sepol,octw,octl,octt,octol,novw,novl,novt,novol,decw,decl,dect,decol,janw,janl,jant,janol,febw,febl,febt,febol,marw,marl,mart,marol,aprw,aprl,aprt,aprol
1978,NHL,PIT,23,12,5.0,,13,19,8.0,,,,,,1.0,6.0,2.0,,5.0,7.0,1.0,,9,2,4.0,,5,7,1.0,,6,3,1.0,,8.0,4.0,4.0,,2.0,2.0,0.0,
1945,NHL,NYR,8,12,5.0,,5,16,4.0,,,,,,0.0,1.0,0.0,,3.0,8.0,1.0,,2,6,2.0,,3,6,1.0,,2,4,5.0,,3.0,3.0,0.0,,,,,
1988,NHL,HAR,21,17,2.0,,16,21,3.0,,,,,,5.0,5.0,0.0,,4.0,8.0,1.0,,6,7,2.0,,6,6,1.0,,7,5,0.0,,8.0,6.0,1.0,,1.0,1.0,0.0,
1985,NHL,MTL,25,11,4.0,,15,22,3.0,,,,,,4.0,6.0,0.0,,7.0,3.0,3.0,,8,3,1.0,,10,5,1.0,,5,6,1.0,,4.0,9.0,1.0,,2.0,1.0,0.0,
1987,NHL,HAR,21,14,5.0,,14,24,2.0,,,,,,4.0,5.0,1.0,,4.0,5.0,3.0,,6,6,2.0,,8,6,1.0,,4,8,0.0,,8.0,7.0,0.0,,1.0,1.0,0.0,
1976,NHL,COR,12,20,8.0,,8,26,6.0,,,,,,3.0,8.0,1.0,,3.0,7.0,2.0,,3,7,3.0,,5,6,3.0,,5,6,1.0,,0.0,11.0,4.0,,1.0,1.0,0.0,
1927,NHL,MTM,12,6,4.0,,12,8,2.0,,,,,,,,,,3.0,2.0,1.0,,4,5,1.0,,5,2,1.0,,5,3,3.0,,7.0,2.0,0.0,,,,,
1993,NHL,EDM,17,22,3.0,,8,23,11.0,,,,,,2.0,10.0,1.0,,2.0,9.0,2.0,,7,5,2.0,,2,7,3.0,,4,7,2.0,,5.0,5.0,2.0,,3.0,2.0,2.0,
2001,NHL,NAS,17,16,8.0,0.0,11,25,5.0,0.0,,,,,4.0,7.0,2.0,0.0,5.0,6.0,1.0,0.0,5,4,3.0,0.0,6,8,3.0,0.0,4,1,1.0,0.0,2.0,10.0,3.0,0.0,2.0,5.0,0.0,0.0
1984,NHL,NJD,13,21,6.0,,9,27,4.0,,,,,,3.0,6.0,0.0,,4.0,6.0,2.0,,5,8,2.0,,3,9,1.0,,3,6,3.0,,4.0,10.0,1.0,,0.0,3.0,1.0,
