playerid,year,tmid,lgid,pos,gp,g,a,pts,pim
rileyji01,1919,SEA,PCHA,L,5,0,1,1,0
meekiha01,1924,VIC,WCHL,L,4,0,1,1,2
simpsjo01,1922,EDE,WCHL,D,2,0,1,1,0
crawfru01,1912,QU1,NHA,R,3,3,0,3,19
foystfr01,1918,SEA,PCHA,L,5,9,1,10,0
walkeja01,1918,SEA,PCHA,C,5,3,0,3,9
cleghsp01,1920,OTS,NHL,D,5,1,2,3,0
dinsmch01,1925,MTM,NHL,F,4,0,0,0,2
duncaar01,1922,VAM,PCHA,D,4,2,2,4,0
haldeha01,1924,VIC,WCHL,R,4,2,1,3,8
mackami01,1914,VML,PCHA,L,3,4,2,6,6
andrell01,1921,TRS,NHL,F,5,2,0,2,3
barboal01,1915,PO1,PCHA,C,5,0,0,0,0
halljo01,1912,QU1,NHA,D,3,0,0,0,7
morribe01,1916,SEA,PCHA,R,4,14,2,16,0
camerha01,1913,TBS,NHA,D,2,1,0,1,4
cleghod01,1918,MTL,NHL,C,5,2,0,2,9
stewane01,1925,MTM,NHL,C,4,6,1,7,14
foystfr01,1913,TBS,NHA,C,3,2,0,2,3
moranpa01,1912,QU1,NHA,G,3,0,0,0,0
helmaha01,1922,OTS,NHL,D,2,0,0,0,0
berlilo01,1915,MOC,NHA,L,2,0,0,0,0
denneco01,1921,TRS,NHL,L/C,5,3,2,5,2
vezinge01,1916,MOC,NHA,G,4,0,0,0,0
skinnal01,1920,VML,PCHA,R,3,4,0,4,14
