territoryid,territorydescription,regionid
14450,Fairport                                          ,1
48075,Southfield                                        ,3
90405,Santa Monica                                      ,2
27403,Greensboro                                        ,1
94025,Menlo Park                                        ,2
95060,Santa Cruz                                        ,2
45839,Findlay                                           ,3
80909,Colorado Springs                                  ,2
3049,Hollis                                            ,3
80202,Denver                                            ,2
48304,Bloomfield Hills                                  ,3
19713,Neward                                            ,1
85014,Phoenix                                           ,2
94105,San Francisco                                     ,2
2903,Providence                                        ,1
98052,Redmond                                           ,2
6897,Wilton                                            ,1
60179,Hoffman Estates                                   ,2
2184,Braintree                                         ,1
29202,Columbia                                          ,4
75234,Dallas                                            ,4
11747,Mellvile                                          ,1
53404,Racine                                            ,3
55113,Roseville                                         ,3
2116,Boston                                            ,1
98004,Bellevue                                          ,2
40222,Louisville                                        ,1
44122,Beachwood                                         ,3
7960,Morristown                                        ,1
20852,Rockville                                         ,1
2139,Cambridge                                         ,1
1833,Georgetow                                         ,1
32859,Orlando                                           ,4
10019,New York                                          ,1
10038,New York                                          ,1
33607,Tampa                                             ,4
72716,Bentonville                                       ,4
60601,Chicago                                           ,2
27511,Cary                                              ,1
85251,Scottsdale                                        ,2
98104,Seattle                                           ,2
30346,Atlanta                                           ,4
31406,Savannah                                          ,4
1730,Bedford                                           ,1
1581,Westboro                                          ,1
8837,Edison                                            ,1
19428,Philadelphia                                      ,3
78759,Austin                                            ,4
48084,Troy                                              ,3
55439,Minneapolis                                       ,3
3801,Portsmouth                                        ,3
95008,Campbell                                          ,2
95054,Santa Clara                                       ,2
