orderid,productid,unitprice,quantity,discount
10960,24,4.5,10,0.0
11072,50,16.25,22,0.0
11075,76,18.0,2,0.0
10406,36,15.2,5,0.0
10537,73,15.0,9,0.0
10789,63,43.9,30,0.0
10757,62,49.3,30,0.0
10546,7,30.0,10,0.0
10335,51,42.4,48,0.0
10426,64,26.6,7,0.0
10368,28,36.4,13,0.0
10916,57,19.5,20,0.0
10280,24,3.6,12,0.0
10338,30,20.7,15,0.0
10419,69,28.8,20,0.0
11077,77,13.0,2,0.0
11030,5,21.35,70,0.0
10675,53,32.8,10,0.0
10307,68,10.0,3,0.0
10880,70,15.0,50,0.0
10345,8,32.0,70,0.0
11047,5,21.35,30,0.0
10737,13,6.0,4,0.0
10485,2,15.2,20,0.0
10977,63,43.9,20,0.0
10819,43,46.0,7,0.0
10999,77,13.0,21,0.0
10839,58,13.25,30,0.0
10836,64,33.25,30,0.0
10954,45,9.5,30,0.0
10304,71,17.2,2,0.0
10979,24,4.5,80,0.0
10283,72,27.8,3,0.0
10821,35,18.0,20,0.0
10711,53,32.8,120,0.0
11025,13,6.0,20,0.0
11065,30,25.89,4,0.0
10714,2,19.0,30,0.0
11050,76,18.0,50,0.0
10458,56,30.4,15,0.0
10325,14,18.6,9,0.0
10315,70,12.0,30,0.0
10464,60,27.2,20,0.0
10638,65,21.05,21,0.0
10846,70,15.0,30,0.0
10260,57,15.6,50,0.0
11049,2,19.0,10,0.0
10292,20,64.8,20,0.0
10339,17,31.2,70,0.0
10931,57,19.5,30,0.0
10337,37,20.8,28,0.0
11029,56,38.0,20,0.0
10776,45,9.5,27,0.0
10277,28,36.4,20,0.0
10910,49,20.0,10,0.0
11004,76,18.0,6,0.0
10981,38,263.5,60,0.0
10923,42,14.0,10,0.0
10347,75,6.2,6,0.0
11003,1,18.0,4,0.0
10722,31,12.5,50,0.0
10440,61,22.8,90,0.0
10641,2,19.0,50,0.0
10947,59,55.0,4,0.0
10857,3,10.0,30,0.0
11011,58,13.25,40,0.0
10828,38,263.5,2,0.0
10594,58,13.25,30,0.0
10394,62,39.4,10,0.0
10803,25,14.0,15,0.0
10851,57,19.5,10,0.0
10784,36,19.0,30,0.0
10548,41,9.65,14,0.0
10898,13,6.0,5,0.0
10439,74,8.0,30,0.0
10951,75,7.75,50,0.0
10319,28,36.4,14,0.0
10885,70,15.0,30,0.0
11018,56,38.0,5,0.0
10913,4,22.0,30,0.0
10392,69,28.8,50,0.0
10832,64,33.25,3,0.0
10356,69,28.8,20,0.0
10865,38,263.5,60,0.0
10476,55,19.2,2,0.0
10303,65,16.8,30,0.0
10861,33,2.5,35,0.0
10335,2,15.2,7,0.0
10752,1,18.0,8,0.0
10703,59,55.0,35,0.0
10799,59,55.0,25,0.0
10729,1,18.0,50,0.0
11070,16,17.45,30,0.0
10380,30,20.7,18,0.0
10944,56,38.0,18,0.0
10841,77,13.0,15,0.0
10476,70,12.0,12,0.0
10983,57,19.5,15,0.0
10474,14,18.6,12,0.0
10605,59,55.0,20,0.0
10371,36,15.2,6,0.0
10497,77,10.4,25,0.0
10286,35,14.4,100,0.0
10360,54,5.9,28,0.0
10517,52,7.0,6,0.0
10553,16,17.45,14,0.0
10377,39,14.4,20,0.0
10530,43,46.0,25,0.0
10400,49,16.0,30,0.0
11046,32,32.0,15,0.0
10337,36,15.2,20,0.0
10535,59,55.0,15,0.0
10997,46,12.0,20,0.0
10541,24,4.5,35,0.0
10856,42,14.0,20,0.0
10884,21,10.0,40,0.0
