yearid,round,playerid,teamid,lgid,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
1957,WS,covinwe01,ML1,NL,7,24,1,5,1,0,0,1,1,0.0,2,6,0.0,0.0,2.0,0.0,1.0
1969,WS,robinbr01,BAL,AL,5,19,0,1,0,0,0,2,0,0.0,0,3,0.0,0.0,0.0,1.0,0.0
1983,NLCS,dennyjo01,PHI,NL,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.0,0.0,0.0
1997,WS,jacksmi02,CLE,AL,3,2,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1992,WS,blausje01,ATL,NL,6,24,2,6,0,0,0,0,2,1.0,1,9,0.0,0.0,0.0,0.0,0.0
1976,ALCS,stanlfr01,NYA,AL,5,15,1,5,2,0,0,0,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0
1922,WS,smithel02,NYA,AL,2,2,0,0,0,0,0,0,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0
1963,WS,daviswi02,LAN,NL,4,12,2,2,2,0,0,3,0,0.0,0,6,0.0,0.0,2.0,1.0,0.0
1979,NLCS,garneph01,PIT,NL,3,12,4,5,0,1,1,1,0,0.0,1,0,1.0,0.0,0.0,0.0,0.0
1930,WS,quinnja01,PHA,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1986,ALCS,grichbo01,CAL,AL,6,24,1,5,0,0,1,3,0,0.0,0,8,0.0,2.0,0.0,0.0,0.0
2001,ALDS1,lampkto01,SEA,AL,2,2,0,0,0,0,0,0,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0
1932,WS,ruffire01,NYA,AL,2,4,0,0,0,0,0,0,0,0.0,1,1,1.0,0.0,0.0,0.0,0.0
1903,WS,stahlch01,BOS,AL,8,33,6,10,1,3,0,3,2,1.0,1,2,0.0,0.0,0.0,0.0,0.0
1973,WS,kubiate01,OAK,AL,4,3,1,0,0,0,0,0,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
1999,ALDS1,sexsori01,CLE,AL,3,6,1,1,0,0,0,1,0,0.0,1,3,0.0,0.0,0.0,0.0,0.0
1995,NLDS2,valdeis01,LAN,NL,1,3,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1940,WS,gehrich01,DET,AL,7,28,3,6,0,0,0,1,0,0.0,2,0,0.0,0.0,0.0,0.0,3.0
1972,NLCS,stennre01,PIT,NL,5,21,2,6,0,0,0,1,0,1.0,1,0,0.0,0.0,0.0,0.0,0.0
2008,NLDS2,jenkige01,PHI,NL,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2004,NLDS2,hamptmi01,ATL,NL,2,2,0,1,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
2009,NLDS2,felizpe01,PHI,NL,4,14,0,3,1,0,0,0,0,0.0,1,3,0.0,0.0,0.0,0.0,1.0
1909,WS,wilsoch01,PIT,NL,7,26,2,4,1,0,0,1,1,1.0,0,2,0.0,0.0,2.0,0.0,0.0
