managerid,yearid,teamid,lgid,inseason,g,w,l,rank,plyrmgr
griffcl01m,1902,CHA,AL,1,138,74,60,4.0,Y
clarkfr01m,1909,PIT,NL,1,154,110,42,1.0,Y
burnsto01m,1899,CHN,NL,1,152,75,73,8.0,N
robinfr02m,1982,SFN,NL,1,162,87,75,3.0,N
myattge01m,1968,PHI,NL,2,1,1,0,7.0,N
mccarjo99m,1942,NYA,AL,1,154,103,51,1.0,N
cochrmi01m,1936,DET,AL,3,67,36,31,2.0,Y
bolesjo99m,1996,FLO,NL,3,75,40,35,3.0,N
johnswa01m,1935,CLE,AL,1,96,46,48,3.0,N
bushdo01m,1931,CHA,AL,1,156,56,97,8.0,N
powerpa99m,1890,RC2,AA,1,133,63,63,5.0,N
cochrmi01m,1938,DET,AL,1,98,47,51,4.0,N
willite01m,1970,WS2,AL,1,162,70,92,6.0,N
guilloz01m,2007,CHA,AL,1,162,72,90,4.0,N
moorete01m,1954,PHI,NL,2,77,35,42,4.0,N
murtada01m,1961,PIT,NL,1,154,75,79,6.0,N
rodgebu01m,1994,CAL,AL,1,40,16,24,4.0,N
richapa01m,1952,CHA,AL,1,156,81,73,3.0,N
fuchsju99m,1929,BSN,NL,1,154,56,98,8.0,N
weaveea99m,1981,BAL,AL,1,105,59,46,2.0,N
wilbede01m,1973,TEX,AL,2,1,1,0,6.0,N
quilifr01m,1974,MIN,AL,1,163,82,80,3.0,N
bakerdu01m,2010,CIN,NL,1,162,91,71,1.0,N
cobbty01m,1926,DET,AL,1,157,79,75,6.0,Y
colliji01m,1905,BOS,AL,1,153,78,74,4.0,Y
gastoci01m,2008,TOR,AL,2,88,51,37,4.0,N
schalra01m,1927,CHA,AL,1,153,70,83,5.0,Y
reganph01m,1995,BAL,AL,1,144,71,73,3.0,N
durocle01m,1969,CHN,NL,1,163,92,70,2.0,N
gardero01m,2010,MIN,AL,1,162,94,68,1.0,N
prothdo01m,1939,PHI,NL,1,152,45,106,8.0,N
houkra01m,1976,DET,AL,1,161,74,87,5.0,N
jennihu01m,1916,DET,AL,1,155,87,67,3.0,N
mccarjo99m,1943,NYA,AL,1,155,98,56,1.0,N
washiro01m,2012,TEX,AL,1,162,93,69,2.0,N
lajoina01m,1909,CLE,AL,1,114,57,57,6.0,Y
burnsto01m,1898,CHN,NL,1,152,85,65,4.0,N
bluegos01m,1943,WS1,AL,1,153,84,69,2.0,N
richapa01m,1961,BAL,AL,1,136,78,57,3.0,N
altobjo01m,1991,CHN,NL,2,1,0,1,4.0,N
hanlone01m,1891,PIT,NL,1,78,31,47,8.0,Y
mcaleji01m,1908,SLA,AL,1,155,83,69,4.0,N
mcnamjo99m,1984,CAL,AL,1,162,81,81,2.0,N
mcbridi01m,1875,PH1,,1,69,49,18,2.0,Y
craigro01m,1991,SFN,NL,1,162,75,87,4.0,N
