yearid,teamid,lgid,playerid,g_all,g_batting,g_defense,g_p,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr
1881,BSN,NL,wrighge01,7,,7,7,0,0,0,0,0,7,0,0,0,0,,
1961,LAA,AL,huntke01,149,,149,149,0,0,0,1,0,0,8,108,23,134,,
1930,WS1,AL,fischca01,8,,8,8,8,0,0,0,0,0,0,0,0,0,,
1980,OAK,AL,reverda01,106,92.0,106,95,0,0,95,0,0,0,0,0,0,0,4.0,14.0
1924,PHI,NL,couchjo01,37,,37,37,37,0,0,0,0,0,0,0,0,0,,
1938,CHA,AL,martijo03,1,,1,1,0,0,0,0,0,0,0,0,0,0,,
1986,SFN,NL,youngjo02,97,28.0,97,55,0,0,7,4,5,1,29,0,17,45,0.0,62.0
1997,CLE,AL,jacomja01,21,0.0,1,21,21,0,0,0,0,0,0,0,0,0,0.0,0.0
2000,NYN,NL,agbaybe01,119,94.0,119,110,0,0,0,0,0,0,102,3,12,110,0.0,20.0
1995,ATL,NL,wadete01,3,0.0,3,3,3,0,0,0,0,0,0,0,0,0,0.0,0.0
1905,SLN,NL,eganwi01,23,,23,23,23,0,0,0,0,0,0,0,0,0,,
1909,WS1,AL,tanneje01,16,,16,16,3,0,0,0,0,0,0,0,9,9,,
2004,COL,NL,hollima01,121,109.0,121,115,0,0,0,0,0,0,115,0,0,115,0.0,10.0
1935,CLE,AL,haleod01,150,,150,150,0,0,0,1,149,0,0,0,0,0,,
1995,SLN,NL,leema02,1,1.0,1,1,0,0,0,1,0,0,0,0,0,0,0.0,0.0
1928,BRO,NL,careyma01,108,,108,108,0,0,0,0,0,0,1,75,35,95,,
1996,LAN,NL,parkch01,48,10.0,48,48,48,0,0,0,0,0,0,0,0,0,0.0,0.0
2004,DET,AL,cornena01,5,0.0,0,5,5,0,0,0,0,0,0,0,0,0,0.0,0.0
1970,HOU,NL,blasiwa01,13,,13,13,13,0,0,0,0,0,0,0,0,0,,
1997,BAL,AL,mathete01,57,0.0,4,57,57,0,0,0,0,0,0,0,0,0,0.0,0.0
1956,SLN,NL,delgrbo01,102,,102,102,0,0,0,0,0,0,0,99,0,99,,
1981,OAK,AL,minetcr01,8,0.0,0,8,8,0,0,0,0,0,0,0,0,0,0.0,0.0
1928,CIN,NL,maysca01,14,,14,14,14,0,0,0,0,0,0,0,0,0,,
1899,WSN,NL,staffge01,31,,31,31,0,0,0,17,2,13,0,0,0,0,,
1946,WS1,AL,wolffro01,21,,21,21,21,0,0,0,0,0,0,0,0,0,,
2006,PIT,NL,maholpa01,30,28.0,28,30,30,0,0,0,0,0,0,0,0,0,0.0,0.0
1891,BRO,NL,obrieda01,103,,103,103,0,0,0,0,0,0,103,0,0,103,,
1977,CLE,AL,thornan01,131,120.0,131,117,0,0,117,0,0,0,0,0,0,0,6.0,7.0
1962,PIT,NL,gossho01,89,,89,89,0,0,0,0,0,0,47,18,6,66,,
1898,BRO,NL,millera01,24,,24,24,23,0,0,0,0,0,1,0,0,1,,
2006,MIN,AL,radkebr01,28,1.0,1,28,28,0,0,0,0,0,0,0,0,0,0.0,0.0
1999,ANA,AL,willire02,30,15.0,30,24,0,0,0,0,0,0,4,3,18,24,0.0,5.0
2006,BAL,AL,ortizru01,20,1.0,1,20,20,0,0,0,0,0,0,0,0,0,0.0,0.0
