corp_no,corp_name,street,city,state_prov,country,mail_code,phone_no,expr_dt,region_no,corp_code
1,Корп. Апекс Кей Стоунс Инк., , ,,,,,12.10.2004 10:41,3,
4,Корп. Апекс Нидлворк Инк., , ,,,,,12.10.2004 10:41,6,
5,Корп. Апекс Опер инк., , ,,,,,12.10.2004 10:41,3,
8,Corp. Апекс Ресторантс Инк., , ,,,,,12.10.2004 10:41,1,
10,Корп. Апекс Транспорт Инк., , ,,,,,12.10.2004 10:41,1,
13,Корп. Бостон Механика Инк., , ,,,,,12.10.2004 10:41,5,
19,Корп. Бостонские судоверфи Инк., , ,,,,,12.10.2004 10:41,3,
23,Инк. Компьютерная техника, , ,,,,,12.10.2004 10:41,6,
24,Корп. Компьютерное вышивальное производство Инк., , ,,,,,12.10.2004 10:41,5,
30,Корп. Компьютер Транспорт Инк., , ,,,,,12.10.2004 10:41,1,
33,Корп. Драйвен Механикри Инк., , ,,,,,12.10.2004 10:41,1,
35,Корп. Драйвен Оперинц, , ,,,,,12.10.2004 10:41,3,
36,Корп. Драйвен Петролеум Инк., , ,,,,,12.10.2004 10:41,7,
37,Корп. Драйвен КвестсИнк., , ,,,,,12.10.2004 10:41,1,
38,Корп. Драйвен Ресторанс Инк., , ,,,,,12.10.2004 10:41,8,
42,Эксперт-Освещение Inc., , ,,,,,12.10.2004 10:41,6,
45,Корп. Эксперт ОпераИнк., , ,,,,,12.10.2004 10:41,1,
50,Корп. Эксперт Транспорт Инк., , ,,,,,12.10.2004 10:41,6,
52,"Corp. ""Фамус Лайтинг Инк.""", , ,,,,,12.10.2004 10:41,7,
53,Корп. Фемейбл Машинери Инк., , ,,,,,12.10.2004 10:41,4,
58,"Корп. "" Famous Restaurants Inc.""", , ,,,,,12.10.2004 10:41,3,
59,Corp. Знаменитые производители парусов Inc., , ,,,,,12.10.2004 10:41,7,
60,Corp. Фамус Тرانсит Инк., , ,,,,,12.10.2004 10:41,4,
61,Корп. «Гигантские каменные блоки» Инк., , ,,,,,12.10.2004 10:41,3,
64,"Корп. ""Гигант Нитейлворк Инк.""", , ,,,,,12.10.2004 10:41,8,
68,Компания «Гигантские рестораны», , ,,,,,12.10.2004 10:41,7,
72,"Компания ""Humble Lighting""", , ,,,,,12.10.2004 10:41,4,
75,"Корп. ""Умный Оперный""", , ,,,,,12.10.2004 10:41,1,
76,"Корп. ""Умбд Пэтриолюм Инк.""", , ,,,,,12.10.2004 10:41,4,
77,Корп. Умный Запросы Инк., , ,,,,,12.10.2004 10:41,8,
79,"Компания ""Умный Ветер""", , ,,,,,12.10.2004 10:41,8,
82,Корп. Имперיאל Лайтинг Инк., , ,,,,,12.10.2004 10:41,3,
84,Corp. Имперское вышивки, , ,,,,,12.10.2004 10:41,5,
87,Корп. Империал Квестс Инк., , ,,,,,12.10.2004 10:41,6,
89,"Компания ""Империал Сайл Маэерс Инк.""", , ,,,,,12.10.2004 10:41,5,
97,Корп. Просто ЗадачиИнк., , ,,,,,12.10.2004 10:41,7,
99,Just Sail Makers Inc., , ,,,,,12.10.2004 10:41,5,
100,"Корп. ""Just Transit Inc.""", , ,,,,,12.10.2004 10:41,1,
102,Корп. Апекс Лайтинг Ко., , ,,,,,12.10.2004 10:41,5,
103,Корп. Апеc Машинери, , ,,,,,12.10.2004 10:41,8,
105,Корп. А펙с Операко, , ,,,,,12.10.2004 10:41,7,
106,Корп. Апа́кс Петро́лейм, , ,,,,,12.10.2004 10:41,2,
107,Корп. Апекс КвестсКо., , ,,,,,12.10.2004 10:41,8,
109,Корп. Апекс Сэйл Макирс, , ,,,,,12.10.2004 10:41,1,
110,Корп. Апекс Транитко, , ,,,,,12.10.2004 10:41,7,
112,Корп. Бостон ЛайтингКорп., , ,,,,,12.10.2004 10:41,7,
113,Корп. Бостон Механика, , ,,,,,12.10.2004 10:41,4,
114,Корп. Бостон Скримблерс и Найдлворкс Ко., , ,,,,,12.10.2004 10:41,4,
115,Корп. Бостонская оперная компания, , ,,,,,12.10.2004 10:41,7,
117,Корп. Бостон Квестс, , ,,,,,12.10.2004 10:41,1,
119,Корп. Бостонских судоремонтников, , ,,,,,12.10.2004 10:41,8,
121,Корп. Компьютерные Ключевые Стоунс Ко., , ,,,,,12.10.2004 10:41,2,
123,Компания «Компьютераппаратура», , ,,,,,12.10.2004 10:41,4,
124,Корп. Компьютерное вышивство Ко., , ,,,,,12.10.2004 10:41,4,
126,Корп. Компьютер Петролеум Ко., , ,,,,,12.10.2004 10:41,6,
127,Corp. Компьютерные Квесты, , ,,,,,12.10.2004 10:41,6,
128,Корп. Компьютерные рестораны Ко., , ,,,,,12.10.2004 10:41,2,
129,Корп. Компьютерные судоремонтные мастерские, , ,,,,,12.10.2004 10:41,4,
130,Корп. Компьютер ТранситКо., , ,,,,,12.10.2004 10:41,6,
131,Корп. Драйвен Кей Стоунз Ко., , ,,,,,12.10.2004 10:41,8,
132,Корп. Драйвен Лайтинг Ко., , ,,,,,12.10.2004 10:41,8,
133,Корп. Стилизованные Машины, , ,,,,,12.10.2004 10:41,6,
135,Корп. Драйвен Операко., , ,,,,,12.10.2004 10:41,3,
138,Corp. Драйвен Ресторанс Ко., , ,,,,,12.10.2004 10:41,8,
140,Корп. Драйвен ТرانситКо, , ,,,,,12.10.2004 10:41,6,
142,Корп. Эксперт Освещение, , ,,,,,12.10.2004 10:41,2,
143,Корп. Эксперт Машинери Ко., , ,,,,,12.10.2004 10:41,4,
144,Компания. Эксперт-Вышивка., , ,,,,,12.10.2004 10:41,5,
145,Корп. Эксперт Оперко., , ,,,,,12.10.2004 10:41,2,
146,Корп. Эксперт Нефть, , ,,,,,12.10.2004 10:41,5,
148,Корп. Эксперт Ресторанс Ко., , ,,,,,12.10.2004 10:41,4,
150,Корп. Эксперт Транспортко., , ,,,,,12.10.2004 10:41,3,
151,Корп. Фамилия Ключевых Камней Co., , ,,,,,12.10.2004 10:41,7,
153,Корп. Фемейб Механикко, , ,,,,,12.10.2004 10:41,1,
154,Корп. Знаменитая Ткачественная Компания, , ,,,,,12.10.2004 10:41,5,
155,Корп. Фемина Оперко., , ,,,,,12.10.2004 10:41,7,
156,Корп. Фамильная Нефтяная Компания, , ,,,,,12.10.2004 10:41,2,
157,Корп. Фамус Квестс Ко., , ,,,,,12.10.2004 10:41,3,
158,Corp. Известные рестораны, , ,,,,,12.10.2004 10:41,1,
159,Сообщество. Известные производители парусного снаряжения, , ,,,,,12.10.2004 10:41,2,
160,"Corp. Известная компания ""Транситко""", , ,,,,,12.10.2004 10:41,8,
163,Корп. Гигант Механика, , ,,,,,12.10.2004 10:41,6,
164,Корп. «Giant Needlework», , ,,,,,12.10.2004 10:41,8,
165,Корп. Гигант Операко., , ,,,,,12.10.2004 10:41,1,
166,"Корп. ""Гигант Нефтепродукты""", , ,,,,,12.10.2004 10:41,7,
167,Корп. Гигант КвестсКо., , ,,,,,12.10.2004 10:41,6,
168,"Корп. ""Гигант Ресторанс Корп.""", , ,,,,,12.10.2004 10:41,7,
169,Тов. «Гигантские судоремонтники», , ,,,,,12.10.2004 10:41,4,
172,Corp. Смили Свето-Дизайнерская Компания, , ,,,,,12.10.2004 10:41,5,
174,Корп. Умытный Нитководческий Ко., , ,,,,,12.10.2004 10:41,4,
182,Империал Лайтинг Ко., , ,,,,,12.10.2004 10:41,4,
209,Сап. Апекс Сэлл Майкерс, , ,,,,,12.10.2004 10:41,1,
222,Корп. компьютерное освещение, , ,,,,,12.10.2004 10:41,7,
228,Корп. Компьютер Ресторан, , ,,,,,12.10.2004 10:41,2,
232,Корп. Драйвен Лайтинг, , ,,,,,12.10.2004 10:41,8,
236,Корп. Драйвена Петролеум, , ,,,,,12.10.2004 10:41,2,
240,Корп. Драйвен Транситкорп., , ,,,,,12.10.2004 10:41,8,
245,Корп. Эксперт ОпераКорп., , ,,,,,12.10.2004 10:41,3,
249,Сайл-мейкеры Эксперт Корпорейшн, , ,,,,,12.10.2004 10:41,1,
262,Корп. «Гигант Электроосвещение», , ,,,,,12.10.2004 10:41,3,
276,"Корпорация ""Уэмбл Пэтролиум""", , ,,,,,12.10.2004 10:41,8,
302,Корп. Apex Lighting Ltd., , ,,,,,12.10.2004 10:41,1,
323,Корп. Компьютерная Машинерия Ltd., , ,,,,,12.10.2004 10:41,5,
332,Корп. Драйвен Лайтинг Лтд., , ,,,,,12.10.2004 10:41,7,
345,Корп. Эксперт ОпераЛтд., , ,,,,,12.10.2004 10:41,1,
353,"ООО ""Фемейбл Машинери Лтд.""", , ,,,,,12.10.2004 10:41,6,
380,"Corp. ""Умный Транспорт"" Лтд.", , ,,,,,12.10.2004 10:41,3,
386,Корп. Имперיאל Петролеум Лтд., , ,,,,,12.10.2004 10:41,2,
393,"Корп. ""Just Machinery Ltd.""", , ,,,,,12.10.2004 10:41,1,
399,"Корп. ""Just Sail Makers Ltd.""", , ,,,,,12.10.2004 10:41,8,
400,Корп. Просто Транспорт Ltd., , ,,,,,12.10.2004 10:41,8,
418,Рестораны в Бостоне, , ,,,,,12.10.2004 10:41,6,
423,Корп. Компьютерное машинное оборудование, , ,,,,,12.10.2004 10:41,7,
424,Корп. Компьютерная вышивкаАг., , ,,,,,12.10.2004 10:41,3,
427,Корп. Компьютерные Квесты AG, , ,,,,,12.10.2004 10:41,4,
437,Корп. Драйвен КвестсАг., , ,,,,,12.10.2004 10:41,6,
456,Corp. Известная нефтегазовая компания, , ,,,,,12.10.2004 10:41,5,
458,Корп. Знаменитые Рестораны Аг., , ,,,,,12.10.2004 10:41,4,
463,"Корп. ""Гигант Механика""", , ,,,,,12.10.2004 10:41,1,
467,Корп. Giant QuestsАg., , ,,,,,12.10.2004 10:41,7,
469,"Корп. ""Гигантские судоремонтники""", , ,,,,,12.10.2004 10:41,4,
487,Корп. Имперские заданияАг., , ,,,,,12.10.2004 10:41,7,
490,Корп. Имперское Переходное Агентство, , ,,,,,12.10.2004 10:41,2,
493,Корп. Простая механика, , ,,,,,12.10.2004 10:41,4,
