charge_no,member_no,provider_no,category_no,charge_dt,charge_amt,statement_no,charge_code
1,8842,484,2,1999-09-22 10:43:38,3263.0,28842,
4,9939,497,8,1999-09-28 10:43:38,3770.0,29939,
10,8283,488,10,1999-09-28 10:43:38,1004.0,28283,
16,9036,498,6,1999-10-04 10:43:38,3777.0,29036,
26,6169,491,2,1999-09-08 10:43:38,3045.0,16169,
34,6772,472,6,1999-10-07 10:43:38,61.0,26772,
37,3449,289,3,1999-08-24 10:43:38,3039.0,13449,
39,9537,324,5,25.09.1999 10:43:38,3403.0,29537,
48,7969,439,3,11 августа 1999 года в 10:43 утра,993.0,7969,
53,9965,444,10,1999-08-26 10:43:38,2591.0,19965,
61,8662,492,7,17 августа 1999 года в 10:43 утра,2798.0,18662,
66,9608,473,2,1999-08-23 10:43:38,3960.0,19608,
67,9247,454,3,"24 июля 1999 г., 10:43",570.0,9247,
72,8948,461,5,20.06.1999 10:43:38,1789.0,8948,
73,8158,412,10,1999-10-04 10:43:38,1857.0,28158,
76,8667,467,2,"17.09.1999 г., 10:43",2027.0,28667,
80,8550,499,7,19.07.1999 10:43:38,2656.0,8550,
82,9759,466,7,17 августа 1999 года в 10:43 утра,169.0,19759,
93,9174,311,2,12 сентября 1999 года в 10:43 утра,58.0,19174,
94,7993,445,3,1999-08-24 10:43:38,191.0,17993,
100,7169,467,5,1999-09-08 10:43:38,1191.0,17169,
104,9850,463,4,1999-09-06 10:43:38,322.0,19850,
110,9075,479,6,1999-08-08 10:43:38,1266.0,9075,
114,8673,483,3,1999-08-23 10:43:38,3998.0,18673,
126,8727,497,10,1999-07-27 10:43:38,4380.0,8727,
129,9432,462,6,1999-07-26 10:43:38,3869.0,9432,
138,7150,392,9,1999-06-28 10:43:38,4819.0,7150,
140,9677,321,10,1999-07-22 10:43:38,4465.0,9677,
144,9839,498,6,4 июля 1999 года в 10:43 утра,1820.0,9839,
159,6169,499,2,11 августа 1999 года в 10:43 утра,320.0,6169,
168,7129,494,9,1999-07-27 10:43:38,4632.0,7129,
172,8354,434,7,1999-09-06 10:43:38,3486.0,18354,
176,9839,500,9,1999-10-10 10:43:39,572.0,29839,
524304,8435,500,9,1999-08-01 10:45:29,1764.0,8435,
524305,4160,488,4,"21 августа 1999 года, суббота, 10:45 утра",154.0,14160,
524307,8894,355,7,03.08.1999 10:45,2009.0,8894,
524310,9656,499,4,1999-08-30 10:45:29,3834.0,19656,
524322,9511,496,4,1999-10-10 10:45:29,518.0,29511,
524334,7733,493,2,1999-07-02 10:45:29,1177.0,7733,
524335,5494,495,9,1999-06-29 10:45:29,2756.0,5494,
524337,2480,489,9,06:45:29,99.0,12480,
524346,9093,496,8,1999-08-06 10:45:29,4165.0,9093,
524353,9068,499,3,1999-09-06 10:45:29,2762.0,19068,
524355,2069,460,7,1999-08-02 10:45:29,3685.0,2069,
524359,8915,486,8,16.08.1999 10:45,2946.0,18915,
524361,4812,452,10,1999-09-21 10:45:29,1363.0,24812,
524366,9023,459,9,1999-08-25 10:45:29,1510.0,19023,
524367,5077,425,6,1999-09-20 10:45:29,2866.0,25077,
524375,9503,496,2,19.08.1999 10:45:29,4605.0,19503,
