territoryid,territorydescription,regionid
55113,Роузвилль,3
80202,Денвер,2
2139,Кембридж,1
48304,Блумфилдские холмы,3
40222,Луисвилль,1
8837,Эдисон,1
1833,Жоржтоу,1
94025,Парк Менло,2
30346,Атланта,4
3801,Портсмут,3
7960,Морристаун,1
2116,Бостон,1
2184,Мозги,1
2903,Провидение,1
19713,Ньюард,1
14450,Фейрпорт,1
31406,Саванна,4
98052,Редмонд,2
95008,Кэмпбелл,2
94105,Сан-Франциско,2
98004,Бельвью,2
85251,Скоттсдейл,2
6897,Уилтон,1
48084,Трой,3
90405,Санта-Моника,2
75234,Даллас,4
78759,Остин,4
95060,Санта-Круз,2
1581,Вестборо,1
10038,Нью-Йорк,1
10019,Нью-Йорк,1
20852,Роквилль,1
33607,Тампа,4
98104,Сиэтл,2
44122,Бичвуд,3
80909,Колорадо Спрингс,2
55439,Миннеаполис,3
3049,Холлис,3
72716,Бентонвилль,4
29202,Колумбия,4
27511,Кэри,1
19428,Филадельфия,3
45839,Финдлей,3
48075,Саутфилд,3
95054,Санта-Клара,2
1730,Бедфорд,1
53404,Расин,3
85014,Феникс,2
27403,Гринсборо,1
60601,Чикаго,2
32859,Орландо,4
60179,Hoffman Estatements,2
11747,Мельвиль,1
