raceid,driverid,stop,lap,time,duration,milliseconds
871,814,1,10,14:27:27,21.402,21402
903,20,1,12,15:25:00,22.570,22570
964,807,2,28,14:50:32,22.952,22952
936,832,3,44,15:14:39,16.660,16660
978,154,2,43,14:16:53,28.998,28998
971,832,1,12,18:23:26,25.001,25001
896,820,1,29,15:49:37,24.757,24757
872,155,1,20,14:34:08,22.874,22874
846,4,2,34,14:48:45,31.382,31382
927,3,3,41,16:18:40,24.336,24336
932,829,1,34,14:50:14,30.807,30807
902,818,1,1,18:06:44,33.895,33895
878,13,1,26,13:49:03,21.520,21520
945,3,2,31,17:59:21,21.580,21580
957,4,2,17,13:38:11,28.799,28799
950,837,2,28,14:56:08,24.635,24635
965,836,1,13,14:27:10,26.059,26059
917,821,1,8,14:13:43,23.661,23661
848,24,1,15,14:31:23,24.459,24459
850,812,2,28,14:53:09,22.331,22331
844,3,2,22,15:38:24,20.927,20927
880,13,3,36,18:00:04,21.509,21509
956,18,3,28,14:38:27,18.307,18307
855,5,3,37,16:09:04,22.532,22532
892,8,2,30,14:48:51,24.764,24764
971,826,1,13,18:25:35,25.204,25204
956,835,1,12,14:17:57,21.745,21745
888,18,1,21,14:38:27,20.812,20812
850,814,1,23,14:42:05,23.676,23676
873,813,3,33,21:09:10,30.981,30981
892,819,2,38,15:01:38,26.363,26363
936,18,4,45,15:17:06,16.639,16639
867,37,2,28,14:55:13,23.125,23125
903,155,3,40,16:15:53,24.722,24722
867,18,2,26,14:50:09,19.640,19640
878,1,1,20,13:38:21,20.814,20814
936,817,3,45,15:14:58,18.270,18270
909,824,2,45,15:08:29,20.575,20575
937,3,1,12,14:30:22,22.997,22997
978,840,2,42,14:15:32,28.335,28335
884,8,3,45,15:11:53,20.184,20184
844,813,3,41,16:09:04,21.827,21827
960,839,2,9,14:24:51,16:40.980,1000980
